OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate, Amount ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,General Fund Balance Sheet,14048203,adjustment -tax for elections june 2016,HMRC - CBC Election Staff,B6110-BAL100,Short term Creditors - PAYE and NI,14/10/2016,"10,691.82 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,General Fund Balance Sheet,14048248,CISDEDUCT0609-051016,HMRC (CBC - CIS),B6220-BAL100,CIS Deductions Control (reallocated),14/10/2016,"2,552.56 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14048296,GRANT (17.10.16),Holst Birthplace Museum,R6280-GBD001,Grants,28/10/2016,"3,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14048306,150312AA6,Ian Williams Limited,R2060-HRA100,R & M of Build Cyclical Painting Communal Areas,21/10/2016,"38,592.22 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14048274,1578,Influence Enviromental Ltd,R4400-PLP101,Services - Professional Fees,21/10/2016,"7,681.61 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14048280,INV101019,It Does...Limited,R4400-DEV001,Services - Professional Fees,21/10/2016,"1,650.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Swindon Road,14048091,007 IN022526,J Harper & Sons (Leominster) Limited,C1107-CAH050,Building Works,07/10/2016,"-96,621.54 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Swindon Road,14048091,007 IN022526,J Harper & Sons (Leominster) Limited,C1107-CAH050,Building Works,07/10/2016,"96,621.54 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Swindon Road,14048091,007 IN022526,J Harper & Sons (Leominster) Limited,C1107-CAH050,Building Works,07/10/2016,"96,621.54 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2a,14047934,011 in022513,J Harper & Sons (Leominster) Limited,C1107-CAH052,Building Works,07/10/2016,"24,774.48 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2a,14047934,011 in022513,J Harper & Sons (Leominster) Limited,C1107-CAH052,Building Works,07/10/2016,"-4,455.20 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14048277,16/040,J P North (Farmer),R2071-OPS002,Open Spaces and Grassed Areas,21/10/2016,580.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14048276,16/041,J P North (Farmer),R2071-OPS002,Open Spaces and Grassed Areas,21/10/2016,"3,750.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14048569,16/042,J P North (Farmer),R2071-OPS002,Open Spaces and Grassed Areas,28/10/2016,"1,250.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14048222,100,Jim Claydon - Planner,R4400-PLP101,Services - Professional Fees,14/10/2016,682.35 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14047578,1034,John Ryde Commercial,R2200-CPK001,Rent,07/10/2016,"9,141.25 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Depot,14047991,INV-0638,JS Security Limited,R2705-ADB103,Security Systems,14/10/2016,630.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Tourist/Visitor Information Centre,14048034,CBC03,Kelly Ballard,R4400-TOU002,Services - Professional Fees,07/10/2016,"3,053.60 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14047581,4681,"Knight, Kavanagh & Page Ltd  (KKP Management Consultants)",R4400-DEV001,Services - Professional Fees,14/10/2016,"7,232.64 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Play areas enhancement,14048630,SI220814,Kompan Limited,C4000-CAP102,Acquisition of Equipment,28/10/2016,"3,543.60 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,New Heating Installations,14048254,1184608,Liberty Gas Group,C1107-CAH009,Building Works,21/10/2016,"3,600.91 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14048253,1184609,Liberty Gas Group,R2016-HRA100,R & M of Build Void Repairs,21/10/2016,"1,696.56 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14048253,1184609,Liberty Gas Group,R2040-HRA100,R & M of Build Central Heating,21/10/2016,"40,163.76 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14047811,6128013335,Liberty Printers (AR & RFReddin) Limited,R4300-CPK001,Printing - Services,07/10/2016,900.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,ICT,14048285,16000652,LinchPin Networks Limited,R4548-SUP005,IT - Cabling and Network,21/10/2016,"3,199.00 ",,
