Hospital code,Own home/sheltered housing. N,Own home/sheltered housing. %,Rehabilitation unit. N,Rehabilitation unit. %,Acute hospital. N,Acute hospital. %,Residential care. N,Residential care. %,Nursing care. N,Nursing care. %,Dead. N,Dead. %,Other. N,Other. %,Unknown. N,Unknown. %,Admitted from/discharged to Total cases,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). Total,AMTS recorded. Yes. N,AMTS recorded. Yes. %,AMTS recorded. No. N,AMTS recorded. No. %,AMTS recorded. Total,Perioperative medical assessment. No. N,Perioperative medical assessment. No. %,Perioperative medical assessment. Yes. N,Perioperative medical assessment. Yes. %,Perioperative medical assessment. Total,Mobilised out of bed. No. N,Mobilised out of bed. No. %,Mobilised out of bed. Yes. N,Mobilised out of bed. Yes. %,Mobilised out of bed. Total.,Falls assessment (QS 16 -11). Yes. N,Falls assessment (QS 16 -11). Yes. %,Falls assessment (QS 16 -11). No. N,Falls assessment (QS 16 -11). No. %,Falls assessment (QS 16 -11). Total.,Bone health assessment (QS16 – 12). Yes. N,Bone health assessment (QS16 – 12). Yes. %,Bone health assessment (QS16 – 12). No. N,Bone health assessment (QS16 – 12). No. %,Bone health assessment (QS16 – 12). Total,Best practice tariff achievement. Yes. N,Best practice tariff achievement. Yes. %,Best practice tariff achievement. No. N,Best practice tariff achievement. No. %,Best practice tariff achievement. Total,"Surgery on day of, or day after, admission. Yes. N","Surgery on day of, or day after, admission. Yes. %","Surgery on day of, or day after, admission. No. N","Surgery on day of, or day after, admission. No %","Surgery on day of, or day after, admission. Total",GA. N,GA. %,Not GA. N,Not GA. %,GA Anaesthetics Total,GA + nerve block. N,GA + nerve block. %,GA without NB. N,GA without NB. %,GA NB. Total,SA all. N,SA all. %,Not SA. N,Not SA. %,SA anaesthesia. Total,SA + nerve block. N,SA + nerve block. %,SA without nerve block. N,SA without nerve block. %,SA Total,Cemented. N,Cemented. %,Not cemented. N,Not cemented. %,Arthroplasties total,THR. No. N,THR. No. %,THR. Yes. N,THR. Yes. %,THR eligible. Total,Intertrochanteric SHS. Yes. N,Intertrochanteric SHS. Yes.%,Intertrochanteric SHS. No N,Intertrochanteric SHS. No %,Intertrochanteric. Total,Subtrochanteric – all intramedullary nail. N,Subtrochanteric – all intramedullary nail.%,Subtrochanteric – not intramedullary nail. N,Subtrochanteric – not intramedullary nail. %,Subtrochanteric – total,Case s submitted,Case ascertainment denominator,Case ascertainment %,LOS analysis N,Acute LOS,Post-acute LOS,Total LOS,Return to own home within 30 days. No. N,Return to own home within 30 days. No. %,Return to own home within 30 days. Yes. N,Return to own home within 30 days. Yes. %,Return to own home within 30 days. Total cases,Reoperated within 30 days. Yes. N,Reoperated within 30 days. Yes. %,Reoperated within 30 days. No. N,Reoperated within 30 days. No. %,Reoperated within 30 days. Total cases.,Developing a pressure ulcer (CG179). Yes. N,Developing a pressure ulcer (CG179). Yes. %,Developing a pressure ulcer (CG179). No N,Developing a pressure ulcer (CG179). No %,Developing a pressure ulcer (CG179). Total cases.,Unknown pressure ulcer (CG179). Yes. N,Unknown pressure ulcer (CG179). Yes. %,Unknown pressure ulcer (CG179). No N,Unknown pressure ulcer (CG179). No %,Unknown pressure ulcer (CG179). Total cases.,Hip fracture sustained as an inpatient. Yes. N,Hip fracture sustained as an inpatient. Yes. %,Hip fracture sustained as an inpatient. No. N,Hip fracture sustained as an inpatient. No. %,Hip fracture sustained as an inpatient. All cases,No OG consultantr hrs,No OG middle grade hrs,No OG ward rounds/week,No nurse practitioners,OG weekend cover?,Who collects data?,Who enters data?,Routine nerve blocks offered?,Where nerve blocks administered?,Enhanced recovery programme?,Pain tool used?,Clinical governance meetings?,Who attends?,What is discussed?,Who does bone health assessment?,Fracture Liaison Service?,FLS run by?,Does FLS lead on falls?,Single room accomodation in catchment,Can you refer to strength and balance training?,Do you use Nottingham Score?
RAD,164,41.10%,185,46.37%,8,2.01%,8,2.01%,7,1.75%,23,5.76%,*,0.50%,*,0.50%,*,111,22.2%,390,77.8%,501,522,98.3%,9,1.7%,531,18,3.4%,513,96.6%,531,266,63.0%,156,37.0%,422,488,98.8%,6,1.2%,494,*,99.4%,*,0.6%,*,337,64.4%,186,35.6%,523,357,67.23%,174,32.77%,531,260,48.96%,271,51.04%,531,159,61.15%,101,38.85%,260,225,42.37%,306,57.63%,531,12,5.33%,213,94.67%,225,*,99.13%,*,0.87%,*,32,60.38%,21,39.62%,53,176,91.19%,17,8.81%,193,19,76.00%,6,24.00%,25,531,574,92.51%,464,14.1,0.8,14.9,251,62.75%,149,37.25%,400,13,2.54%,498,97.46%,511,10,2.02%,484,97.98%,494,31,6.28%,463,93.72%,494,24,4.52%,507,95.48%,531,30,36,5,0,Yes,TA,TA,Yes,AED;AN,No,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;DS;PSf;CI;LQ,OG;SN,Both,RH,Yes,Unknown,FPC;CR,occasionally
RBE,201,57.59%,106,30.37%,*,0.57%,*,1.15%,15,4.30%,20,5.73%,*,0.29%,*,0.00%,*,72,17.9%,331,82.1%,403,*,99.5%,*,0.5%,*,8,1.9%,414,98.1%,422,145,45.7%,172,54.3%,317,396,100.0%,0,0.0%,396,396,100.0%,0,0.0%,396,316,76.0%,100,24.0%,416,324,76.78%,98,23.22%,422,384,91.00%,38,9.00%,422,142,36.98%,242,63.02%,384,25,5.92%,397,94.08%,422,*,20.00%,*,80.00%,*,*,1.46%,*,98.54%,*,82,72.57%,31,27.43%,113,102,73.91%,36,26.09%,138,22,73.33%,8,26.67%,30,422,457,92.34%,387,13.5,5.3,18.7,150,42.74%,201,57.26%,351,*,0.96%,*,99.04%,*,*,0.76%,*,99.24%,*,*,0.51%,*,99.49%,*,12,2.84%,410,97.16%,422,30,40,5,2,No,ND,ND;AD,No,AED;AN,Yes,Yes,Not routinely,ORC;OGC;NS;PH;OC;TO,MM;DS;PSf;CI;CN;LQ,OG,Outpatients,RH,No,TRU,CR,No
RCH,155,33.33%,262,56.34%,10,2.15%,*,0.43%,*,1.08%,27,5.81%,*,0.65%,*,0.22%,*,396,68.6%,181,31.4%,577,597,98.5%,9,1.5%,606,28,4.6%,578,95.4%,606,232,52.0%,214,48.0%,446,*,99.8%,*,0.2%,*,*,99.3%,*,0.7%,*,399,66.1%,205,33.9%,604,424,69.97%,182,30.03%,606,296,48.84%,310,51.16%,606,257,86.82%,39,13.18%,296,225,37.13%,381,62.87%,606,75,33.33%,150,66.67%,225,246,90.77%,25,9.23%,271,78,67.24%,38,32.76%,116,151,84.83%,27,15.17%,178,36,72.00%,14,28.00%,50,606,656,92.38%,576,10.8,1.5,12.4,316,67.67%,151,32.33%,467,0,0.00%,585,100.00%,585,8,1.43%,551,98.57%,559,0,0.00%,559,100.00%,559,22,3.63%,584,96.37%,606,20,0,5,0,No,ND,ND,Yes,AED;AN;OS,No,No,Not routinely,N/A,N/A,OG,No,Unknown,No,Unknown,FPC;CR;VS,occasionally
RDE,237,51.63%,184,40.09%,*,0.65%,*,0.87%,*,0.22%,29,6.32%,*,0.22%,*,0.00%,*,338,58.0%,245,42.0%,583,600,99.0%,6,1.0%,606,12,2.0%,594,98.0%,606,81,17.1%,393,82.9%,474,*,99.8%,*,0.2%,*,*,99.6%,*,0.4%,*,433,72.3%,166,27.7%,599,449,74.09%,157,25.91%,606,282,46.53%,324,53.47%,606,234,82.98%,48,17.02%,282,179,29.54%,427,70.46%,606,23,12.85%,156,87.15%,179,*,98.67%,*,1.33%,*,89,63.57%,51,36.43%,140,162,85.71%,27,14.29%,189,53,89.83%,6,10.17%,59,606,601,100.83%,569,11.7,2.0,13.8,211,45.87%,249,54.13%,460,17,2.85%,579,97.15%,596,8,1.42%,554,98.58%,562,*,0.18%,*,99.82%,*,24,3.96%,582,96.04%,606,22,10,5,0,No,ND;AD,ND;AD,Yes,AED;AN,No,Yes,Quarterly,ORC;OGC;NS;PH;OC;AES;TO,MM;DS;LOS;LQ,OG,No,Unknown,No,HOS;SIT;TRU,CR,No
RED,104,46.22%,99,44.00%,*,0.44%,*,0.89%,*,1.33%,16,7.11%,0,0.00%,*,0.00%,*,175,61.8%,108,38.2%,283,*,99.0%,*,1.0%,*,26,8.9%,265,91.1%,291,50,24.4%,155,75.6%,205,*,98.9%,*,1.1%,*,*,99.2%,*,0.8%,*,152,51.0%,146,49.0%,298,170,58.42%,121,41.58%,291,148,50.86%,143,49.14%,291,62,41.89%,86,58.11%,148,125,42.96%,166,57.04%,291,9,7.20%,116,92.80%,125,60,43.48%,78,56.52%,138,40,58.82%,28,41.18%,68,99,90.00%,11,10.00%,110,*,78.57%,*,21.43%,*,291,275,105.82%,273,18.9,0.0,18.9,129,57.33%,96,42.67%,225,*,0.35%,*,99.65%,*,*,1.89%,*,98.11%,*,0,0.00%,264,100.00%,264,8,2.75%,283,97.25%,291,10,10,5,0,No,ND,ND,No,Unknown,No,Yes,Quarterly,ORC;OGC;ANC;NS;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
RFH,63,44.68%,60,42.55%,*,2.13%,*,2.13%,*,1.42%,8,5.67%,*,1.42%,*,0.00%,*,76,46.3%,88,53.7%,164,159,94.1%,10,5.9%,169,*,1.8%,*,98.2%,*,31,25.2%,92,74.8%,123,*,99.4%,*,0.6%,*,*,98.1%,*,1.9%,*,102,61.8%,63,38.2%,165,114,67.46%,55,32.54%,169,111,65.68%,58,34.32%,169,63,56.76%,48,43.24%,111,53,31.36%,116,68.64%,169,9,16.98%,44,83.02%,53,*,93.75%,*,6.25%,*,15,68.18%,7,31.82%,22,*,98.68%,*,1.32%,*,12,100.00%,0,0.00%,12,169,190,88.95%,139,18.5,0.2,18.7,88,62.41%,53,37.59%,141,0,0.00%,167,100.00%,167,8,5.06%,150,94.94%,158,0,0.00%,158,100.00%,158,*,1.78%,*,98.22%,*,20,10,5,0.5,Yes,ND,ND,Yes,AED,No,No,Monthly,ORC;OGC;NS;PH;TO,MM;DS;PSf;CI,OG,No,Unknown,Yes,TRU,CR,No
RHC,149,70.95%,12,5.71%,*,0.95%,13,6.19%,16,7.62%,17,8.10%,*,0.48%,*,0.00%,*,102,38.8%,161,61.2%,263,281,100.0%,0,0.0%,281,20,7.1%,261,92.9%,281,59,26.6%,163,73.4%,222,257,100.0%,0,0.0%,257,257,100.0%,0,0.0%,257,205,73.2%,75,26.8%,280,231,82.21%,50,17.79%,281,140,49.82%,141,50.18%,281,83,59.29%,57,40.71%,140,119,42.35%,162,57.65%,281,8,6.72%,111,93.28%,119,100,68.97%,45,31.03%,145,48,84.21%,9,15.79%,57,*,97.67%,*,2.33%,*,14,100.00%,0,0.00%,14,281,256,109.77%,256,17.3,6.4,23.7,85,40.09%,127,59.91%,212,*,1.48%,*,98.52%,*,8,3.11%,249,96.89%,257,*,0.39%,*,99.61%,*,15,5.34%,266,94.66%,281,28,0,6,1,Yes,ND,ND,Yes,AED;AN,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC,MM;DS;LOS;CI;LQ,OG,Outpatients,O,No,Unknown,FPC;CR,No
RLI,131,64.85%,14,6.93%,10,4.95%,15,7.43%,10,4.95%,20,9.90%,*,0.99%,*,0.00%,*,164,64.6%,90,35.4%,254,*,99.3%,*,0.7%,*,35,12.9%,236,87.1%,271,33,16.9%,162,83.1%,195,*,99.2%,*,0.8%,*,228,95.0%,12,5.0%,240,147,49.7%,149,50.3%,296,164,60.52%,107,39.48%,271,181,66.79%,90,33.21%,271,101,55.80%,80,44.20%,181,47,17.34%,224,82.66%,271,10,21.28%,37,78.72%,47,31,56.36%,24,43.64%,55,16,64.00%,9,36.00%,25,88,89.80%,10,10.20%,98,*,25.00%,*,75.00%,*,271,325,83.38%,271,11.6,13.8,25.4,104,51.49%,98,48.51%,202,0,0.00%,260,100.00%,260,*,1.67%,*,98.33%,*,0,0.00%,240,100.00%,240,7,2.58%,264,97.42%,271,6,0,4,0,No,ND;TA,TA,Yes,AED;AN,No,Yes,Quarterly,ORC;NS;TO,MM;DS;LOS;DS;PSf;CN;LQ,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
RLU,172,59.31%,88,30.34%,*,0.69%,7,2.41%,*,0.69%,17,5.86%,*,0.69%,*,0.00%,*,141,39.6%,215,60.4%,356,374,100.0%,0,0.0%,374,11,2.9%,363,97.1%,374,63,21.9%,225,78.1%,288,353,100.0%,0,0.0%,353,353,100.0%,0,0.0%,353,282,76.6%,86,23.4%,368,292,78.07%,82,21.93%,374,339,90.64%,35,9.36%,374,285,84.07%,54,15.93%,339,24,6.42%,350,93.58%,374,*,4.17%,*,95.83%,*,164,90.11%,18,9.89%,182,44,57.89%,32,42.11%,76,77,59.69%,52,40.31%,129,*,97.14%,*,2.86%,*,374,412,90.78%,339,14.9,3.4,18.3,107,36.90%,183,63.10%,290,8,2.19%,358,97.81%,366,*,0.57%,*,99.43%,*,0,0.00%,353,100.00%,353,19,5.08%,355,94.92%,374,28,4,5,1.3,No,ND,TA,Yes,AED,Yes,Yes,Monthly,OGC;NS;PH;OC;AES,DS;LOS;DS;PSf;CI;CN;LQ,OG;SN,No,Unknown,No,Unknown,CR,occasionally
ROT,123,53.48%,69,30.00%,*,1.30%,13,5.65%,*,2.17%,13,5.65%,*,1.74%,*,0.00%,*,203,74.9%,68,25.1%,271,285,96.3%,11,3.7%,296,23,7.8%,273,92.2%,296,110,48.9%,115,51.1%,225,279,100.0%,0,0.0%,279,*,98.6%,*,1.4%,*,207,69.9%,89,30.1%,296,233,78.72%,63,21.28%,296,50,16.89%,246,83.11%,296,32,64.00%,18,36.00%,50,231,78.04%,65,21.96%,296,29,12.55%,202,87.45%,231,102,85.00%,18,15.00%,120,31,65.96%,16,34.04%,47,72,63.16%,42,36.84%,114,14,100.00%,0,0.00%,14,296,336,88.10%,276,19.3,1.1,20.4,122,52.14%,112,47.86%,234,*,1.42%,*,98.58%,*,*,1.43%,*,98.57%,*,0,0.00%,279,100.00%,279,8,2.70%,288,97.30%,296,8,0,1,0,No,ND,AD,Yes,AED;AN;O,Yes,Yes,Not routinely,ORC;NS;PH,MM;DS;PSf;CI;CN;LQ,OG,Outpatients,GEM,Yes,HOS,FPC;CR;VS,routinely
RPH,149,48.53%,70,22.80%,8,2.61%,50,16.29%,11,3.58%,18,5.86%,*,0.00%,*,0.33%,*,232,56.4%,179,43.6%,411,449,100.0%,0,0.0%,449,65,14.5%,384,85.5%,449,*,1.1%,*,98.9%,*,419,100.0%,0,0.0%,419,419,100.0%,0,0.0%,419,276,60.5%,180,39.5%,456,329,73.27%,120,26.73%,449,79,17.59%,370,82.41%,449,17,21.52%,62,78.48%,79,348,77.51%,101,22.49%,449,9,2.59%,339,97.41%,348,*,99.54%,*,0.46%,*,48,52.75%,43,47.25%,91,*,97.84%,*,2.16%,*,*,95.24%,*,4.76%,*,449,420,106.90%,426,17.9,0.9,18.7,154,50.16%,153,49.84%,307,7,1.57%,438,98.43%,445,18,4.30%,401,95.70%,419,0,0.00%,419,100.00%,419,25,5.57%,424,94.43%,449,37.5,6,7,1,No,ND,ND,Yes,AED,Yes,Yes,Quarterly,ORC;OGC;ANC;NS;PH,MM;DS;LOS;PSf,SN,No,Unknown,Unknown,Unknown,FPC,routinely
RSC,249,59.00%,147,34.83%,9,2.13%,*,0.47%,*,0.47%,10,2.37%,*,0.71%,*,0.00%,*,137,26.6%,378,73.4%,515,*,99.8%,*,0.2%,*,59,11.1%,471,88.9%,530,65,15.6%,353,84.4%,418,497,97.5%,13,2.5%,510,499,97.8%,11,2.2%,510,406,78.5%,111,21.5%,517,466,87.92%,64,12.08%,530,77,14.53%,453,85.47%,530,44,57.14%,33,42.86%,77,428,80.75%,102,19.25%,530,133,31.07%,295,68.93%,428,254,96.21%,10,3.79%,264,60,58.25%,43,41.75%,103,121,52.84%,108,47.16%,229,12,100.00%,0,0.00%,12,530,565,93.81%,495,7.5,10.1,17.6,215,50.59%,210,49.41%,425,7,1.33%,520,98.67%,527,7,1.37%,503,98.63%,510,*,0.20%,*,99.80%,*,*,0.75%,*,99.25%,*,30,0,5,0,No,TA,TA,Yes,AN,No,Yes,Monthly,ORC;OGC;NS,MM;DS;CI,OG,No,Unknown,Unknown,Unknown,FPC,occasionally
RSS,122,43.88%,120,43.17%,*,1.44%,6,2.16%,14,5.04%,10,3.60%,*,0.72%,*,0.00%,*,194,54.6%,161,45.4%,355,360,97.6%,9,2.4%,369,19,5.1%,350,94.9%,369,44,15.7%,237,84.3%,281,345,98.3%,6,1.7%,351,345,98.3%,6,1.7%,351,178,47.3%,198,52.7%,376,201,54.47%,168,45.53%,369,204,55.28%,165,44.72%,369,29,14.22%,175,85.78%,204,112,30.35%,257,69.65%,369,*,0.89%,*,99.11%,*,48,44.86%,59,55.14%,107,48,78.69%,13,21.31%,61,57,74.03%,20,25.97%,77,8,57.14%,6,42.86%,14,369,390,94.62%,351,8.8,6.3,15.1,139,49.82%,140,50.18%,279,11,3.26%,326,96.74%,337,*,0.57%,*,99.43%,*,0,0.00%,351,100.00%,351,14,3.79%,355,96.21%,369,7,40,5,1,No,ND,ND,Yes,AED;AN;OS;O,Yes,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;OCR;GP,Inpatients,GEM,Yes,Unknown,FPC,occasionally
RSU,123,55.41%,67,30.18%,*,0.45%,*,1.80%,13,5.86%,11,4.95%,*,0.90%,*,0.45%,*,73,26.0%,208,74.0%,281,296,100.0%,0,0.0%,296,8,2.7%,288,97.3%,296,78,35.6%,141,64.4%,219,276,100.0%,0,0.0%,276,276,100.0%,0,0.0%,276,270,85.4%,46,14.6%,316,256,86.49%,40,13.51%,296,121,40.88%,175,59.12%,296,102,84.30%,19,15.70%,121,134,45.27%,162,54.73%,296,14,10.45%,120,89.55%,134,164,93.18%,12,6.82%,176,65,73.03%,24,26.97%,89,71,88.75%,9,11.25%,80,*,88.89%,*,11.11%,*,296,368,80.43%,287,17.2,0.2,17.4,110,49.55%,112,50.45%,222,0,0.00%,286,100.00%,286,*,0.72%,*,99.28%,*,0,0.00%,276,100.00%,276,8,2.70%,288,97.30%,296,20,40,4,2,No,ND,ND,Yes,AED;O,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;GP,Both,RH;GEM,Yes,TRU,FPC;CR,occasionally
RUS,178,50.28%,121,34.18%,*,0.56%,7,1.98%,15,4.24%,30,8.47%,*,0.28%,*,0.00%,*,130,28.5%,326,71.5%,456,477,97.9%,10,2.1%,487,44,9.0%,443,91.0%,487,99,25.6%,288,74.4%,387,*,99.3%,*,0.7%,*,*,99.5%,*,0.5%,*,338,70.1%,144,29.9%,482,373,76.59%,114,23.41%,487,110,22.59%,377,77.41%,487,38,34.55%,72,65.45%,110,353,72.48%,134,27.52%,487,45,12.75%,308,87.25%,353,192,86.88%,29,13.12%,221,90,91.84%,8,8.16%,98,139,80.81%,33,19.19%,172,16,61.54%,10,38.46%,26,487,521,93.47%,447,18.0,0.1,18.0,193,54.37%,162,45.63%,355,*,1.05%,*,98.95%,*,16,3.68%,419,96.32%,435,0,0.00%,435,100.00%,435,30,6.16%,457,93.84%,487,16,64,3,2.8,Yes,ND,ND;AD,No,Unknown,Yes,Yes,Quarterly,ORC;ANC;NS;PH;OC;TO,MM;DS;CI,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
RVN,242,80.67%,17,5.67%,0,0.00%,6,2.00%,7,2.33%,23,7.67%,*,1.67%,*,0.00%,*,124,31.9%,265,68.1%,389,417,97.4%,11,2.6%,428,33,7.7%,395,92.3%,428,99,30.9%,221,69.1%,320,*,99.7%,*,0.3%,*,392,100.0%,0,0.0%,392,285,68.5%,131,31.5%,416,328,76.64%,100,23.36%,428,371,86.68%,57,13.32%,428,361,97.30%,10,2.70%,371,26,6.07%,402,93.93%,428,*,80.77%,*,19.23%,*,203,96.21%,8,3.79%,211,48,58.54%,34,41.46%,82,131,89.73%,15,10.27%,146,24,80.00%,6,20.00%,30,428,433,98.85%,382,11.5,14.5,26.0,149,46.42%,172,53.58%,321,8,2.08%,376,97.92%,384,27,6.89%,365,93.11%,392,0,0.00%,392,100.00%,392,38,8.88%,390,91.12%,428,14,10,5,1.2,Yes,ND,ND;AD,Yes,AN,Yes,Yes,Monthly,ORC;NS;PH;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;SN;OCR,Both,RH,No,Unknown,FPC,routinely
SAL,130,61.03%,10,4.69%,0,0.00%,31,14.55%,22,10.33%,19,8.92%,*,0.00%,*,0.47%,*,167,64.0%,94,36.0%,261,*,99.6%,*,0.4%,*,11,4.0%,263,96.0%,274,*,1.4%,*,98.6%,*,*,99.6%,*,0.4%,*,*,98.8%,*,1.2%,*,219,81.1%,51,18.9%,270,227,82.85%,47,17.15%,274,177,64.60%,97,35.40%,274,151,85.31%,26,14.69%,177,73,26.64%,201,73.36%,274,17,23.29%,56,76.71%,73,*,99.32%,*,0.68%,*,54,80.60%,13,19.40%,67,72,80.90%,17,19.10%,89,*,55.56%,*,44.44%,*,274,297,92.26%,249,19.9,0.9,20.8,78,36.11%,138,63.89%,216,6,2.26%,260,97.74%,266,*,1.60%,*,98.40%,*,0,0.00%,250,100.00%,250,11,4.01%,263,95.99%,274,20,42,6,1,No,ND;AD,AD,Yes,AED;AN;O,Yes,Yes,Quarterly,ORC;OGC;NS;PH,MM;CI;CN,OG,No,Unknown,No,Unknown,VS,routinely
SAN,262,95.62%,0,0.00%,*,0.73%,0,0.00%,0,0.00%,10,3.65%,0,0.00%,*,0.00%,*,216,63.7%,123,36.3%,339,*,98.6%,*,1.4%,*,16,4.6%,332,95.4%,348,51,21.1%,191,78.9%,242,*,99.7%,*,0.3%,*,*,99.4%,*,0.6%,*,241,67.7%,115,32.3%,356,243,69.83%,105,30.17%,348,47,13.51%,301,86.49%,348,29,61.70%,18,38.30%,47,281,80.75%,67,19.25%,348,132,46.98%,149,53.02%,281,90,76.27%,28,23.73%,118,28,65.12%,15,34.88%,43,81,72.32%,31,27.68%,112,18,64.29%,10,35.71%,28,348,363,95.87%,328,14.7,1.6,16.2,37,13.41%,239,86.59%,276,0,0.00%,334,100.00%,334,*,1.21%,*,98.79%,*,6,1.82%,324,98.18%,330,7,2.01%,341,97.99%,348,22,16,5,1.5,No,ND,TA,No,Unknown,No,Yes,Weekly,ORC;OGC;ANC;NS;PH,MM;DS;LOS;DS;PSf,OG,Outpatients,O,No,SIT,CR,No
SCA,117,57.35%,48,23.53%,7,3.43%,16,7.84%,*,1.96%,8,3.92%,*,1.96%,*,0.00%,*,123,43.6%,159,56.4%,282,*,99.7%,*,0.3%,*,15,5.1%,282,94.9%,297,31,13.5%,198,86.5%,229,*,99.3%,*,0.7%,*,*,99.3%,*,0.7%,*,208,74.3%,72,25.7%,280,222,74.75%,75,25.25%,297,138,46.46%,159,53.54%,297,54,39.13%,84,60.87%,138,144,48.48%,153,51.52%,297,20,13.89%,124,86.11%,144,105,84.68%,19,15.32%,124,33,51.56%,31,48.44%,64,82,79.61%,21,20.39%,103,*,83.33%,*,16.67%,*,297,310,95.81%,271,10.0,6.6,16.6,109,50.70%,106,49.30%,215,0,0.00%,279,100.00%,279,*,1.04%,*,98.96%,*,19,6.60%,269,93.40%,288,18,6.06%,279,93.94%,297,15,0,5,0,No,AD,AD,Yes,AED,No,No,Monthly,ORC;OGC;ANC;NS;PH;OC,MM;DS;LOS;PSf;CI;CN;LQ,OG,No,Unknown,Unknown,Unknown,CR,occasionally
SCM,149,40.27%,185,50.00%,*,0.27%,12,3.24%,*,0.81%,14,3.78%,6,1.62%,*,0.00%,*,386,87.7%,54,12.3%,440,*,98.9%,*,1.1%,*,37,7.9%,433,92.1%,470,20,5.8%,325,94.2%,345,450,100.0%,0,0.0%,450,450,100.0%,0,0.0%,450,332,70.9%,136,29.1%,468,357,75.96%,113,24.04%,470,347,73.83%,123,26.17%,470,*,1.44%,*,98.56%,*,101,21.49%,369,78.51%,470,9,8.91%,92,91.09%,101,*,97.66%,*,2.34%,*,78,83.87%,15,16.13%,93,131,79.88%,33,20.12%,164,20,76.92%,6,23.08%,26,470,496,94.76%,445,14.2,0.5,14.7,227,61.35%,143,38.65%,370,*,0.22%,*,99.78%,*,19,4.22%,431,95.78%,450,0,0.00%,450,100.00%,450,19,4.04%,451,95.96%,470,37.5,0,6,1,No,ND;AD,ND;AD,No,Unknown,Yes,Yes,Quarterly,ORC;OGC;ANC;NS;PH,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;SN,Outpatients,O,Yes,SIT,FPC;CR,routinely
SCU,88,55.35%,18,11.32%,*,0.63%,21,13.21%,12,7.55%,16,10.06%,*,1.89%,*,0.00%,*,130,64.0%,73,36.0%,203,*,99.5%,*,0.5%,*,26,12.4%,184,87.6%,210,13,8.2%,145,91.8%,158,189,100.0%,0,0.0%,189,*,98.4%,*,1.6%,*,99,48.1%,107,51.9%,206,122,58.10%,88,41.90%,210,47,22.38%,163,77.62%,210,17,36.17%,30,63.83%,47,159,75.71%,51,24.29%,210,33,20.75%,126,79.25%,159,66,72.53%,25,27.47%,91,*,96.88%,*,3.13%,*,35,50.72%,34,49.28%,69,11,100.00%,0,0.00%,11,210,249,84.34%,200,9.5,3.1,12.5,71,44.65%,88,55.35%,159,*,1.94%,*,98.06%,*,*,0.53%,*,99.47%,*,0,0.00%,189,100.00%,189,6,2.86%,204,97.14%,210,3.5,0,5,0,No,ND,ND;AD,No,AN,No,Yes,Quarterly,ORC;OGC;ANC;NS;PH;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,No,HOS,NA,No
SDG,101,73.72%,7,5.11%,*,2.19%,11,8.03%,*,3.65%,10,7.30%,0,0.00%,*,0.00%,*,53,32.9%,108,67.1%,161,*,98.8%,*,1.2%,*,23,13.6%,146,86.4%,169,56,43.8%,72,56.3%,128,*,96.8%,*,3.2%,*,*,99.4%,*,0.6%,*,113,66.5%,57,33.5%,170,135,79.88%,34,20.12%,169,85,50.30%,84,49.70%,169,15,17.65%,70,82.35%,85,44,26.04%,125,73.96%,169,10,22.73%,34,77.27%,44,*,94.05%,*,5.95%,*,22,62.86%,13,37.14%,35,*,96.15%,*,3.85%,*,*,66.67%,*,33.33%,*,169,243,69.55%,147,19.1,1.2,20.3,47,34.06%,91,65.94%,138,*,1.23%,*,98.77%,*,*,0.64%,*,99.36%,*,26,16.56%,131,83.44%,157,7,4.14%,162,95.86%,169,18,0,5,1,No,ND,ND,No,AN,No,Yes,Not routinely,ORC;OGC;NS;TO,MM;DS;CI;CN,OG;SN,Both,RH,No,Unknown,FPC,No
