Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4023571,"96,578.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,CAMCO ADVISORY SERVICES LTD,4023574,"19,480.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,NATURAL ENVIRONMENT RESEARCH COUNCIL,4023575,"176,793.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4023576,"6,750.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4023578,"2,376.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,External Training,Science & Innovation Group - Science & Innovation Group,BPP PROFESSIONAL EDUCATION LTD,4023579,"1,333.33"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,External Training,Science & Innovation Group - Science & Innovation Group,BPP PROFESSIONAL EDUCATION LTD,4023579,"2,333.34"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,External Training,National Climate Change & Consumer Support - Energy Efficiency & Consumers,BPP PROFESSIONAL EDUCATION LTD,4023579,"1,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Independent Experts,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4023580,"1,048.10"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,External Legal Advice,Energy Markets & Infrastructure - DECC Commercial Team,FRESHFIELDS BRUCKHAUS DERINGER,4023582,"16,897.86"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4023584,"29,895.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/24/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023585,"1,700.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023587,"1,276.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023589,"1,700.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023590,"1,700.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4023592,"288,190.56"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4023592,"5,208.42"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/24/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023593,"1,089.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4023596,"32,696.40"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,INTERNATIONAL INSTITUTE FOR ENVIRONMENT & DEVELOPMENT (IIED),4023597,"1,287.03"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023601,900
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,WORDWAVE INTERNATIONAL LTD T/A MERRILL LEGAL SOLUTIONS,4023602,"2,145.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,PRICEWATERHOUSECOOPERS LLP,4023604,"26,700.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4023606,960
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,PRIORITY MANAGEMENT LONDON LTD,4023607,"7,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4023608,"5,316.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Others UK Travel & Subsistence (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,THE BRITISH COAL UTILISATION RESEARCH ASSOCIATION,4023609,"8,006.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,THE BRITISH COAL UTILISATION RESEARCH ASSOCIATION,4023609,"3,811.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,THE BRITISH COAL UTILISATION RESEARCH ASSOCIATION,4023609,"3,137.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,External Training,National Climate Change & Consumer Support - National Climate Change,THE WHITEHALL AND INDUSTRY GROUP,4023610,"4,850.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Other Miscellaneous Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,DIALOGUE BY DESIGN,4023611,"38,719.86"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Other Miscellaneous Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,DIALOGUE BY DESIGN,4023611,"38,719.86"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4023615,"20,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Hire of Conference Facilities (Programme),Energy & Climate Change International - International Climate Change Negotiations,COMMONWEALTH SECRETARIAT,4023616,"10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4023619,"4,377,605.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4023619,"4,200,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4023620,"1,608,887.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Technical Advice / Services & Support,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4023621,"25,710.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,NATURAL ENVIRONMENT RESEARCH COUNCIL,4023624,"14,993.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,KPMG LLP,4023625,"1,061.12"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,KPMG LLP,4023625,"100,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Other NDPB Resource Spend (Near Cash),National Climate Change & Consumer Support - National Climate Change,DEBT MANAGEMENT OFFICE - HM TREASURY,4023626,"6,342.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,KPMG LLP,4023627,"89,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,KPMG LLP,4023627,"20,203.07"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,GIROBANK plc,4023628,"11,687.98"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,REDPOINT ENERGY LTD,4023629,"32,853.15"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Other NDPB Resource Spend (Near Cash),National Climate Change & Consumer Support - National Climate Change,DEBT MANAGEMENT OFFICE - HM TREASURY,4023631,"53,050.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Translation Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,JOHN HARLEY,4023633,660
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Non Grant-in-Aid Funding of Bodies (Departmental and Non-Departmental),National Climate Change & Consumer Support - National Climate Change,DEFRA,4023636,"12,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Capital Grants to Private Sector - Not Own Asset Creation,Science & Innovation Group - Science & Innovation Group,LONDON BUSES SERVICES LTD,4023637,"720,443.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023638,"564,775.38"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE EUROPEAN MARINE ENERGY CENTRE LTD,4023639,"854,957.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023641,"3,725.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023642,"4,323.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Sponsorship Support,Energy Markets & Infrastructure - Energy Development Unit,NORTH OF SCOTLAND INDUSTRIES GROUP,4023643,"5,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Sponsorship Support,Energy Markets & Infrastructure - Energy Development Unit,NORTH OF SCOTLAND INDUSTRIES GROUP,4023643,"10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4023644,"5,010.82"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ILX GROUP PLC,4023652,"1,550.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,CYMDEITHAS CWM ARIAN,4023653,"5,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Minor Works,Corporate Support & Shared Services - Corporate Support & Shared Services,TIDEY ELECTRICAL LTD,4023655,"1,170.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Business Management Advice,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,CABINET OFFICE,4023656,"6,930.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,BASSAM FATTOUH,4023657,"1,200.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Recruitment Consultancy Costs,Energy Markets & Infrastructure - DECC Commercial Team,CAPITA RESOURCING LTD T/A VEREDUS EXECUTIVE RESOURCING,4023658,"9,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4023661,"141,955.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4023663,"1,934.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023664,"36,447.48"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4023665,"32,780.85"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4023665,"34,906.03"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,GFK NOP LTD,4023666,"59,230.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE ENERGY SAVING TRUST LTD,4023667,"63,673.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023668,640.55
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF BRISTOL,4023669,"116,411.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF BRISTOL,4023670,"22,443.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Hire of Conference Facilities,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4023672,"11,050.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Application Support Service,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,GEMSERV LTD,4023673,"14,950.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Estates Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,BRIAR ASSOCIATES,4023674,"2,520.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4023677,"11,006.59"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023678,"1,769.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023678,995
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Computer Equipment - Clearing,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4023679,"16,185.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,DECC Only  - Shared Services - Accommodation,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4023680,"14,708.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,DECC Only  - Shared Services - Accommodation,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4023680,"15,055.80"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,KLC EMPLOYMENT LAW CONSULTANTS LLP,4023682,"1,767.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4023687,"113,585.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4023688,"38,185.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PB POWER LTD,4023689,"2,173.94"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4023690,"7,391,227.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023694,"614,545.78"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4023695,"179,467.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4023696,"1,586.82"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4023697,"33,042.11"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4023698,"27,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Information Facilities,Energy Markets & Infrastructure - DECC Commercial Team,REUTERS LTD,4023700,"1,989.78"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4023701,"154,223.30"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,Martin L Parry,4023703,"5,959.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Other Miscellaneous Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,BRE,4023704,"92,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,OVERSEAS DEVELOPMENT INSTITUTE,4023705,"5,728.73"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,GORDON MACKERRON,4023706,"1,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,External Training,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PRAESTA PARTNERS LLP,4023707,"1,250.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Taxis Overseas,Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4023709,"1,384.76"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,FABRIQUE DU METAL LTD T/A ADVANCE SEATING DESIGNS,4023710,767.47
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,External Training,Science & Innovation Group - Science & Innovation Group,PLAIN LANGUAGE COMMISSION,4023711,"1,240.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,External Training,Science & Innovation Group - Science & Innovation Group,PLAIN LANGUAGE COMMISSION,4023711,"1,110.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Security and resilience,EXPERIAN LTD,4023713,"9,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NERA UK LTD,4023714,"14,419.35"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EAST HAMPSHIRE DISTRICT COUNCIL,4023716,"59,361.91"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,IT Maintenance and Management Services,National Climate Change & Consumer Support - Communications,E H S BRANN LTD,4023717,"1,340.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,DEFRA,4023718,"92,913.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",QUO IMUS LTD T/A QI CONSULTING,4023720,"10,448.04"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",QUO IMUS LTD T/A QI CONSULTING,4023720,"7,670.15"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,POSTURITE UK LTD,4023721,"1,984.80"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,POSTURITE UK LTD,4023721,600
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF CAMBRIDGE,4023722,"5,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,INTERNATIONAL INSTITUTE FOR ENVIRONMENT & DEVELOPMENT (IIED),4023724,"10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,INTERNATIONAL INSTITUTE FOR ENVIRONMENT & DEVELOPMENT (IIED),4023725,"6,829.80"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4023734,"60,688.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Capital Grants to Private Sector - Not Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4023737,"98,795.22"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4023739,"1,926,661.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,UCL CONSULTANTS LTD,4023741,"16,300.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023743,"51,550.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023745,782.89
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023749,"1,185.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023751,"1,185.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023752,"1,700.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023753,593.1
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4023754,514.02
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023757,632.64
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4023758,909.7
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Economic Consultancy and Research,National Climate Change & Consumer Support - Energy Efficiency & Consumers,NATIONAL ENERGY ACTION,4023759,"64,495.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Publications,Corporate Support & Shared Services - Corporate Support & Shared Services,BLACKWELL UK LTD,4023767,602.47
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NATS (EN-ROUTE) PLC,4023771,"232,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4023776,"2,176.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4023779,"2,097.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4023780,"1,498.08"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4023782,789.49
