Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,DOCTOR JOHN MOORE-GILLON,4022717,"1,120.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4022719,787.18
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Taxis,DECC Private Office Group - DECC Private Office Group,KENNETH PHELPS T/A THE CARRIAGE COMPANY,4022720,830
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,SLAUGHTER AND MAY,4022721,"32,379.42"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,SLAUGHTER AND MAY,4022721,"7,600.04"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4022722,706.96
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4022723,701.04
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4022725,787.18
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4022726,560.9
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4022728,864.72
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4022731,"103,221.95"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4022732,"333,856.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4022733,"3,390.00"
