,,,,,
Full Property Address,Property Reference Number,Current Rateable Value,Current Relief Type Description,Primary Liable party name,Account Start date
"Crossgates Smallholding, Broughton Road, Dalton In Furness, Cumbria, LA15 8JR",112183300020N,1000,Small Business Relief England,D & P Johnson Ltd,01/04/2001
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Cumbria Auto Repairs, The Arches,, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PB",105165809050N,7200,Small Business Relief England,Cumbria Autos Ltd,01/04/1990
"Cumbria County Council, Tummerhill Playing F, Biggar Bank Road, Barrow In Furness, Cumbria, LA14 3HN",102106809010N,600,Mandatorary Relief,Walney School,01/04/2010
"Cumbrian Co-Operative Society Ltd, Holyoake Avenue, Barrow In Furness, Cumbria, LA13 9LJ",110229509011N,14750,Retail Relief,Cumbrian Co-Op Society,01/04/2010
"Cumbrian Cooperative Soc Ltd, Island Road, Barrow In Furness, Cumbria, LA14 2RL",103334009080N,19250,Retail Relief,Cumbrian Co-Op Society,02/04/1990
"Cumbrian Co-Op Society Ltd,, Plymouth Street, Barrow In Furness, Cumbria, LA14 3AN",102353909011N,25500,Retail Relief,Cumbrian Co-Op Society,01/04/2010
"Cunninghams, 13, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",104305909010N,6250,Retail Relief,Lara Gibbons Ltd,11/07/2011
"Cunninghams, 13, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",104305909010N,6250,Small Business Relief England,Lara Gibbons Ltd,11/07/2011
"Dalton Castle, Market Place, Dalton In Furness, Cumbria, LA15 8AX",113187509020N,1000,Mandatorary Relief,"The National Trust,",01/04/1990
"Dalton Community Centre, Nelson Street, Dalton In Furness, Cumbria, LA15 8AF",112288309147N,5600,Mandatorary Relief,Dalton Community Association,01/08/2000
"Dalton Cricket Club, Ulverston Road, Dalton In Furness, Cumbria, LA15 8EY",113291600760N,12000,Mandatory CASC Relief,Dalton Cricket Club,01/04/1990
"Dalton-In-Furness Ce School, Coronation Drive, Dalton In Furness, Cumbria, LA15 8QR",113382809000N,26500,Mandatorary Relief,"Dalton St Mary'S C.E. Primary School,",01/04/1994
"Dalton Leisure Centre, Chapel Street, Dalton In Furness, Cumbria, LA15 8DA",112182309130N,105000,Mandatorary Relief,"Dalton Leisure Services Ltd,",01/04/1990
"Dalton Market, Tudor Square, Dalton In Furness, Cumbria, LA15 8RJ",112291400900N,1500,Retail Relief,Dalton Parish Council,01/04/2002
,,,,,
,,,,,
"Dalton Rlfc, Crooklands Brow, Ulverston Road, Dalton In Furness, Cumbria, LA15 8HB",113183109020N,7400,Mandatory CASC Relief,Dalton Rlfc,01/04/1990
"Dalton United Football Club, Beckside, Dalton In Furness, Cumbria, LA15 8DP",113181209060N,5600,Mandatory CASC Relief,Dalton United Afc,01/04/1990
,,,,,
"Derian The Old Brewery, Hindpool Road, Barrow In Furness, Cumbria, LA14 2ND",104531209079N,0,Small Business Relief England,Derian Engineering Ltd,01/03/2006
,,,,,
"Dominos, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",104274209601N,15500,Retail Relief,Michael Bird Ltd,30/06/2009
"Duddon Inshore Rescue The Shore, Steel Street, Askam In Furness, Cumbria, LA16 7BS",112697809020N,3750,Mandatorary Relief,Duddon Inshore Rescue,01/04/1990
"Duddon Sports & Social Club, James Street, Askam In Furness, Cumbria, LA16 7AH",112595509020N,9400,Retail Relief,Duddon Sports & Social Club,01/08/1999
"Duddon Sports & Social Club, James Street, Askam In Furness, Cumbria, LA16 7AH",112595509020N,9400,Small Business Relief England,Duddon Sports & Social Club,01/08/1999
"Duke Of Edinburgh Hotel, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",104500108050N,27300,Retail Relief,Barrow Pub Co Ltd,28/11/2006
,,,,,
,,,,,
"Emlyn Hughes House, Gnd Flr, Abbey Road, Barrow In Furness, Cumbria, LA14 5QY",104300109173N,22750,Empty Property Rate Non-Industrial,Barrow Borough Council,17/04/2012
"Empire Carpets, Wilkie Road, Barrow-In-Furness, Cumbria, LA14 5UT",104274209072N,13000,Mandatorary Relief,St Marys Hospice,01/02/2014
"English Heritage, Furness Abbey, Barrow In Furness, Cumbria, LA13 0PJ",110125409090N,5000,Mandatorary Relief,English Heritage,01/04/2000
"Envirocasting Ltd, St Georges Square, Barrow In Furness, Cumbria, LA14 2JQ",105160909140N,8500,Small Business Relief England,Envirocasting Ltd,01/04/1990
,,,,,
,,,,,
"Felltop (Nw) Ltd (Tb Group Yard), Walney Road, Barrow In Furness, Cumbria, LA14 5UT",104274209201N,8900,Small Business Relief England,Felltop (North West) Ltd,16/08/2011
"Ferry Hotel, Promenade, Barrow In Furness, Cumbria, LA14 3PE",101254809050N,48000,Retail Relief,Mitchells & Butler Ltd,12/02/2007
"F G Murray (Jnr) & P Grainger, Ashworth St Garage, Ashworth Street, Dalton In Furness, Cumbria, LA15 8SH",112180709001N,4200,Small Business Relief England,Ashworth St Garage Ltd,24/07/1991
"First Floor, 22, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",104329800228N,2200,Small Business Relief England,Barrow Constituency Labour Party,27/05/2003
,,,,,
"First Floor, 75/77, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1QQ",104508900753N,4600,Empty Property Rate Non-Industrial,James Hay Pension Trustees Limited,14/12/2011
,,,,,
,,,,,
"Flexappeal Fitness Ltd, Hartington Street, Barrow In Furness, Cumbria, LA14 5SS",104129809015N,6700,Small Business Relief England,Flexappeal Fitness Ltd,17/05/1999
,,,,,
"Former Barrow Afc Ground, Devonshire Road, Barrow In Furness, Cumbria, LA14 5UQ",109118508013N,1600,Mandatory CASC Relief,Furness Rovers Foot. Club,23/04/1993
"Former Cumbrian Cooperative Soc Ltd (Part), Abbey Road, Barrow In Furness, Cumbria, LA14 5UB",104500108130N,41750,Empty Property Rate Non-Industrial,J D Wetherspoon Plc,22/07/1998
"Former Furness Heating Components, The Old Brewery, Albert Street, Barrow In Furness, Cumbria, LA14 2JF",105101109017N,3650,Small Business Relief England,Horrocks (North West) Ltd,23/06/2013
,,,,,
,,,,,
,,,,,
,,,,,
"Furness Academy, Park Drive, Barrow In Furness, Cumbria, LA13 9BB",107352609001N,540000,Mandatorary Relief,Furness Academy,14/09/2013
"Furness Carers At, Hindpool Community Centre, Nelson Street, Barrow In Furness, Cumbria, LA14 1NF",104347309026N,4800,Mandatorary Relief,Furness Carers Association,15/04/2009
"Furness Carers, Pt  Ff Hindpool Community Centre, Nelson Street, Barrow In Furness, Cumbria, LA14 1NF",104347309035N,2175,Mandatorary Relief,Furness Carers Association,06/06/2006
"Furness Cavaliers Afc, Rampside Road, Barrow In Furness, Cumbria, LA13 OHN",111257009200N,3450,Mandatory CASC Relief,"Furness Cavaliers Afc,",01/04/1990
"Furness College, Channelside, Bessemer Way, Barrow In Furness, Cumbria, LA14 5RL",104232209011N,925000,Mandatorary Relief,"Furness College Corporation,",01/04/1993
"Furness Cricket Club, Oxford Street, Barrow In Furness, Cumbria, LA14 5PR",107151209040N,8500,Mandatory CASC Relief,Furness Cricket Club,01/04/1990
"Furness Diving Club, Woodbridge Haven, Cavendish Dock Road, Barrow In Furness, Cumbria, LA14 2TB",108111409082N,690,Small Business Relief England,Furness Diving Club,01/12/2013
"Furness Feeds, Schneider Road, Barrow In Furness, Cumbria, LA14 5ER",106362309311N,7300,Small Business Relief England,Furness Feeds Ltd,01/10/2013
"Furness Footwear Ltd, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",113487309105N,19500,Retail Relief,Courtesy Shoes Limited,01/04/2013
,,,,,
"Furness House The Mall, Duke Street, Barrow In Furness, Cumbria, LA14 1HL",105117309317N,81500,Empty Property Rate Non-Industrial,Denbrook Ltd,01/06/2011
"Furness Marksmen, The Old Gasworks Site, Salthouse Mills, Salthouse Road, Barrow In Furness, Cumbria, LA13 0DH",111561609592N,3550,Mandatory CASC Relief,Furness Pistol/Rifle Club,22/03/1996
,,,,,
,,,,,
,,,,,
"Furness Rufc Strawberry Ground, Abbey Road, Barrow In Furness, Cumbria, LA13 9LA",110100109790N,10500,Mandatory CASC Relief,The Treasurer,01/04/1990
,,,,,
,,,,,
,,,,,
"Gf, 118 , Duke Street, Barrow In Furness, Cumbria, LA14 1LW",104519509602N,9600,Retail Relief,Home Delivery Carpets Ltd,23/06/2014
,,,,,
,,,,,
"Girl Guides Association, Chapel Street, Dalton In Furness, Cumbria, LA15 8BZ",112182309140N,1650,Mandatorary Relief,"Girl Guides Assn,",01/04/1990
"Glen Garth Hotel, 359, Abbey Road, Barrow In Furness, Cumbria, LA13 9JY",109100109450N,0,Empty Property Rate Non-Industrial,Northern Health Care Ltd,18/11/2013
,,,,,
"Gnd Flr, 22, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",105112500998N,2375,Small Business Relief England,John Woodcock Mp,01/07/2010
,,,,,
,,,,,
"Gnd Flr 47-49, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",104329800473N,6500,Small Business Relief England,Alexander Vet Centre Ltd,17/12/1993
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Greengate Community Centre, Greengate Street, Barrow In Furness, Cumbria, LA14 1BG",105327600920N,14000,Mandatorary Relief,Action For Children,01/04/2008
"Greenscoe Gems, St Anthonys Church, Crossley Street, Askam In Furness, Cumbria, LA16 7AS",112595509040N,3600,Small Business Relief England,Greenscoe Gems Ltd,14/03/2011
"Griffin Community Centre, Cotswold Crescent, Barrow In Furness, Cumbria, LA14 5BL",106114089010N,5400,Small Business Relief England,Griffin Community Centre,01/04/2001
"Ground Floor, 111, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501110N,5400,Retail Relief,Pearson Driving Assess Ltd,24/05/2004
,,,,,
,,,,,
,,,,,
"Happy Tots Day Nursery, Arndene Park, Abbey Road, Barrow In Furness, Cumbria, LA13 9JY",109100109391N,16750,Small Business Relief England,Happy Tots Day Nursery Limited,01/10/2013
"Hawcoat Community Centre, Skelwith Drive, Barrow In Furness, Cumbria, LA14 4SA",109463709010N,4150,Small Business Relief England,Hawcoat Community Centre Users Group,01/04/2012
"Hawcoat & Ormsgill Memorial Hall, 17, Dalton Lane, Barrow In Furness, Cumbria, LA14 4HT",109317200170N,610,Small Business Relief England,Hawcoat/Ormsgill Mem Hall,01/04/1990
"Hawcoat Park Sports & Social Club, Hawcoat Lane, Barrow In Furness, Cumbria, LA14 4HF",109130109040N,32000,Mandatory CASC Relief,Hawcoat Park Sports & Social Club,01/01/2008
"Healeys, Hindpool Road, Barrow In Furness, Cumbria, LA14 2ND",104531209033N,4750,Small Business Relief England,Healeys Bar Ltd,01/10/1999
,,,,,
,,,,,
,,,,,
,,,,,
"Holker Old Boys' Club, Rakesmoor Lane, Barrow In Furness, Cumbria, LA14 4QB",109456809050N,10250,Mandatory CASC Relief,Holker Old Boys' Club,01/04/1990
"Holker Pioneers Rugby Club, Flass Lane, Barrow In Furness, Cumbria, LA13 0AB",110224209123N,9000,Mandatory CASC Relief,Roose Pioneers Rugby Club,17/10/1994
"Holy Family Rc Primary School, Ostley Bank, Barrow In Furness, Cumbria, LA13 9LR",110451009040N,26500,Mandatorary Relief,Holy Family Rc Primary School,01/04/2014
,,,,,
" , Hoops Basketball Centre, Thorncliffe Road, Barrow In Furness, Cumbria, LA14 5QA",109269809031N,37000,Mandatorary Relief,Hoops Basketball Centre,01/02/2010
,,,,,
"Hrs Lindal Ltd, Wcf Yard, Pennington Lane, Lindal In Furness, Cumbria, LA12 OLA",112239910218N,1575,Small Business Relief England,Hrs Lindal Ltd,01/04/2006
"Impact Housing, College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209130N,20250,Empty Property Rate Charitable,Impact Housing Assoc. Ltd,01/08/2005
,,,,,
"Ireleth School, Kirkby Road, Askam In Furness, Cumbria, LA16 7EU",112599002700N,22500,Mandatorary Relief,Ireleth School Corporation,01/04/1994
,,,,,
,,,,,
,,,,,
"Jeffersons, 60-64, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",105119500624N,18000,Retail Relief,Duke Street Properties Northern Ltd,01/04/2007
,,,,,
"J N Murray Ltd, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",101379300182N,17000,Retail Relief,J N Murray Ltd,31/07/1997
"J N Murray, The Pharmacy, Warwick Street, Barrow In Furness, Cumbria, LA14 5AY",107274500320N,10750,Retail Relief,"J N Murray Ltd,",01/04/1990
,,,,,
"J Postlethwaite Ltd, Warwick Street, Barrow In Furness, Cumbria, LA14 5HT",107274509150N,4250,Small Business Relief England,J S Postlethwaite Ltd,01/04/1990
,,,,,
"Kavannas, 18-24, Cornwallis Street, Barrow In Furness, Cumbria, LA14 2LG",105114000240N,18250,Empty Property Rate Non-Industrial,Imperial Hotel (Barrow) Ltd,01/01/2012
"Kings Arms Hotel, Dalton Road, Barrow In Furness, Cumbria, LA14 1HY",105117309030N,12000,Retail Relief,Amber Taverns Limited,17/05/2011
,,,,,
"Kings Hall, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",104129809010N,11250,Mandatory CASC Relief,Furness Gym Club,01/04/1993
,,,,,
"Kwik Save, Holker Street, Barrow In Furness, Cumbria, LA14 5RA",104231609200N,115000,Empty Property Rate Non-Industrial,T W R Developments Limited,01/04/2010
"Lakeland Fudge, Schneider Road, Barrow In Furness, Cumbria, LA14 5ER",106362309312N,5300,Small Business Relief England,Lakeland Fudge Ltd,01/10/2013
"Lakeland Leisure, The Lock Up, Shore Street, Barrow In Furness, Cumbria, LA14 2UB",105163209020N,2250,Small Business Relief England,Lakeland Leisure,21/05/2008
"Lakes Gliding Club, Walney Aerodrome, North Scale, Barrow In Furness, Cumbria, LA14 3TJ",101248709283N,4300,Small Business Relief England,Lakes Gliding Club,01/09/1994
,,,,,
"Landscape House, Bath Street, Barrow In Furness, Cumbria, LA14 5TR",104105909450N,3100,Small Business Relief England,Yool Ltd,11/09/2000
,,,,,
"Lesser Kings Hall,, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",104129809028N,8900,Mandatorary Relief,Cumbria Cvs,26/11/2009
"Lidl Uk Ltd, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",104274209084N,106000,Empty Property Rate Non-Industrial,Ogden Waller Property Ventures Llp,19/06/2013
"Lifeboat Station, Piel Street, Roa Island, Barrow In Furness, Cumbria, LA13 0QL",111158309012N,206000,Mandatorary Relief,R.N.L.I.,28/09/2000
,,,,,
"Lloyds Motor Services, Durham Street, Barrow In Furness, Cumbria, LA13 9SW",108243709010N,4850,Small Business Relief England,Lloyds Motor Services Barrow Ltd,01/08/2013
,,,,,
,,,,,
,,,,,
"Lords Tavern, Abbey Road, Barrow In Furness, Cumbria, LA14 1LQ",104300109052N,13000,Retail Relief,Abbey Road Leisure Limited,23/08/2010
"Lords Tavern, Abbey Road, Barrow In Furness, Cumbria, LA14 1LQ",104300109052N,13000,Small Business Relief England,Abbey Road Leisure Limited,23/08/2010
,,,,,
"Lumier Ltd, County Park Trading Estate, Park Road, Barrow In Furness, Cumbria, LA14 4BQ",106552709030N,7600,Small Business Relief England,Lumier Ltd,28/02/2002
"Manhattans, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",104411609174N,37000,Retail Relief,Lucas Leisure Ltd,23/12/2011
"Masonic Hall, Hall Street, Dalton In Furness, Cumbria, LA15 8RS",112285409020N,3700,Small Business Relief England,"The Baldwin Masonic Hall Co.Ltd,",01/04/1990
,,,,,
,,,,,
,,,,,
"M I N D In Furness, 64, School Street, Barrow In Furness, Cumbria, LA14 1EW",105462300640N,6600,Mandatorary Relief,"M I N D,",01/04/1990
"M Marsh Eure Pits, Crooklands Brow, Dalton-In-Furness, Cumbria, ",113183109061N,3850,Small Business Relief England,Marsh Plant & Contracting Ltd,01/04/2004
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Nautical Club, Promenade, Barrow In Furness, Cumbria, LA14 3QF",101254809250N,9200,Retail Relief,"Nautical Club,",01/04/1990
"Nautical Club, Promenade, Barrow In Furness, Cumbria, LA14 3QF",101254809250N,9200,Small Business Relief England,"Nautical Club,",01/04/1990
"Nch At Newbarns School, Rising Side, Barrow In Furness, Cumbria, LA13 9ET",110458259011N,6300,Mandatorary Relief,Action For Children,14/04/2008
,,,,,
,,,,,
"Newton Village Hall, Newton, Newton In Furness, Nr Dalton In Furness, Cumbria, LA13 ONB",113388400920N,2600,Mandatorary Relief,Newton Village Hall,01/04/1990
,,,,,
"No 34 Hut, Harding Rise, Barrow In Furness, Cumbria, LA14 2TB",103357109250N,330,Small Business Relief England,Barrow Island Boating Club,01/04/2003
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"North Scale Community Centre, Cows Tarn Lane, Barrow In Furness, Cumbria, LA14 3UG",101314229001N,2800,Small Business Relief England,North Scale Residents Association (Incorp Comm Centre),01/11/1996
"North Scale Disabled Boat Club, Promenade, Barrow In Furness, Cumbria, LA14 3RW",101254809016N,960,Small Business Relief England,N Scale Dis. Boat Club,05/11/2005
,,,,,
,,,,,
"Ocean Wave Community Centre, Court Guards, Barrow In Furness, Cumbria, LA14 3EX",102250209040N,2025,Small Business Relief England,Ocean Wave,01/02/2008
"Office 1, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",104274209701N,1200,Small Business Relief England,Groover The Mover Ltd,01/06/2013
"Office 9, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",104274209709N,1475,Small Business Relief England,R Brady T/A Gardening Serv. Ltd,01/02/2013
"Office A Ambassador House, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117309206N,12250,Mandatorary Relief,Accent Foundation Ltd,03/11/2008
"Office B Ambassador House, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117309207N,9100,Empty Property Rate Non-Industrial,Accent Foundation Ltd,29/07/2011
,,,,,
,,,,,
,,,,,
,,,,,
"Our Lady Of The Rosary Rc School, Crooklands Brow, Ulverston Road, Dalton In Furness, Cumbria, LA15 8JH",113183109070N,13750,Mandatorary Relief,Cumbria County Council,01/04/1990
"Our Ladys Chetwynde School, Rating Lane, Barrow In Furness, Cumbria, LA13 0NZ",110100109722N,162000,Mandatorary Relief,"Board Of Governors,",12/12/1997
"Outdoor Market, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154009000N,2400,Retail Relief,Barrow Borough Council,12/03/1997
,,,,,
,,,,,
,,,,,
,,,,,
"Paul French Salon 1,, Rakesmoor Lane, Barrow In Furness, Cumbria, LA14 4LG",109456800017N,4750,Small Business Relief England,Paul French Salon Ltd,09/11/2005
,,,,,
"Phoenix Business Centre, Room 5, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",104235500051N,2000,Small Business Relief England,Fck Recruitment Ltd,21/07/2012
"Piel View, Abbey Road, Barrow In Furness, Cumbria, LA13 9BD",107300109962N,7800,Small Business Relief England,Octopus Collective Limited,01/05/2010
,,,,,
"Princess Interiors, Wilkie Road, Barrow-In-Furness, Cumbria, LA14 5UT",104274209064N,18500,Retail Relief,Rall Ltd,01/01/2002
"Progression Web Marketing, Titchfield Street, Barrow In Furness, Cumbria, LA14 5DA",106101001241N,1675,Small Business Relief England,Progression Web Marketing Limited,01/07/2010
"Pt 3 & 4-5, Lawson Street, Barrow In Furness, Cumbria, LA14 2LS",105137700041N,12250,Empty Property Rate Non-Industrial,Barrow Borough Council,11/04/2008
"Pt Gnd Flr, 98, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",105112500989N,1775,Mandatorary Relief,Thrift Charitable Trust,14/09/2005
"Pt Gnd Flr, 98, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",105112500989N,1775,Retail Relief,Thrift Charitable Trust,14/09/2005
,,,,,
,,,,,
,,,,,
"R/0 37-39, Roose Road, Barrow In Furness, Cumbria, LA13 9RG",108359000391N,2600,Small Business Relief England,Graphixsigns Ltd,07/11/2003
,,,,,
,,,,,
"Ram Associates, High Street, Barrow In Furness, Cumbria, LA14 1QY",104530709060N,3900,Small Business Relief England,Mrl Properties Limited,12/11/2013
"Rampside Village Hall, Rampside, Barrow In Furness, Cumbria, LA13 OPY",111156909100N,9700,Mandatorary Relief,Rampside Village Hall Cttee,18/04/2005
"Ramsden Square Rank Ltd, Duke Street, Barrow In Furness, Cumbria, LA14 1XX",104119509490N,1450,Small Business Relief England,Ramsden Square Rank Limited,22/06/2010
,,,,,
,,,,,
,,,,,
"Rathbone Training Ltd, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",104253560100N,16000,Mandatorary Relief,Rathbone Training,15/12/2000
,,,,,
,,,,,
,,,,,
"Repair Garage, Foundry Street, Barrow In Furness, Cumbria, LA14 2BB",108124609163N,4000,Small Business Relief England,Foundry St Garage Ltd,01/04/2001
"Richard Cave Centre,, Schneider Road, Barrow In Furness, Cumbria, LA14 5DP",106362109391N,2450,Mandatorary Relief,Multiple Sclerosis Society,20/03/2004
,,,,,
,,,,,
,,,,,
,,,,,
"R/O 118, Risedale Road, Barrow In Furness, Cumbria, LA13 9RB",108358201181N,740,Small Business Relief England,Gas Water Heating Limited,12/03/2010
,,,,,
,,,,,
"Roa Island Boating Club Ltd., Piel Street, Roa Island, Barrow In Furness, Cumbria, LA13 OQJ",111158309240N,13000,Mandatory CASC Relief,Roa Island Boating Club Ltd,31/10/2004
,,,,,
,,,,,
,,,,,
,,,,,
"Room 12, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",104235500120N,1500,Small Business Relief England,Heydays Care & Support Services Ltd,01/12/2013
"Room 13, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",104235500130N,1500,Small Business Relief England,Holbeck Construction Services Limited,01/12/2013
"Room 14, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",104235500140N,1500,Small Business Relief England,Shepherd A & S Ltd,03/02/2014
,,,,,
"Room 18,, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",104235500181N,1025,Small Business Relief England,Furness Enterprise Ltd,01/10/2012
,,,,,
"Room 20,, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",104235500201N,2900,Small Business Relief England,Accounting 4 Safety Ltd,01/06/2012
"Room 2a Phoenix Business Centre, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",104235500021N,1525,Small Business Relief England,Fieldgate Data Services Ltd,01/03/2013
"Room 3a & 4a Phoenix Business Centre, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",104235500032N,2800,Small Business Relief England,Blackun Ltd T/A Tkm,01/03/2013
"Room 4, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",104235500041N,2000,Small Business Relief England,Michael Ellis Wealth Management Limited,03/04/2013
"Rooms 9 & 10 Phoenix Business Centre, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",104235500091N,4350,Small Business Relief England,Athena Professional Technical Services Limited,29/04/2013
,,,,,
"Roose Conservative Club, Rampside Road, Barrow In Furness, Cumbria, LA13 OHP",111257009190N,14500,Retail Relief,"The Treasurer,",01/04/1990
"Roose Conservative Club, Rampside Road, Barrow In Furness, Cumbria, LA13 OHP",111257009190N,14500,Small Business Relief England,"The Treasurer,",01/04/1990
,,,,,
"Roosegate Housing Office, 182, Roose Road, Barrow In Furness, Cumbria, LA13 OEE",111559009101N,6200,Small Business Relief England,A B Mitchell Developments Ltd,01/04/2009
,,,,,
"Rosebys, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",104131209123N,91500,Empty Property Rate Non-Industrial,The Retail & Warehouse Company Limited,22/05/2013
,,,,,
"Royal British Legion Club, Holker Street, Barrow In Furness, Cumbria, LA14 5RQ",104231609170N,14750,Mandatorary Relief,"British Legion Club,",01/04/1990
"Royal British Legion Club, Holker Street, Barrow In Furness, Cumbria, LA14 5RQ",104231609170N,14750,Retail Relief,"British Legion Club,",01/04/1990
"Royal Naval Association Club, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TN",103357209030N,7800,Retail Relief,"Royal Naval Association Club,",01/04/1990
"R S P C A,, 106, Church Street, Barrow In Furness, Cumbria, LA14 1HA",105112509030N,1950,Mandatorary Relief,"R.S.P.C.A,",01/04/1990
"Sacred Heart Roman Catholic Sch, Lumley Street, Barrow In Furness, Cumbria, LA14 2BA",105239509010N,18500,Mandatorary Relief,Cumbria County Council,01/04/1990
"Safe In Barrow Domestic Abuse Project, Lakeland Pennine Bld, Abbey Road, Barrow In Furness, Cumbria, LA14 1XL",104300109039N,7900,Mandatorary Relief,Age Uk Barrow And District,14/03/2011
"Salthouse Bowling Club, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AN",105261609130N,880,Mandatory CASC Relief,"Salthouse Bowling Club,",01/04/1990
,,,,,
"Salt Marsh Caravan Park, Carr Lane, Barrow In Furness, Cumbria, LA14 3YH",102111209010N,8300,Small Business Relief England,Biggar Bank Caravan Association,02/04/1990
"Sam Gabriel, Sowerby Woods Business Park, Park Road, Barrow In Furness, Cumbria, LA14 4QR",106552709214N,15250,Empty Property Rate Non-Industrial,H Wicks (Lindal) Ltd,01/01/2014
,,,,,
,,,,,
"School Playing Field, Duke Street, Askam In Furness, Cumbria, LA16 7AD",112595609030N,215,Mandatorary Relief,Community Centre,01/04/1990
"Scout Hut, Beckside Road, Dalton-In-Furness, Cumbria, LA15 8DP",113181209001N,1200,Mandatorary Relief,1st Duddon Scouts,01/04/2005
,,,,,
,,,,,
,,,,,
"Shopmobility Centre, Oldham Street, Barrow In Furness, Cumbria, LA14 1JS",105129409011N,10000,Mandatorary Relief,Shopmobility Furness,19/08/1999
"Signal Films, 2nd Flr 104, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",104500108087N,8700,Mandatorary Relief,Signal Film And Media Ltd,01/09/2011
"Signal Films At Burlington House, Michaelson Road, Barrow In Furness, Cumbria, ",105109089109N,8200,Mandatorary Relief,Nacro,08/08/2011
"Signal Films, Gnd Flr 104, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",104500108085N,3050,Mandatorary Relief,Signal Film And Media Ltd,01/09/2011
"Sir John Fisher Sailing Centre, St Andrews Street, Barrow In Furness, Cumbria, LA14 2TB",103357209600N,20000,Mandatorary Relief,"Sea Cadet Corporation,",13/07/1992
"Skint, Lawson Street, Barrow In Furness, Cumbria, LA14 2LA",104531209530N,27500,Retail Relief,Club M (Barrow) Ltd,01/01/2012
,,,,,
"S-Mart Convenience Store, Roose Road, Barrow In Furness, Cumbria, LA13 OEE",108359009150N,11500,Small Business Relief England,Roose Car Wash Ltd T/A Smart Safe Ltd,01/04/2013
,,,,,
,,,,,
"Spring Mount Walney, Amphitrite Street, Barrow In Furness, Cumbria, LA14 3BZ",102101409005N,3400,Mandatorary Relief,Walney Community Trust,01/04/2005
,,,,,
"Stall 2, Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119511280N,5200,Empty Property Rate Non-Industrial,Barrow Borough Council,28/10/2006
,,,,,
,,,,,
,,,,,
,,,,,
"Stall 4 Fish Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119511242N,4150,Empty Property Rate Non-Industrial,Barrow Borough Council,01/07/2012
,,,,,
"Stall 7, Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119511335N,5100,New Build Empty Property Relief,Barrow Borough Council,26/04/2014
,,,,,
,,,,,
,,,,,
