FIN.Posting Date,Merchant Name,FIN.Transaction Amount,
13/01/2012,MOJ2011/008064 - W F ELECTRICAL,"1,809.98",
13/01/2012,MOJ2011/008065 - W F ELECTRICAL,"1,613.71",
13/01/2012,MOJ2011/008066 - WALLGATE LIMITED,718.12,
13/01/2012,MOJ2011/008067 - POTTERTON COMMERCIAL,"1,094.40",
13/01/2012,MOJ2011/008068 - UPNORTH COOLING LTD,817.20,
13/01/2012,MOJ2011/008069 - BRITISH PSYCHO SOC,822.00,
13/01/2012,MOJ2011/008070 - SOPER GROUP LTD,561.60,
13/01/2012,MOJ2011/008071 - HEATING PRODUCTS L,950.11,
13/01/2012,MOJ2011/008072 - ADVANCED EASY CLAD LLP,-978.68,
13/01/2012,MOJ2011/008073 - ADVANCED EASY CLAD LLP,978.68,
13/01/2012,MOJ2011/008074 - ADVANCED EASY CLAD LLP,"1,022.57",
13/01/2012,MOJ2011/008075 - JEWSON LTD,806.79,
13/01/2012,MOJ2011/008076 - BANNER BUSINESS SUPPL,"1,005.83",
13/01/2012,MOJ2011/008077 - BANNER BUSINESS SUPPL,785.77,
13/01/2012,MOJ2011/008078 - BANNER BUSINESS SUPPL,592.08,
13/01/2012,MOJ2011/008079 - GREENHAM TRADING LTD,741.53,
13/01/2012,MOJ2011/008080 - PRACTICAL HI-FI LTD,580.00,
13/01/2012,MOJ2011/008081 - CWL-T     118693629595,513.34,
13/01/2012,MOJ2011/008082 - BANNER BUSINESS SUPPL,652.71,
13/01/2012,MOJ2011/008083 - GREENHAM TRADING LTD,782.20,
13/01/2012,MOJ2011/008084 - CWL-T     118701829595,820.38,
13/01/2012,MOJ2011/008085 - XMA LTD,561.27,
13/01/2012,MOJ2011/008086 - XMA LTD,523.75,
13/01/2012,MOJ2011/008087 - XMA LTD,503.63,
13/01/2012,MOJ2011/008088 - XMA LTD,613.97,
13/01/2012,MOJ2011/008089 - XMA LTD,"1,344.00",
16/01/2012,MOJ2011/008090 - KINGS FARM SHOP,618.02,
16/01/2012,MOJ2011/008091 - ARGOS RETAIL GROUP,838.93,
16/01/2012,MOJ2011/008092 - ARGOS RETAIL GROUP,525.90,
16/01/2012,MOJ2011/008093 - BJ LIGHTING SUPPLIES L,773.04,
16/01/2012,MOJ2011/008094 - BAY PLASTICS LTD,780.00,
16/01/2012,MOJ2011/008095 - BAY PLASTICS LTD,780.00,
16/01/2012,MOJ2011/008096 - JLA,"1,546.80",
16/01/2012,MOJ2011/008097 - JLA,846.00,
16/01/2012,MOJ2011/008098 - STAMFORD GROUP LTD,709.80,
16/01/2012,MOJ2011/008099 - H.C.SLINGSBY PLC,526.80,
16/01/2012,MOJ2011/008100 - WILLIAM FINCH(BUILDING,849.24,
16/01/2012,MOJ2011/008101 - ARDULA LTD,900.36,
16/01/2012,MOJ2011/008102 - WILSON ACCESS HIRE LTD,540.00,
16/01/2012,MOJ2011/008103 - AUTO ECONOMICS LTD,522.00,
16/01/2012,MOJ2011/008104 - AUTO ECONOMICS LTD,522.00,
16/01/2012,MOJ2011/008105 - AUTO ECONOMICS LTD,618.00,
16/01/2012,MOJ2011/008106 - SCOTT / SARGEANT,577.86,
16/01/2012,MOJ2011/008107 - EPMS SUPPLIES LIMITED,620.16,
16/01/2012,MOJ2011/008108 - SETON,999.00,
16/01/2012,MOJ2011/008109 - SETON,999.00,
16/01/2012,MOJ2011/008110 - NORTHWEST TIMBER,967.87,
16/01/2012,MOJ2011/008111 - CITY ELECTRICAL FA,567.30,
16/01/2012,MOJ2011/008112 - W F ELECTRICAL,"1,797.00",
16/01/2012,MOJ2011/008113 - W F ELECTRICAL,743.87,
16/01/2012,MOJ2011/008114 - MORPETH PLUMB CENTER,601.56,
16/01/2012,MOJ2011/008115 - PARTS CENTRE,951.26,
16/01/2012,MOJ2011/008116 - JEWSON LIMITED,868.25,
16/01/2012,MOJ2011/008117 - WWW.UK.RS-ONLINE.C,"1,011.80",
16/01/2012,MOJ2011/008118 - TRAVIS PERKINS,735.21,
16/01/2012,MOJ2011/008119 - AUTOGRAPHS AND SIGNATU,511.20,
16/01/2012,MOJ2011/008120 - IMPERIAL COMMERCIA,571.03,
16/01/2012,MOJ2011/008121 - G M TREBLE LTD,554.40,
16/01/2012,MOJ2011/008122 - LINCOLNSHIRE FLOORING,598.20,
16/01/2012,MOJ2011/008123 - SCREWFIX DIRECT,-597.98,
16/01/2012,MOJ2011/008124 - CWL-T     118757329595,684.40,
16/01/2012,MOJ2011/008125 - BANNER BUSINESS SUPPL,547.34,
16/01/2012,MOJ2011/008126 - BANNER BUSINESS SUPPL,940.50,
16/01/2012,MOJ2011/008127 - PERSONNEL HYGIENE SERV,709.92,
16/01/2012,MOJ2011/008128 - BANNER BUSINESS SUPPL,508.83,
16/01/2012,MOJ2011/008129 - GREENHAM TRADING LTD,"1,199.94",
16/01/2012,MOJ2011/008130 - GREENHAM TRADING LTD,839.52,
16/01/2012,MOJ2011/008131 - CWL-T     118737329595,559.20,
16/01/2012,MOJ2011/008132 - APPLE COMPUTER INTL,"2,529.00",
16/01/2012,MOJ2011/008133 - BANNER BUSINESS SUPPL,520.13,
16/01/2012,MOJ2011/008134 - CWL-T     118788629595,616.88,
16/01/2012,MOJ2011/008135 - CWL-T     118777629595,613.60,
16/01/2012,MOJ2011/008136 - XMA LTD,"8,129.38",
16/01/2012,MOJ2011/008137 - XMA LTD,551.82,
16/01/2012,MOJ2011/008138 - XMA LTD,546.82,
16/01/2012,MOJ2011/008139 - XMA LTD,640.51,
16/01/2012,MOJ2011/008140 - XMA LTD,552.78,
16/01/2012,MOJ2011/008141 - XMA LTD,"1,295.72",
16/01/2012,MOJ2011/008142 - XMA LTD,729.55,
16/01/2012,MOJ2011/008143 - XMA LTD,"9,095.83",
16/01/2012,MOJ2011/008144 - XMA LTD,"1,142.57",
16/01/2012,MOJ2011/008145 - XMA LTD,"1,368.44",
16/01/2012,MOJ2011/008146 - XMA LTD,661.67,
16/01/2012,MOJ2011/008147 - XMA LTD,515.66,
16/01/2012,MOJ2011/008148 - XMA LTD,514.80,
16/01/2012,MOJ2011/008149 - XMA LTD,663.34,
16/01/2012,MOJ2011/008150 - XMA LTD,515.66,
16/01/2012,MOJ2011/008151 - XMA LTD,626.04,
16/01/2012,MOJ2011/008152 - XMA LTD,525.52,
17/01/2012,MOJ2011/008153 - CAFFE SOCIETY,537.60,
17/01/2012,MOJ2011/008154 - E HALTON CAMP STOR,607.95,
17/01/2012,MOJ2011/008155 - E HALTON CAMP STOR,598.00,
17/01/2012,MOJ2011/008156 - HAMMOND NISSAN,818.40,
17/01/2012,MOJ2011/008157 - MARINE AUTO ELECTR,585.60,
17/01/2012,MOJ2011/008158 - STUART TURNER LTD,777.49,
17/01/2012,MOJ2011/008159 - Amazon  Mktplce EU-UK,546.50,
17/01/2012,MOJ2011/008160 - MACHINE MART WEB,524.12,
17/01/2012,MOJ2011/008161 - LAMP SHOP ONLINE,"1,650.00",
17/01/2012,MOJ2011/008162 - BARNSLEY VETS4PETS LTD,501.73,
17/01/2012,MOJ2011/008163 - CALDER VETS LTD,657.02,
17/01/2012,MOJ2011/008164 - FORD WETHERBY,628.14,
17/01/2012,MOJ2011/008165 - PLUMB CENTER,616.54,
17/01/2012,MOJ2011/008166 - HAMILTONPOL,537.84,
17/01/2012,MOJ2011/008167 - WWW.CONTROLKINGS.COM,912.96,
17/01/2012,MOJ2011/008168 - A C LEIGH,"1,203.26",
17/01/2012,MOJ2011/008169 - A C LEIGH,"1,504.08",
17/01/2012,MOJ2011/008170 - HEATING REPLACEMENT PA,885.82,
17/01/2012,MOJ2011/008171 - S COTTON TESTING,"1,038.00",
17/01/2012,MOJ2011/008172 - WWW.SPEEDYHIRE.COM,"1,403.42",
17/01/2012,MOJ2011/008173 - JOHNSTONES DEC CENTRE,683.38,
17/01/2012,MOJ2011/008174 - S AND A,633.60,
17/01/2012,MOJ2011/008175 - CIBSE SERVICE LTD,900.00,
17/01/2012,MOJ2011/008176 - WWW.NEOPOST.CO.UK,927.00,
17/01/2012,MOJ2011/008177 - POWERED HEATING COMPON,"-2,138.93",
17/01/2012,MOJ2011/008178 - POWERED HEATING COMPON,"2,138.92",
17/01/2012,MOJ2011/008179 - G M TREBLE LTD,598.80,
17/01/2012,MOJ2011/008180 - THE HEAT X CHANGE LTD,768.00,
17/01/2012,MOJ2011/008181 - G M TREBLE LTD,674.10,
17/01/2012,MOJ2011/008182 - BANNER BUSINESS SUPPL,917.97,
