Figure: 4.1,,,,,,,,,,,,,,,,
Proportion of premises connected to ADSL-enabled and unbundled exchanges (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,UK Urban,UK Rural,,,,,,,,
Non-LLU ADSL,99.98,100,99.86,100,100,,100,99.91,,,,,,,,
LLU ADSL,95,96,89,93,89,,100,77,,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Ofcom / BT, December 2014 data",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Figure: 4.2,,,,,,,,,,,,,,,,
Proportion of premises able to receive Virgin Media cable broadband services (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,UK Urban,UK Rural,,,,,,,,
Jun-15,44,47,36,21,27,,50,1,,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Ofcom / Virgin Media, May 2015 data",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Figure 4.3,,,,,,,,,,,,,,,,
Proportion of premises able to receive BT Openreach/Kcom fibre broadband services (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 ,UK 2015,Wales 2015 ,Scotland 2015,N Ireland 2015,England 2015,,,,,,,,,,,
Take-up,30%,23%,34%,26%,30%,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Ofcom Technology Tracker, Wave 1 2015",,,,,,,,,,,,,,,,
"Base: All adults aged 16+ (n = 3756 UK, 438 Northern Ireland, 2264England, 492 Scotland, 496 Wales",,,,,,,,,,,,,,,,
QD6 (QD41). Do you have a 4G service? This is a relatively new service that enables faster mobile internet access,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Figure 4.14,,,,,,,,,,,,,,,,
Type of mobile subscription,,,,,,,,,,,,,,,,
Proportion of mobile users (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK 2015,Wales 2015,England 2015,Scotland 2015,N Ireland 2015,,Wales urban 2015,Wales rural 2015,,N Ireland 2008,Wales 2010,Wales 2011,Wales 2012,Wales 2013,Wales 2014,Wales 2015
Prepay / Pay as you go,33,33,32,34,43,,32,34,,65,58,55,48,49,43,33
Contract with handset,57,58,57,59,51,,59,57,,35,32,42,44,45,52,58
Contract SIM only,7,5,7,6,4,,5,7,,,6,3,6,4,4,5
Contract unsure type,2,3,2,1,,,2,,,,2,,2,,,3
Other,1,,1,,2,,,,,,3,,,,,
Unsure,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,
"Source: Ofcom Technology Tracker, Wave 1 2015",,,,,,,,,,,,,,,,
"Base: Adults aged 16+ who personally use a mobile phone (n = 3425 UK, 439 Wales, 2080 England, 450 Scotland, 456 Northern Ireland, 221 Wales urban, 218 Wales rural, 923 Wales 2010, 416 Wales 2011, 456 Wales 2012, 440 Wales 2013, 438 Wales 2014, 439 Wales 2015)",,,,,,,,,,,,,,,,
QD11. Which of these best describes the mobile package you personally use most often?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Figure 4.15,,,,,,,,,,,,,,,,
