DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,National Offender Management Service,25/02/2011,Coldingley,Other Fuels,HARVEST ENERGY LTD,3903325,25050.29
Ministry of Justice,National Offender Management Service,28/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,RELIANCE SECURE TASK MANAGEMENT,3892940,987649.42
Ministry of Justice,National Offender Management Service,28/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3909248,183006.31
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,LANGLEY HOUSE TRUST,3909515,125100.12
Ministry of Justice,National Offender Management Service,28/02/2011,NOMS CFO,Contracted-out Resettlement Services,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3911067,87697.2
Ministry of Justice,National Offender Management Service,28/02/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",DENNIS BALDWIN & SONS LTD,3883767,80320.21
Ministry of Justice,National Offender Management Service,28/02/2011,East of England Regional NOMS Office,Payments to voluntary Organisations,ORMISTON CHILDREN & FAMILIES TRUST,3891038,62802
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,HESTIA HOUSING SUPPORT CO LTD REF BATTERSEA & STREATHAM,3909514,56750.01
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,ELIZABETH FRY APPROVED PREMISES,3909512,56250.01
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,RIPON HOUSE,3909519,56083.35
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,WEST LONDON MISSION REF: KATHERINE HUGHES HOUSE,3909524,52333.37
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,ST JOHN'S APPROVED PREMISES,3909522,51666.63
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,ADELAIDE HOUSE,3909509,51166.63
Ministry of Justice,National Offender Management Service,28/02/2011,NOMS CFO,Contracted-out Resettlement Services,SERCO LTD,3906067,50535.33
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,ST. VINCENT DE PAUL SOCIETY REF OZANAM HOUSE,3909520,50416.63
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,CARDIGAN HOUSE APPROVED PREMISE,3909511,50250
Ministry of Justice,National Offender Management Service,28/02/2011,Estates Capacity,WIP - Professional Fees,AEDAS ARCHITECTS LTD,3886443,49293.85
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,ASHLEY HOUSE,3909510,48583.35
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,HESTIA HOUSING SUPPORT CO LTD REF BATTERSEA & STREATHAM,3909513,46583.36
Ministry of Justice,National Offender Management Service,28/02/2011,Public Protection and Mental Health Group,Probation - Approved Premisis,ST. VINCENT DE PAUL SOCIETY REF ST CHRISTOPHERS,3909521,46166.65
Ministry of Justice,National Offender Management Service,28/02/2011,Offender Employment Skills & Services Group,Clothing,JIANGSU SAINTY CORP LTD,3908264,44382.24
Ministry of Justice,National Offender Management Service,28/02/2011,Offender Employment Skills & Services Group,Clothing,JIANGSU SAINTY CORP LTD,3908265,43350
Ministry of Justice,National Offender Management Service,28/02/2011,Procurement Group,Specialist Contractors,CAPGEMINI UK PLC,3883176,39480
Ministry of Justice,National Offender Management Service,28/02/2011,Rehabilitation Services Group,Contracted-out Resettlement Services,BARNARDO'S,3890172,38000
Ministry of Justice,National Offender Management Service,28/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3909247,31741.62
Ministry of Justice,National Offender Management Service,28/02/2011,Bristol,Counselling & Advisory Costs,AVON & WILTSHIRE MENTAL HEALTH PARTNERSHIP N H S TRUST,3908462,30613
Ministry of Justice,National Offender Management Service,28/02/2011,Onley,Contracted-out Probation Boards,NORTHAMPTONSHIRE PROBATION TRUST,3908489,28106.42
Ministry of Justice,National Offender Management Service,28/02/2011,Estates Capacity,WIP - Acquisitions,CARILLION JM LIMITED,3908788,27941.62
Ministry of Justice,National Offender Management Service,28/02/2011,Offender Employment Skills & Services Group,Clothing,JIANGSU SAINTY CORP LTD,3908263,27518.4
