Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,09.07.2015,16.08.2015,GPC07150000122,54.00
Stockport MBC,Services to People,Childrens & Educational Services,BREDBURY KARTING LTD,Fees and Charges,Education  ,16.07.2015,16.08.2015,GPC07150000123,96.00
Stockport MBC,Corporate and Support Services,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,02.07.2015,16.08.2015,GPC07150000124,5.90
Stockport MBC,Corporate and Support Services,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,08.07.2015,16.08.2015,GPC07150000125,11.80
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,15.07.2015,16.08.2015,GPC07150000126,20.00
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,16.07.2015,16.08.2015,GPC07150000127,20.00
Stockport MBC,Services to People,Adult Social Care,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,24.07.2015,16.08.2015,GPC07150000128,23.40
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,28.07.2015,16.08.2015,GPC07150000129,20.00
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,03.07.2015,16.08.2015,GPC07150000130,3.75
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,06.07.2015,16.08.2015,GPC07150000131,96.59
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.07.2015,16.08.2015,GPC07150000132,69.59
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,15.07.2015,16.08.2015,GPC07150000133,48.70
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,15.07.2015,16.08.2015,GPC07150000134,8.85
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3202,Catering Supplies,Catering Food & Beverages ,16.07.2015,16.08.2015,GPC07150000135,7.62
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORE 3202,Catering Supplies,Catering Food & Beverages ,20.07.2015,16.08.2015,GPC07150000136,10.00
