VENUE_NAME,ADDRESS_LINE_1,POST_TOWN,COUNTY,POST_CODE,NEW_DISTRICT_COUNCIL,EASTING,NORTHING,TELEPHONE,OWNERSHIP_TYPE,ADVENTURE_SPORT,ATHLETICS,BOWLING,BOXING,CRICKET,FITNESS,GOLF,MOTORSPORT,SWIMMING,SQUASH_HANDBALL,TENNIS,SPORTS_HALL,WATERSPORTS,MOUNTAIN_BIKING,PITCHES_GRASS,PITCHES_WATER,PITCHES_THIRD_GEN,PITCHES_SAND
Lack Primary School,Lack,Enniskillen,Fermanagh,BT93 0DN,Fermanagh and Omagh District,227594,366570,028 6863 1442,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ladies Workout Express,Montgomery Business Park,Belfast,Down,BT6 9HL,Belfast City,336547,372023,028 9079 1778,Private,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Ladies Workout Express - Bangor,Castle Square,Bangor,Down,BT20 4SR,North Down and Ards District,350495,381517,028 9127 5050,Private,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Lagan College,Manse Road,Castlereagh,Down,BT8 6SA,Lisburn and Castlereagh District,336770,370125,028 9040 1810,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes
Lagan Park,Hillsborough Road,Dromara,Down,BT26 6AR,Lisburn and Castlereagh District,321051,353739,028 9753 2875,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lagan Valley Equestrian Centre,Upper Malone Road,Belfast,Antrim,BT17 9JZ,Belfast City,331434,368402,028 9061 4853,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lagan Valley Leisureplex,Lisburn Leisure Park,Lisburn,Antrim,BT28 1LP,Lisburn and Castlereagh District,326278,363861,028 9267 2121,District Council,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No
Lagan Watersports Centre,Rivers Edge,Belfast,Antrim,BT6 8DN,Belfast City,334986,373835,028 9046 1711,Club,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Laganview Golf Centre,Ballyskeagh Road,Lambeg,Antrim,BT27 5SY,Lisburn and Castlereagh District,328696,366931,028 9061 2332,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Lagmore MUGA,Lagmore,Lisburn,Down,BT17 0TA,Lisburn and Castlereagh District,327438,368715,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lake and Waterski Club,Watsons Road,Newry,Armagh,BT35 8NQ,"Newry City, Mourne and Down District",307750,324705,028 9026 3584,Club,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Lakeland Canoe Centre,Castle Island,Enniskillen,Fermanagh,BT74 7HR,Fermanagh and Omagh District,223380,344132,028 6632 3235,District Council,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Fermanagh Lakeland Forum,Broadmeadow,Enniskillen,Fermanagh,BT74 7EH,Fermanagh and Omagh District,223482,344133,028 6632 4121,District Council,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No
Lakeview Park,Moylinn,Craigavon,Armagh,BT65 4AJ,"Armagh City, Banbridge and Craigavon District",304933,356666,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lakeview Park Loughgall,Ballygasey Road,Loughgall,Armagh,BT61 8HY,"Armagh City, Banbridge and Craigavon District",290326,351950,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lakewood Special School,Rathgael Road,Bangor,Down,BT19 1RX,North Down and Ards District,349554,379542,028 914 56227,Education,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Alberdelghy Golf Course,Bells Lane,Lisburn,Antrim,BT27 4QH,Lisburn and Castlereagh District,327773,366644,,District Council,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Lamh Dearg GAC,Upper Springfield Road,Belfast,Antrim,BT17 0PA,Belfast City,326947,372805,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lamont Playing Field,Galgorm Road,Ballymena,Antrim,BT42 1AH,Mid and East Antrim District,309838,403254,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Landhead Primary School,Kilraughts Road,Ballymoney,Antrim,BT53 7HL,Causeway Coast and Glens District,297275,426144,028 2766 3068,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Landhead Recreation Grounds,Landhead Road,Ballymoney,Antrim,BT53 7HD,Causeway Coast and Glens District,297747,425628,028 2766 0227,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Langfield Primary School,Willmount Road,Drumquin,Tyrone,BT78 4PG,Fermanagh and Omagh District,232853,374365,028 8283 1386,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Langfield Youth Hall,Langfield,Drumquin,Tyrone,BT78 4RT,Fermanagh and Omagh District,232864,374471,,District Council,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Langley Road Playing Fields,Langley Road Estate,Ballynahinch,Down,BT24 8BZ,"Newry City, Mourne and Down District",336244,353205,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Larne Amateur Boxing Club,High Street,Larne,Antrim,BT40 1JN,Mid and East Antrim District,339868,402539,,Club,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Larne and Inver Primary School,Glynn Road,Larne,Antrim,BT40 3AY,Mid and East Antrim District,339862,402359,028 2827 3206,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Larne Golf Club Ltd,Ferris Road,Islandmagee,Antrim,BT40 3RT,Mid and East Antrim District,342616,402699,028 9338 2228,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Larne Grammar School,Lower Cairncastle Road,Larne,Antrim,BT40 1PQ,Mid and East Antrim District,339411,402649,028 2827 2791,Education,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Larne Lawn Bowling and  Tennis Club,Glenarm Road,Larne,Antrim,BT40 1DZ,Mid and East Antrim District,340699,403422,028 2827 2599,Club,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Larne Leisure Centre,Tower Road,Larne,Antrim,BT40 1AB,Mid and East Antrim District,341196,403023,028 2826 0478,District Council,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
Larne RFC,Main Road,Larne,Antrim,BT40 3HF,Mid and East Antrim District,340712,400089,028 2827 2643,Club,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
Larne Youth FC,Portland Road,Larne,Antrim,BT40 1DH,Mid and East Antrim District,341166,402614,,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Latharna Og GAC Brustin Braes,Brustin Brae Road,Larne,Antrim,BT40 2RL,Mid and East Antrim District,336006,407391,028 2827 4842,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Laurel View Stud and Riding Centre,Knowehead Road,Ballyclare,Antrim,BT39 0BX,Antrim and Newtownabbey District,328660,385862,028 9083 0649,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Laurelhill Community College,Laurelhill Road,Lisburn,Antrim,BT28 2UH,Lisburn and Castlereagh District,325168,365138,028 9260 7351,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Laurelhill Sports Zone,Laurehill Road,Lisburn,Antrim,BT28 2UH,Lisburn and Castlereagh District,325168,365138,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Laurelvale Cricket Club,Mullavilly Road,Tandragee,Armagh,BT62 2LX,"Armagh City, Banbridge and Craigavon District",300742,348034,028 38840897,Club,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Laurelvale Park,Laurelvale,Tandragee,Armagh,BT62 2LP,"Armagh City, Banbridge and Craigavon District",300594,347662,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Laurvelvale Cricket Club,Demesne Place,Armagh,Armagh,BT62 2LX,"Armagh City, Banbridge and Craigavon District",300742,348034,,Club,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Lead Hill Primary School,Casaeldona Park,Castlereagh,Antrim,BT6 9RD,Belfast City,337672,371620,028 9040 1101,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Leafair,Glengalliagh Road,Derry,Londonderry,BT48 8NN,Derry City and Strabane District,243655,420076,028 7135 1725,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Leaney Primary School,Intermediate Road,Ballymoney,Antrim,BT53 7AL,Causeway Coast and Glens District,295604,425323,028 2766 2666,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Lecale Cottages and Trail Centre,Kilbroney Road,Newry,Down,BT34 3BW,"Newry City, Mourne and Down District",320085,321787,028 9751 0141,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ledley Hall Boys and Girls Trust Ltd,Ledley Hall Close,Belfast,Antrim,BT5 4SW,Belfast City,335985,373625,028 9045 1722,Other,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Legamaddy Primary School,Ballynoe Road,Downpatrick,Down,BT30 8AR,"Newry City, Mourne and Down District",348637,339871,028 4461 3981,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Leitrim Fontenoys GAC,Backaderry Road,Ballyward,Down,BT31 9SL,"Armagh City, Banbridge and Craigavon District",330654,339226,028 4065 0844,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lenadoon Millennium Park,Lenadoon Avenue,Belfast,Antrim,BT11 9HD,Belfast City,328633,371188,028 9032 0202,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lessans Riding Stables,Monlough Road,Ballynahinch,Down,BT24 7EU,"Newry City, Mourne and Down District",340557,361534,028 9751 0141,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lettershandoney Football Pitch,Lettershendony,Drumahoe,Londonderry,BT47 3JA,Derry City and Strabane District,250503,415015,028 7134 7695,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ligoniel Boxing Club,Ligoniel Road,Belfast,Antrim,BT14 8DP,Belfast City,330272,377231,,Club,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ligoniel Primary School,Ligoneil Road,Belfast,Antrim,BT14 8BW,Belfast City,330542,377185,028 9039 1502,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Limavady Central Primary School,Scroggy Road,Limavady,Londonderry,BT49 0NB,Causeway Coast and Glens District,267862,422215,028 7772 2485,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Limavady Cricket & RFC,Demesne Place,Limavady,Londonderry,BT49 0HG,Causeway Coast and Glens District,266872,423323,028 7776 2201,Club,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Limavady Grammar School,Ballyquin Road,Limavady,Londonderry,BT49 9ET,Causeway Coast and Glens District,267309,422164,028 7776 0950,Education,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
Limavady High School,Irish Green Street,Limavady,Londonderry,BT49 9AN,Causeway Coast and Glens District,267267,422811,028 7776 2526,Education,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Limavady Model Flying Club,Drumsurn Road,Limavady,Londonderry,BT49 0PP,Causeway Coast and Glens District,272027,416992,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Limavady Recreation Club,Killane Road,Limavady,Londonderry,BT49 0DN,Causeway Coast and Glens District,267822,423769,028 7776 5777,Private,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Limavady Showgrounds,Rathmore Road,Limavady,Londonderry,BT49 0DF,Causeway Coast and Glens District,267952,423212,028 7776 4351,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Limavady Wolfhounds GAC,Scroggy Road,Limavady,Londonderry,BT49 0NA,Causeway Coast and Glens District,267950,423112,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lime Park Equestrian Centre,Lime Kiln Road,Moira,Antrim,BT67 0JD,Lisburn and Castlereagh District,318676,364200,028 9262 1139,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lindsay Hospital School,Saintfield Road,Belfast,Down,BT8 6HD,Belfast City,335603,370216,028 9079 3681,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Linn Primary School,Killyglen Road,Larne,Antrim,BT40 2HT,Mid and East Antrim District,338611,403825,028 2827 3159,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Linn Road Community Centre,Linn Road,Larne,Antrim,BT40 2BT,Mid and East Antrim District,338778,402461,,District Council,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Linn Road Mini Pitch,Linn Road,Larne,Antrim,BT40 2AH,Mid and East Antrim District,338727,403658,0298 282 60478,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lisanelly Heights Park,Lisanelly Heights,Omagh,Tyrone,BT79 7AR,Fermanagh and Omagh District,245405,374050,028 8224 6711,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lisbellaw Hurling GAC,Cavanacarragh,Lisbellaw,Fermanagh,BT94 5GL,Fermanagh and Omagh District,229080,344060,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lisbellaw Primary School,Cloghcor Road,Lisbellaw,Fermanagh,BT94 5BE,Fermanagh and Omagh District,229796,340766,028 6638 7214,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Lisbellaw United Football Club,Drumad,Enniskillen,Fermanagh,BT94 5DG,Fermanagh and Omagh District,231118,340407,028 6638 7156,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lisburn Golf Club,Eglantine Road,Lisburn,Down,BT27 5RQ,Lisburn and Castlereagh District,325000,361418,028 9267 7216,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Lisburn RFC,Eglantine Road,Lisburn,Down,BT27 5RQ,Lisburn and Castlereagh District,325195,361838,028 9269 8096,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lislagan Primary School,Lislagan Road,Ballymoney,Antrim,BT53 7JF,Causeway Coast and Glens District,295603,423283,028 2766 4424,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lismore Comprehensive School,Drumgask,Craigavon,Armagh,BT65 5DU,"Armagh City, Banbridge and Craigavon District",306323,356243,028 3831 4950,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Lisnadill Primary School,Drumconwell Road,Armagh,Armagh,BT60 2PS,"Armagh City, Banbridge and Craigavon District",288254,340833,028 3752 3471,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Lisnagarvey High School,Warren Gardens,Lisburn,Antrim,BT28 1HN,Lisburn and Castlereagh District,325783,363649,028 9266 2636,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Lisnagarvey Hockey Club,Comber Road,Hillsborough,Antrim,BT27 5RX,Lisburn and Castlereagh District,326219,362695,028 9067 7741,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Lisnagelvin Leisure Centre,Richill Park,Waterside,Londonderry,BT47 5QZ,Derry City and Strabane District,245273,416136,028 7134 7695,District Council,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Lisnagelvin Nursery School,Richill Park,Derry,Londonderry,BT47 5QZ,Derry City and Strabane District,245273,416136,028 7134 2764,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Lisnagelvin Playing Fields,,Derry,Londonderry,BT47 5QZ,Derry City and Strabane District,245476,416362,028 7134 7696,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lisnagelvin Primary School,Richill Park,Derry,Londonderry,BT47 5QZ,Derry City and Strabane District,245301,416215,028 7134 7947,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Lisnally Recreation Centre,Lisanally Lane,Armagh,Armagh,BT61 7HF,"Armagh City, Banbridge and Craigavon District",288051,346098,,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Lisnasharragh High School,Stirling Avenue,Castlereagh,Down,BT6 9LP,Belfast City,336557,371542,028 9040 1041,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Lisnasharragh Primary School,Tudor Drive,Castlereagh,Antrim,BT6 9LS,Belfast City,336884,371590,028 9040 1211,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Lisnaskea Emmetts GAA,Barnhill,Lisnaskea,Fermanagh,BT92 0HD,Fermanagh and Omagh District,236066,333752,028 6772 1454,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lissan Primary School,Clagan Road,Cookstown,Tyrone,BT80 9XE,Mid Ulster District,280294,382959,028 8676 4581,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Listress Primary School,Slaghtmanus Road,Derry,Londonderry,BT47 3EY,Derry City and Strabane District,252377,412130,028 7130 1443,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Little Flower Girls School,Somerton Road,Belfast,Antrim,BT15 4DE,Belfast City,333488,377731,028 9037 0665,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Livingstone Bowling Club,Castle Lane,Lisnaskea,Fermanagh,BT92 0FW,Fermanagh and Omagh District,236181,333900,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Loanends Primary School,Sevenmile Straight,Crumlin,Antrim,BT29 4YR,Antrim and Newtownabbey District,322373,381177,028 9443 2314,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lodge Road Running Track and Pitches,Lodge Road,Coleraine,Londonderry,BT52 1NB,Causeway Coast and Glens District,285188,432380,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Londonderry Model Primary School,Northland Road,Derry,Londonderry,BT48 7HJ,Derry City and Strabane District,243067,417403,028 7126 2188,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Londonderry Park,,Newtownards,Down,BT22 2BE,North Down and Ards District,355073,369803,,District Council,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes
Longstone Community Hall,Longstone Road,Annalong,Down,BT34 4UZ,"Newry City, Mourne and Down District",335235,319810,,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Longstone Special School,Millar's Lane,Dundonald,Down,BT16 2DA,Lisburn and Castlereagh District,342699,373159,028 9048 0071,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Longtower Primary School,Bishop Street,Derry,Londonderry,BT48 6QQ,Derry City and Strabane District,243083,416381,028 7126 1484,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Lord Lurgan Memorial Park,Woodville Street,Lurgan,Armagh,BT67 9DQ,"Armagh City, Banbridge and Craigavon District",308000,359178,028 3832 3795,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Loreto College,Castlerock Road,Coleraine,Londonderry,BT51 3JZ,Causeway Coast and Glens District,283601,433263,028 7034 3611,Education,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Loreto Convent Primary School,Brookmount Road,Omagh,Tyrone,BT78 5HZ,Fermanagh and Omagh District,244489,372796,028 8224 3551,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Loreto Grammar School,James Street,Omagh,Tyrone,BT78 1DL,Fermanagh and Omagh District,244703,372640,028 8224 3633,Education,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Lough Aghery Water Ski Club,Lakeland Road,Hillsborough,Down,BT26 6PW,Lisburn and Castlereagh District,329154,353859,077 1160 9689 / 075 2500 5399,Private,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Lough Erne Golf Resort,Belleek Road,Enniskillen,Fermanagh,BT93 7ED,Fermanagh and Omagh District,220179,349378,028 6632 3230,Private,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Lough Erne Yacht Club,Gublusk,Ballinamallard,Fermanagh,BT94 1NZ,Fermanagh and Omagh District,220361,354348,,Club,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Lough Foyle Yacht Club,Culmore Point,Londonderry,Londonderry,BT48 8JW,Derry City and Strabane District,247468,422573,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lough Melvin Holiday Centre,Main Street,Garrison,Fermanagh,BT93 4ET,Fermanagh and Omagh District,194266,351736,028 6865 8142,District Council,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Lough Moss Centre,Hillsborough Road,Carryduff,Down,BT8 8HR,Lisburn and Castlereagh District,336447,364857,028 9049 4500,District Council,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes
Loughan Special School,Old Ballymoney Road,Ballymena,Antrim,BT43 6LX,Mid and East Antrim District,310219,404347,028 2565 2944,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Loughbrickland Primary School,Grove Hill Road,Loughbrickland,Down,BT32 3NF,"Armagh City, Banbridge and Craigavon District",310976,341536,028 4062 2140,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Loughgall Country Park and Golf Course,Main Street,Loughgall,Armagh,BT61 8HZ,"Armagh City, Banbridge and Craigavon District",290836,352157,028 3889 1029,District Council,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
Loughgiel Millennium Centre,Lough Road,Ballymoney,Antrim,BT44 9JR,Causeway Coast and Glens District,308718,425409,028 2764 1389,Community,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Loughgiel Shamrocks GAC,Lough Road,Ballymena,Antrim,BT44 9JN,Causeway Coast and Glens District,307527,424564,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Loughlinisland GAC,Tyconett Road,Downpatrick,Down,BT30 8QA,"Newry City, Mourne and Down District",341455,347218,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Loughmacrory GFC,Loughmacrory Road,Omagh,Tyrone,BT79 0PD,Fermanagh and Omagh District,252821,376809,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Loughry College,Dungannon Road,Cookstown,Tyrone,BT80 9AF,Mid Ulster District,281399,374404,,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Loughside Playing Fields,Shore Road,Belfast,Antrim,BT15 4HG,Belfast City,334103,378641,028 9032 0202,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Loughside Recreation Centre,Shore Road,Belfast,Antrim,BT15 4HG,Belfast City,334176,378229,028 9078 1524,District Council,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Loughview Integrated Primary School,Church Road,Castlereagh,Antrim,BT6 9SA,Belfast City,337456,371033,028 9040 1347,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Lourdes Primary School,Victoria Avenue,Whitehead,Antrim,BT38 9QU,Mid and East Antrim District,347204,391650,028 9337 2444,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Lower Ballinderry Primary School,Crumlin Road,Ballinderry,Antrim,BT28 2BF,Lisburn and Castlereagh District,312851,367762,028 9265 1633,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Lower Maze FC,Maze,Lisburn,Down,BT27 5RF,Lisburn and Castlereagh District,323705,361701,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lumen Christi College,Bishop Street,Derry,Londonderry,BT48 6UJ,Derry City and Strabane District,243035,416113,028 7136 2595,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Luraboy Adventure,Gosford Road,Collone,Armagh,BT60 1LQ,"Armagh City, Banbridge and Craigavon District",294549,341261,028 3755 2425,Private,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lurgan Amateur Boxing Club,Union Street,Lurgan,Armagh,BT66 8EF,"Armagh City, Banbridge and Craigavon District",308013,357891,,Club,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lurgan Celtic FC,North Street,Lurgan,Armagh,BT67 9AH,"Armagh City, Banbridge and Craigavon District",308202,358879,028 3832 2116,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Lurgan College,College Walk,Lurgan,Armagh,BT66 6JW,"Armagh City, Banbridge and Craigavon District",307142,359422,028 3832 2083,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Lurgan Golf Club,The Demesne,Lurgan,Armagh,BT67 9BN,"Armagh City, Banbridge and Craigavon District",308662,359093,028 3832 2087,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Lurgan Junior High School,Toberhewny Lane Lower,Lurgan,Armagh,BT66 8SU,"Armagh City, Banbridge and Craigavon District",308603,357474,,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Lurgan Model Primary School,Brownlow Terrace,Lurgan,Armagh,BT67 9AT,"Armagh City, Banbridge and Craigavon District",308035,358964,028 3832 1003,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Lurgan Park,Robert Street,Lurgan,Armagh,BT66 8BE,"Armagh City, Banbridge and Craigavon District",308677,358159,,District Council,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
Lurgan Town Arena,Glenavon Lane,Lurgan,Armagh,BT66 8LD,"Armagh City, Banbridge and Craigavon District",307810,357196,,District Council,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
Lusty Beg Island,Boa Island,Kesh,Fermanagh,BT93 8AD,Fermanagh and Omagh District,210977,362249,028 6863 3300,Private,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
MacNamee Park,Belfast Road,Holywood,Down,BT18 9ES,North Down and Ards District,339212,378377,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
