Department family,Entity,Date,Expense type,Expense area,Supplier,Supplier Postcode,Transaction number,Amount
HMRC,HMRC,11/07/2011,Crown Sol's Off NI,Debt Management & Banking,Crown Solicitors Office,BT1 3JY,5100030514,29239
HMRC,HMRC,11/07/2011,Solicitors Fees,Solicitors Office,Howes Percival Solicitors,NR3 1DD,5100030583,44602.26
HMRC,HMRC,11/07/2011,Solicitors Fees,Solicitors Office,Howes Percival Solicitors,NR3 1DD,5100030583,10
HMRC,HMRC,11/07/2011,Valuation Services,Risk & Intelligence,Valuation Office Agency,W1D 5BU,5100030762,832508.25
HMRC,HMRC,12/07/2011,Postal delivery serv,Commercial Directorate,TNT Post UK Ltd,SL7 1HY,5100030737,83343.78
HMRC,HMRC,12/07/2011,Research (VAT rec),Knowledge Analysis & Intelligence,TNS-BMRB,W5 1UA,5100030752,53310
HMRC,HMRC,12/07/2011,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,UB2 5LF,5100030828,48182.5
HMRC,HMRC,12/07/2011,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,UB2 5LF,5100030828,14319.69
HMRC,HMRC,12/07/2011,Hardware maintenance,Information Management Services,CapGemini UK Plc - PeoplePoint,W1F 0UU,5100031111,1114019.27
HMRC,HMRC,12/07/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031181,1234217.33
HMRC,HMRC,12/07/2011,Gas,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031181,297456.26
HMRC,HMRC,12/07/2011,Gas,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031181,211456.76
HMRC,HMRC,12/07/2011,Water,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031181,192478.64
HMRC,HMRC,12/07/2011,Oil,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031181,64281.11
HMRC,HMRC,12/07/2011,Water,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031181,58494.87
HMRC,HMRC,12/07/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031181,9608
HMRC,HMRC,12/07/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031181,2452.6
HMRC,HMRC,12/07/2011,Oil,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031181,1342.28
HMRC,HMRC,12/07/2011,Gas,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031181,80.34
HMRC,HMRC,13/07/2011,County Court Costs,Debt Management & Banking,RBSG Central,SE99 1AA,1900061972,32320
HMRC,HMRC,13/07/2011,County Court Costs,Debt Management & Banking,RBSG Central,SE99 1AA,1900061993,32120
HMRC,HMRC,13/07/2011,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,SE1 7DU,5100000440,-35489.92
HMRC,HMRC,13/07/2011,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,SE1 7DU,5100010082,68858.53
HMRC,HMRC,13/07/2011,Media Monitoring,Communications & Marketing,COI - COI Trading Fund/GNN,SE1 7DU,5100015751,31080
HMRC,HMRC,13/07/2011,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,SE1 7DU,5100022862,103512
HMRC,HMRC,13/07/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031100,30810.7
HMRC,HMRC,13/07/2011,Rent,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031100,27231.99
HMRC,HMRC,13/07/2011,Business Consultancy,Estates & Support Services,PricewaterhouseCoopers LLP,WC2N 6RH,5100031104,86272.8
HMRC,HMRC,13/07/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031105,24622.27
HMRC,HMRC,13/07/2011,Rent,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100031105,20126.51
HMRC,HMRC,13/07/2011,Rent,Estates & Support Services,BTW Shiells,BT1 4NJ,5100031130,70770
HMRC,HMRC,13/07/2011,Landlord Charges,Estates & Support Services,BTW Shiells,BT1 4NJ,5100031130,14599.2
HMRC,HMRC,13/07/2011,Postal delivery serv,Commercial Directorate,TNT Post UK Ltd,SL7 1HY,5100031168,124962.83
HMRC,HMRC,13/07/2011,Grant in Aid Funding,Individuals Customer Directorate,Royal National Inst of Blind People,WC1 9NE,5100031176,25252
HMRC,HMRC,13/07/2011,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,SE1 7DU,5100031177,355555.6
HMRC,HMRC,13/07/2011,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,EC2M 4RB,5100031261,323617.43
HMRC,HMRC,13/07/2011,Bank Charges PO Card,Finance & Internal Audit,Post Office Limited,PE4 5PG,5100031294,1130413.03
HMRC,HMRC,13/07/2011,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,MK10 1PX,5100031702,650000
HMRC,HMRC,13/07/2011,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,SE1 7DU,5100106385,43668
HMRC,HMRC,13/07/2011,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,SE1 7DU,5100106436,-313498.6
HMRC,HMRC,13/07/2011,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,SE1 7DU,5100108278,25020
HMRC,HMRC,14/07/2011,STEPS FUP VAT recvbl,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,1700035651,-757.56
HMRC,HMRC,14/07/2011,STEPS FUP VAT recvbl,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,1700035651,-59220.88
HMRC,HMRC,14/07/2011,High Court Costs,Debt Management & Banking,RBSG Central,SE99 1AA,1900062270,40000
HMRC,HMRC,14/07/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100023316,36254.82
HMRC,HMRC,14/07/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100023316,1609.4
HMRC,HMRC,14/07/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100031299,67030.77
