Property Reference,Property Description,Rateable Value,Account Name,Liability Start,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post Code,Empty Date,Exemption Code
32600000010503,OFFICES AND PREMISES,"£2,650",Comer (new Southgate) No 1 Limited,01/02/2016,Room 316 2nd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/02/2016,DE-MINIMUS RATEABLE VALUE
32600000010698,OFFICES AND PREMISES,"£1,425",Comer (new Southgate) No 1 Limited,17/12/2014,Room 222b 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,19/02/2016,DE-MINIMUS RATEABLE VALUE
20640090120004,COMMUNITY CENTRE AND PREMISES,"£1,125",Valley Play Group,01/04/2000,Day Centre,Hammond Close,Barnet,Hertfordshire,,EN5 2EQ,22/02/2016,DE-MINIMUS RATEABLE VALUE
34121000010079,SITE OF ATM,£900,Mr Sayit Yasin,03/03/2016,Atm Site At,7 Pennine Parade,Pennine Drive,London,,NW2 1NT,03/03/2016,DE-MINIMUS RATEABLE VALUE
00880092620007,GYMNASIUM AND PREMISES,TO BE RATED,Glenroy Estates Ltd,29/03/2016,Unit 13a 13b & 14,Alston Works,Alston Road,Barnet,Hertfordshire,EN5 4EL,29/03/2016,DE-MINIMUS RATEABLE VALUE
27820000110038,PROPERTY CONVERTING TO DOMESTIC,TO BE RATED,Barnet Investments Limited,01/04/2016,1st - 3rd Flrs,Endeavour House,1 Lyonsdown Road,Barnet,Hertfordshire,EN5 1HR,01/04/2016,DE-MINIMUS RATEABLE VALUE
10360000010002,PROPERTY CONVERTING TO DOMESTIC,TO BE RATED,Cornwall Avenue Limited,22/04/2016,Unit 1,Cornwall Works,Cornwall Avenue,London,,N3 11G,22/04/2016,DE-MINIMUS RATEABLE VALUE
224000693A0006,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Tony Trippick & Partners,08/10/2015,693a High Road,London,,,,N12 0DA,22/04/2016,DE-MINIMUS RATEABLE VALUE
32600000011173,OFFICES AND PREMISES,"£1,550",Comer (new Southgate) No 1 Limited,17/12/2014,Room 228d 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/05/2016,DE-MINIMUS RATEABLE VALUE
02200035410124,OFFICE AND PREMISES,"£2,300",Summercourt Holdings Limited,01/05/2016,Office 209,2nd Flr,354A Ballards Lane,London,,N12 0EG,01/05/2016,DE-MINIMUS RATEABLE VALUE
02200036900002,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sunny Place Limited,11/11/2013,369B-369C Ballards Lane,London,,,,N12 8LJ,31/05/2016,DE-MINIMUS RATEABLE VALUE
22400095610027,OFFICES AND PREMISES,TO BE RATED,Limecraft Limited,12/06/2016,Word Perfect Pt 1st Fl 954-956,High Road,London,,,N12 9RX,12/06/2016,DE-MINIMUS RATEABLE VALUE
22400095610012,OFFICES AND PREMISES,TO BE RATED,Limecraft Limited,13/06/2016,H Langer & Co Pt 1st Fl 954-956,High Road,London,,,N12 9RX,13/06/2016,DE-MINIMUS RATEABLE VALUE
0341200001041B,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Ltd,01/07/2016,Room F,4 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,01/07/2016,DE-MINIMUS RATEABLE VALUE
45760000010294,OFFICES AND PREMISES,"£1,650",Infinite Business Systems Ltd,24/03/2015,Suite Y 1st Flr Left,15-17 Western Parade,Great North Road,Barnet,Hertfordshire,EN5 1AD,08/07/2016,DE-MINIMUS RATEABLE VALUE
03412000010284,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Limited,31/01/2017,Room A,1 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,01/08/2016,DE-MINIMUS RATEABLE VALUE
15820061720006,PETROL FILLING STATION AND PREMISES (UNDERGOING WORKS),TO BE RATED,County Tower Properties Limited,15/07/2016,The Tower Service Station,617 Finchley Road,London,,,NW3 7BS,22/08/2016,DE-MINIMUS RATEABLE VALUE
15780001810039,PROPERTY UNDERGOING WORKS,TO BE RATED,Mr James O'Reilly,20/09/2016,Adj Quadrant Food Plus,18 Finchley Lane,London,,,NW4 1BN,20/09/2016,DE-MINIMUS RATEABLE VALUE
32600000010999,OFFICES AND PREMISES,"£1,550",Kawthar Solutions Limited,08/05/2016,Room 121 Gnd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,05/10/2016,DE-MINIMUS RATEABLE VALUE
32600000010819,OFFICES AND PREMISES,"£1,425",HT Alliance Ltd,12/10/2015,Room 224c 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,12/10/2016,DE-MINIMUS RATEABLE VALUE
278400023A0001,BUILDING UNDERGOING CONSTRUCTION,TO BE RATED,Saida Properties Limited,06/01/2017,23a Lyttleton Road,London,,,,N2 0DD,31/10/2016,DE-MINIMUS RATEABLE VALUE
39120000710001,BUILDING UNDERGOING RECONSTRUCTION,TO BE RATED,Lucent Property Llp,13/12/2016,2nd Floor,7 Shakespeare Road,London,,,N3 1XE,13/12/2016,DE-MINIMUS RATEABLE VALUE
04530000010005,PROPERTY UNDERGOING CONVERSION,TO BE RATED,BC Exchange Ltd,11/08/2016,Gnd & 1st Flrs,2 The Exchange,Brent Cross Gardens,London,,NW4 3RG,03/01/2017,DE-MINIMUS RATEABLE VALUE
0453000021003B,PROPERTY UNDERGOING CONVERSION,TO BE RATED,BC Exchange Ltd,11/08/2016,2nd Fl 2 The Exchange,Brent Cross Gardens,London,,,NW4 3RG,03/01/2017,DE-MINIMUS RATEABLE VALUE
22420133110032,PROPERTY UNDERGOING RECONSTRUCTION,TO BE RATED,Walsingham Ltd,13/01/2017,SUITE 2 2ND FLR 1331-1337,High Road,London,,,N20 9HR,13/01/2017,DE-MINIMUS RATEABLE VALUE
32600000010927,OFFICES AND PREMISES,"£1,475",ROC Security Solutions Ltd,04/09/2015,Room 124e Gnd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,20/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010299,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Limited,31/01/2017,Room B,1 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010301,PROPERTY  UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Limited,31/01/2017,Room C,1 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010316,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Limited,31/01/2017,Room D,1 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010335,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Limited,31/01/2017,Room F,1 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010354,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Ltd,31/01/2017,Room H,4 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010369,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Ltd,31/01/2017,Room A,4 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010373,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Ltd,31/01/2017,Room B,4 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010388,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Ltd,31/01/2017,Room C,4 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010392,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Ltd,31/01/2017,Room D,4 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010405,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Ltd,31/01/2017,Room E,4 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010424,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Ltd,31/01/2017,Room G,4 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
03412000010496,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Limited,31/01/2017,Room H,1 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
0341200001032A,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Limited,31/01/2017,Room E,1 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
0341200001034B,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Limited,31/01/2017,Room G,1 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,31/01/2017,DE-MINIMUS RATEABLE VALUE
32600000010715,OFFICES AND PREMISES,"£1,425",Comer (New Southgate) No 1 Limited,31/01/2017,Room 222d 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,31/01/2017,DE-MINIMUS RATEABLE VALUE
3260000001040B,OFFICES AND PREMISES,"£2,150",Monaco Interiors Ltd,12/01/2016,Room 158 Gnd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,13/02/2017,DE-MINIMUS RATEABLE VALUE
39120000710016,BUILDING UNDERGOING RECONSTRUCTION,TO BE RATED,Hayashi Developments Ltd,11/03/2017,3rd Floor,7 Shakespeare Road,London,,,N3 1XE,14/02/2017,DE-MINIMUS RATEABLE VALUE
22460001810916,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,07/07/2017,Suite 11 6th Flr,18-24 High Street,Edgware,Middlesex,,HA8 7RP,27/02/2017,DE-MINIMUS RATEABLE VALUE
12400090120002,PROPERTY UNDERGOING REDEVELOPMENT,TO BE RATED,Global Homes Estates Ltd,28/02/2017,Dersingham Road Garage,Dersingham Road,London,,,NW2 1SP,28/02/2017,DE-MINIMUS RATEABLE VALUE
08740006700016,UNDER CONSTRUCTION FOR CHANGE OF USE,TO BE RATED,Lycium Properties Limited,01/03/2017,67 Church Lane,London,,,,N2 8DR,01/03/2017,DE-MINIMUS RATEABLE VALUE
09940080010063,BUILDING UNDERGOING RECONSTRUCTION,TO BE RATED,Hyundai Motor Uk Limited,11/10/2016,Budget Rent A Car Deards Depot,Colney Hatch Lane,London,,,N10 1ER,03/03/2017,DE-MINIMUS RATEABLE VALUE
09940080010082,BUILDING UNDERGOING RECONSTRUCTION,TO BE RATED,HYUNDAI MOTOR UK LIMITED,03/01/2017,Finchley Car Centre Block 3 Unit 1 & 4,Colney Hatch Lane,London,,,N10 1ER,03/03/2017,DE-MINIMUS RATEABLE VALUE
03412000010161,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Spyce Estates Limited,11/03/2017,Room C,5 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,11/03/2017,DE-MINIMUS RATEABLE VALUE
22440092810215,STORE AND PREMISES,"£1,425",Shanly Homes Limited,30/03/2017,Unit 12 Brake Shear House,High Street,Barnet,Hertfordshire,,EN5 5XP,30/03/2017,DE-MINIMUS RATEABLE VALUE
32600000011224,OFFICES AND PREMISES,"£1,725",Comer (New Southgate) No 1 Limited,01/04/2017,Room 136 Gnd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/04/2017,DE-MINIMUS RATEABLE VALUE
3260000001031A,OFFICES AND PREMISES,"£1,825",Comer (New Southgate) No 1 Limited,01/04/2017,Room 138 Gnd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/04/2017,DE-MINIMUS RATEABLE VALUE
3260000001033B,OFFICES AND PREMISES,"£1,875",Comer (New Southgate) No 1 Limited,01/04/2017,Room 127 Gnd Flr  Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/04/2017,DE-MINIMUS RATEABLE VALUE
22460001810865,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Ltd,09/04/2017,Unit 3,2nd Flr,18-24 High Street,Edgware,Middlesex,HA8 7RP,09/04/2017,DE-MINIMUS RATEABLE VALUE
36360026610001,OFFICES AND PREMISES,"£1,900",Mr Botan Hourami,01/01/2017,R/o,266 Regents Park Road,London,,,N3 3HN,11/04/2017,DE-MINIMUS RATEABLE VALUE
22460001813079,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,28/02/2017,Suite 7 3rd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,28/04/2017,DE-MINIMUS RATEABLE VALUE
22400070710501,OFFICES & PREMISES,"£1,875",Flint Grove Limited,08/03/2018,Suite F 1st Fl 707,High Road,London,,,N12 0BT,01/05/2017,DE-MINIMUS RATEABLE VALUE
03412000010439,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Lpis Ltd,08/05/2017,Room A,2 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,08/05/2017,DE-MINIMUS RATEABLE VALUE
03412000010443,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Lpis Ltd,01/09/2016,Room B,2 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,08/05/2017,DE-MINIMUS RATEABLE VALUE
03412000010462,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Lpis Ltd,08/05/2017,Room D,2 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,08/05/2017,DE-MINIMUS RATEABLE VALUE
03412000010477,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Lpis Ltd,08/05/2017,Room E,2 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,08/05/2017,DE-MINIMUS RATEABLE VALUE
03412000010481,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Lpis Ltd,08/05/2017,Room F,2 Ocean House,Bentley Way,Lytton Road,London,EN5 5FP,08/05/2017,DE-MINIMUS RATEABLE VALUE
22460001810329,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,20/05/2017,SUITE 1 7TH FLR 18-24,High Street,Edgware,Middlesex,,HA8 7RP,20/05/2017,DE-MINIMUS RATEABLE VALUE
02650000200002,OFFICES AND PREMISES,TO BE RATED,Drawing And Planning Limited,01/06/2017,Unit 2 Bavdene Mews R/o 25-27,The Burroughs,London,,,NW4 4AR,01/06/2017,DE-MINIMUS RATEABLE VALUE
22460001810456,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Ltd,01/06/2017,SUITE 4 3RD FL 18-24,High Street,Edgware,Middlesex,,HA8 7RP,01/06/2017,DE-MINIMUS RATEABLE VALUE
22460001813083,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/06/2017,Suite 8 3rd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,06/06/2017,DE-MINIMUS RATEABLE VALUE
2246000181030B,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,08/06/2017,Suite 12 6th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,08/06/2017,DE-MINIMUS RATEABLE VALUE
22460001810314,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,10/06/2017,SUITE 2 4TH FL 18-24,High Street,Edgware,Middlesex,,HA8 7RP,10/06/2017,DE-MINIMUS RATEABLE VALUE
18181000310038,OFFICES AND PREMISES,"£2,800",Neway International Ltd,04/02/2008,SUITE 2 1ST FL FRONT RIGHT 3a,Princes Parade Golders Green Road,London,,,NW11 9PS,11/06/2017,DE-MINIMUS RATEABLE VALUE
22460001810827,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,15/06/2017,Suite 5 1st Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,15/06/2017,DE-MINIMUS RATEABLE VALUE
22460001810634,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,21/06/2017,Suite 3 3rd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,21/06/2017,DE-MINIMUS RATEABLE VALUE
15820109610016,BUILDING UNDERGOING REDEVELOPMENT,TO BE RATED,Alto Residential Limited,01/04/2017,Front Building At,1096 Finchley Road,London,,,NW11 0QE,26/06/2017,DE-MINIMUS RATEABLE VALUE
08960000110005,BUILDING UNDERGOING RECONSTRUCTION,TO BE RATED,35 Woodstock Avenue Limited,10/06/2016,1st Flr,1-2 Church Way,Edgware,Middlesex,,HA8 9AA,27/06/2017,DE-MINIMUS RATEABLE VALUE
2446000040000B,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Hutton Developments Ltd,01/12/2016,4 & 6,Hutton Grove,London,,,N12 8DT,28/06/2017,DE-MINIMUS RATEABLE VALUE
22460001810013,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,01/07/2017,Unit 1 4th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,01/07/2017,DE-MINIMUS RATEABLE VALUE
2246000181305A,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,01/07/2017,Suite 5 3rd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,01/07/2017,DE-MINIMUS RATEABLE VALUE
3912000071002A,WAREHOUSE AND PREMISES,TO BE RATED,Hayashi Developments Ltd,27/07/2017,Gnd Flr,7 Shakespeare Road,London,,,N3 1XE,01/07/2017,DE-MINIMUS RATEABLE VALUE
22420133110009,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Walsingham Ltd,13/01/2017,Gnd Flr,1331-1337 High Road,London,,,N20 9HR,04/07/2017,DE-MINIMUS RATEABLE VALUE
22420133110013,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Walsingham Ltd,13/01/2017,1st Flr,1331-1337 High Road,London,,,N20 9HR,04/07/2017,DE-MINIMUS RATEABLE VALUE
22420133110028,PROPERTY UNDERGOING RECONSTRUCTION,TO BE RATED,Walsingham Ltd,13/01/2017,SUITE 1 2ND FLR 1331-1337,High Road,London,,,N20 9HR,04/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810333,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Ltd,05/07/2017,SUITE 2 7TH FL 18-24,High Street,Edgware,Middlesex,,HA8 7RP,05/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810812,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Ltd,05/07/2017,Suite 4 1st Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,05/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810009,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,Suite 1b 5th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810032,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,Unit 5 4th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810113,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,Suite 2 5th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810136,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,SUITE 1A 5TH FL 18-24,High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810583,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,SUITE 3 5TH FL 18-24,High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810757,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,Unit 4b 2nd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810761,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,Unit 1 2nd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810776,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,Unit 1a 2nd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810808,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,Suite 6 1st Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
22460001813064,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,Suite 6 3rd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
2246000181039B,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,SUITE 4 7TH FLR 18-24,High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
2246000181062B,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,06/07/2017,Suite 2 3rd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,06/07/2017,DE-MINIMUS RATEABLE VALUE
22460001800007,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,07/07/2017,Suite 3 6th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,07/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810066,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,07/07/2017,Suite 4 6th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,07/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810348,PROPERTY UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,07/07/2017,SUITE 3 7TH FL 18-24 18-24,High Street,Edgware,Middlesex,,HA8 7RP,07/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810352,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,07/07/2017,SUITE 5 7TH FL 18-24,High Street,Edgware,Middlesex,,HA8 7RP,07/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810704,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,07/07/2017,Suite 6 7th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,07/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810719,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,07/07/2017,Suites 7 & 8 7th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,07/07/2017,DE-MINIMUS RATEABLE VALUE
2246000181009B,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,07/07/2017,Suite 7 6th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,07/07/2017,DE-MINIMUS RATEABLE VALUE
2246000181046B,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,07/07/2017,SUITE 4A 3RD FL 18-24,High Street,Edgware,Middlesex,,HA8 7RP,07/07/2017,DE-MINIMUS RATEABLE VALUE
2246000181087B,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,07/07/2017,Suites 5-6,6th Flr,18-24 High Street,Edgware,Middlesex,HA8 7RP,07/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810668,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,08/07/2017,Suite 4 5th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,08/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810742,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,08/07/2017,Unit 4a 2nd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,08/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810846,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,08/07/2017,Suite 3-3a,1st Flr,18-24 High Street,Edgware,Middlesex,HA8 7RP,08/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810723,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,09/07/2017,Unit 4 2nd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,09/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810545,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,10/07/2017,Suite 5 5th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,10/07/2017,DE-MINIMUS RATEABLE VALUE
2246000181053A,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,10/07/2017,Suite 1 5th Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,10/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810475,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,17/07/2017,SUITE 4B 3RD FL 18-24,High Street,Edgware,Middlesex,,HA8 7RP,17/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810615,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,17/07/2017,Suite 1 3rd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,17/07/2017,DE-MINIMUS RATEABLE VALUE
22460001813045,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,17/07/2017,Suite 4c 3rd Floor,18-24 High Street,Edgware,Middlesex,,HA8 7RP,17/07/2017,DE-MINIMUS RATEABLE VALUE
4542002601000A,SITE OF AUTOMATIC TELLER MACHINE,£550,Notemachine Uk Limited,15/04/2016,Atm At,260 The Broadway,London,,,NW9 6AG,17/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810901,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,18/07/2017,Suite 10 6th Flr,18-24 High Street,Edgware,Middlesex,,HA8 7RP,18/07/2017,DE-MINIMUS RATEABLE VALUE
2246000181085A,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,21/07/2017,Unit 2a,2nd Flr,18-24 High Street,Edgware,Middlesex,HA8 7RP,21/07/2017,DE-MINIMUS RATEABLE VALUE
04530000010024,CAR PARKING SPACES AND PREMISES,"£2,400",BC Exchange Ltd,22/07/2017,Parkng Spaces For,2nd Flr (v2) 4 Building The Exchange,Brent Cross Gardens,London,,NW4 3RG,22/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810371,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,24/07/2017,8th Fl 18-24,High Street,Edgware,Middlesex,,HA8 7RP,24/07/2017,DE-MINIMUS RATEABLE VALUE
22460001810282,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Sparquote Limited,25/07/2017,SUITE 1A 4TH FLR 18-24,High Street,Edgware,Middlesex,,HA8 7RP,25/07/2017,DE-MINIMUS RATEABLE VALUE
32600000010293,OFFICES AND PREMISES,"£1,825",Mr Delroy Wright,17/12/2014,Room 124b Gnd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,25/07/2017,DE-MINIMUS RATEABLE VALUE
