Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178972,309.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178973,179.06
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178974,"2,018.17"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178975,"1,806.04"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178976,"1,263.20"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178977,651.53
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178978,"8,296.64"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178979,17.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178980,663.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178981,436.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178982,338.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178983,34.81
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178984,"2,026.75"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178985,"1,640.57"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178986,"1,588.75"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178987,"2,201.56"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178988,524.59
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178989,"1,037.69"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178990,8.48
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178991,242.11
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178992,102.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178993,162.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000179036,56.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000179042,61.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000179045,18.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000179046,19.24
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000179088,103.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000179089,95.97
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000179093,68.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000179169,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000179185,56.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000179196,63.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000179243,69.05
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,M/W REMEDIATION - OPERATION,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179084,"19,134.81"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,M/W REMEDIATION - OPERATION,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179085,"17,782.24"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,M/W REMEDIATION - OPERATION,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179085,"7,638.58"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,M/W REMEDIATION - OPERATION,ENVIRONMENT,LOWTHER FORESTRY GROUP LI,0000179097,"1,180.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,M/W SITE SURVEY WORK,ENVIRONMENT,MIDLAND SURVEYING & ENGIN,0000179138,"1,040.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/12/2010,MONITORING & FLOW MEASUREMENT,ENVIRONMENT,ENVIROMONTEL LIMITED,0000178267,"9,520.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,MONITORING & FLOW MEASUREMENT,ENVIRONMENT,ENVIROMONTEL LIMITED,0000178788,"-5,600.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/01/2011,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,ATKINS LIMITED,0000178622,"7,775.20"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/01/2011,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,VENTURE FINANCE PLC,0000178755,603.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/02/2011,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,VENTURE FINANCE PLC,0000178909,371.28
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/02/2011,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,VENTURE FINANCE PLC,0000179195,402.22
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,PROJECT MANAGEMENT-BOREHOLES,ENVIRONMENT,JMC ENGINEERING (UK) LTD,0000178789,"8,488.10"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,PROJECT MANAGEMENT-BOREHOLES,ENVIRONMENT,JMC ENGINEERING (UK) LTD,0000178790,989.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,PROJECT MANAGEMENT-BOREHOLES,ENVIRONMENT,JMC ENGINEERING (UK) LTD,0000178872,104.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,PUMP OVERHAULS,ENVIRONMENT,WEIR PUMPS LIMITED,0000178866,"3,672.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,PUMP TESTS,ENVIRONMENT,J N BENTLEY LIMITED,0000179048,"67,768.63"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,PUMP TESTS,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179132,"1,685.69"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/01/2011,RATES PAYABLE,ENVIRONMENT,UK COAL MINING LIMITED,0000178442,"6,547.19"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,RENTS PAYABLE,ENVIRONMENT,THE BUCCLEUCH ESTATES LTD,0000178769,215.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,RENTS PAYABLE,ENVIRONMENT,LOUNT OUTFLOW LAND AT SCH,0000178824,520.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,RENTS PAYABLE,ENVIRONMENT,ANNUAL RENT LAND AT ALLERDEAN,0000178825,"5,959.74"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,RENTS PAYABLE,ENVIRONMENT,ANNUAL RENT LAND,0000178826,812.69
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,RENTS PAYABLE,ENVIRONMENT,ANNUAL LICENCE TRELEWIS,0000178827,150.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,RENTS PAYABLE,ENVIRONMENT,THE CROWN ESTATE,0000178878,200.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/02/2011,RENTS PAYABLE,ENVIRONMENT,ADDITIONAL RENTAL PAYABLE,0000178963,955.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,RENTS PAYABLE,ENVIRONMENT,LICENCE FEE FOR TREE CLEARANCE,0000179167,400.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2011,RENTS PAYABLE,ENVIRONMENT,EASEMENT CONSIDERATION,0000179207,"4,200.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/01/2011,WATER SAMPLING - OPERATIONAL,ENVIRONMENT,ENVIRONMENTAL SCIENTIFICS,0000178660,"6,205.35"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,WATER SAMPLING - OPERATIONAL,ENVIRONMENT,ENVIRONMENTAL SCIENTIFICS,0000178708,"4,173.34"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,BUILDING SECURITY - STAFF,FACILITIES MANAGEMENT,OCTAVIAN CONTINENTAL LTD,0000178656,"5,344.04"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,CLEANING MATERIALS,FACILITIES MANAGEMENT,COMPANY BARCLAYCARD,0000179139,20.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,CONTRACT HIRE VEHICLES,FACILITIES MANAGEMENT,RAINWORTH SKODA,0000178616,25.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,CONTRACT HIRE VEHICLES,FACILITIES MANAGEMENT,AUTO SMART,0000178770,377.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,ELECTRICITY,FACILITIES MANAGEMENT,EDF ENERGY 1 LIMITED,0000178752,"11,301.04"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,FARES - PUBLIC TRANSPORT,FACILITIES MANAGEMENT,ACE OF MANSFIELD LTD,0000178729,153.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178930,145.24
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178931,114.35
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178932,85.71
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178933,95.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178934,30.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178935,146.85
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178936,48.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178937,71.35
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178938,84.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178939,56.89
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178940,23.02
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178941,54.76
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178942,41.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178943,69.54
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178944,152.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178945,116.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000178946,95.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179170,75.85
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179171,48.18
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179172,73.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179173,28.82
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179174,107.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179175,40.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179176,40.76
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179177,85.53
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179210,110.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179211,164.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179212,14.77
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179213,75.34
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179214,74.89
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179215,45.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179216,80.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2011,FUEL (VEHICLE),FACILITIES MANAGEMENT,ARVAL PHH,0000179217,130.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,MEETINGS,FACILITIES MANAGEMENT,SEVEN DAY CATERING LIMITE,0000178709,827.11
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,MEETINGS,FACILITIES MANAGEMENT,SEVEN DAY CATERING LIMITE,0000178710,209.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,MEETINGS,FACILITIES MANAGEMENT,SEVEN DAY CATERING LIMITE,0000178891,390.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2011,MEETINGS,FACILITIES MANAGEMENT,178279-DSLWD VAT NON-STFF,31002170,19.82
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/01/2011,OTHER FUELS,FACILITIES MANAGEMENT,CALOR GAS LIMITED,0000178619,32.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/02/2011,OTHER FUELS,FACILITIES MANAGEMENT,CALOR GAS LIMITED,0000179055,915.38
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/01/2011,PLANT MAINTENANCE,FACILITIES MANAGEMENT,BUREAU VERITAS UK LTD,0000178621,438.93
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,PLANT MAINTENANCE,FACILITIES MANAGEMENT,COFELY LIMITED,0000178757,"3,062.15"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,SITE MAINTENANCE,FACILITIES MANAGEMENT,ULYETT LANDSCAPES LIMITED,0000178725,765.14
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,SITE MAINTENANCE,FACILITIES MANAGEMENT,PHS DATASHRED,0000178758,104.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,SITE MAINTENANCE,FACILITIES MANAGEMENT,COFELY LIMITED,0000178888,"1,227.95"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,SITE MAINTENANCE,FACILITIES MANAGEMENT,CONNECT WATER SYSTEMS,0000179054,168.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,SITE MAINTENANCE,FACILITIES MANAGEMENT,COMPANY BARCLAYCARD,0000179139,208.26
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/01/2011,SITE SECURITY,FACILITIES MANAGEMENT,KINGS ARMOURED SEC SERVS,0000178620,157.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/01/2011,SITE SERVICES,FACILITIES MANAGEMENT,PHS GROUP,0000178759,-326.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/01/2011,SITE SERVICES,FACILITIES MANAGEMENT,PHS GROUP,0000178760,-2.35
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,SITE SERVICES,FACILITIES MANAGEMENT,PHS GROUP,0000178761,323.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,STATIONERY,FACILITIES MANAGEMENT,COMPANY BARCLAYCARD,0000179156,"1,414.10"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,SUNDRY OFFICE EXPENSES,FACILITIES MANAGEMENT,COMPANY BARCLAYCARD,0000179156,3.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,SUNDRY OFFICE EXPENSES,FACILITIES MANAGEMENT,DRY CLEANING OF CA SUITS,0000179182,47.52
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,TEMP STAFF - CANTEEN,FACILITIES MANAGEMENT,SEVEN DAY CATERING LIMITE,0000178929,"3,345.50"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,TEMP STAFF - CLEANERS,FACILITIES MANAGEMENT,OCTAVIAN CONTINENTAL LTD,0000178657,"3,465.43"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,AUDIT FEES - INTERNAL,FINANCE,PRICEWATERHOUSECOOPERS LL,0000179035,"7,631.46"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,FARES - RAIL,FINANCE,COMPANY BARCLAYCARD,0000179155,143.79
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,FINANCE,CAPGEMINI UK PLC,0000178917,"1,178.18"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,OTHER BANK CHARGES,FINANCE,NATIONAL WESTMINSTER BANK,0000179188,104.38
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/02/2011,OTHER BANK CHARGES,FINANCE,CITIBANK,0000179228,96.48
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/01/2011,PAYMENTS TO AGENCIES FOR TEMPS,FINANCE,KEY PERSONNEL GROUP LIMIT,0000179068,239.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,PAYMENTS TO AGENCIES FOR TEMPS,FINANCE,KEY PERSONNEL GROUP LIMIT,0000179069,239.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,PAYMENTS TO AGENCIES FOR TEMPS,FINANCE,KEY PERSONNEL GROUP LIMIT,0000179070,321.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/02/2011,PAYMENTS TO AGENCIES FOR TEMPS,FINANCE,KEY PERSONNEL GROUP LIMIT,0000179091,236.74
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,SALARY PROCESSING FEES,FINANCE,LOGICACMG UK LIMITED,0000178705,985.79
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CHILDCARE VOUCHERS,HISTORIC LIABILITIES,LEAPFROG DAY NURSERIES LT,0000178893,243.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,CONSULTANTS TECHNICAL,HISTORIC LIABILITIES,WYG ENV PLANNING TRANSPOR,0000178887,408.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,HOTEL ACCOMMODATION,HISTORIC LIABILITIES,COMPANY BARCLAYCARD,0000179146,64.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,LEGAL COSTS,HISTORIC LIABILITIES,DLA PIPER UK LLP,0000179012,"9,031.77"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,LEGAL COSTS,HISTORIC LIABILITIES,LAND REGISTRY,0000179189,49.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2011,LEGAL COSTS,HISTORIC LIABILITIES,LAND REGISTRY,0000179235,37.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/02/2011,LEGAL COSTS,HISTORIC LIABILITIES,LAND REGISTRY,0000179236,29.00
