Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PROFESSIONAL SERVICES,FUSION,BNS NUCLEAR SERVICES,5100332325,29997.59
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,PROFESSIONAL SERVICES,FUSION,BNS NUCLEAR SERVICES,5100332363,1483.33
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,GASES,FUSION,BOC LTD,5100331426,142.52
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,GASES,FUSION,BOC LTD,5100331988,30405.60
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332414,174.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332449,37258.78
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332627,-5162.72
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332879,250.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,GASES,FUSION,BOC LTD,5100331582,47.36
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,GASES,FUSION,BOC LTD,5100331839,36.31
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332421,325.25
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332435,39.41
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,GASES,FUSION,BOC LTD,5100332287,892.44
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332416,213.50
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332434,846.26
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332630,562.43
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332631,431.77
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,GASES,FUSION,BOC LTD,5100331303,386.61
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,GASES,FUSION,BOC LTD,5100332097,9.98
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332439,39.41
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332286,-462.68
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332289,491.15
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332628,2590.68
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332423,357.37
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332635,-298.87
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332422,35.25
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,GASES,FUSION,BOC LTD,5100332651,261.75
