Department,Entity,Date of Payment,Expense Type,Expense Area,Suppliers,Transaction Number,Amount
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299706,36.94
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299870,82.12
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299885,91.21
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299898,251.8
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299926,7.45
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100300006,26.4
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100300023,187.11
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299236,195.22
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299321,19.06
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299468,198.12
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299871,9.54
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299016,48.44
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100296833,61.2
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299021,387.7
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299112,20.94
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299880,33
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100297172,42.38
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299233,4.8
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299240,75.3
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299243,740.85
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299937,112
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299943,62.8
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299231,53.45
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299244,242.41
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299293,134.83
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100299867,158.58
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100298908,7.84
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FARNELL ELECTRONIC,5100300024,327.06
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,FESTO LTD,5100298902,2181.48
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,CONSUMABLES,FUSION,FIRST AID WAREHOUSE,5100299111,107.9
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,SUPPORT SERVICES,FISHER SCIENTIFIC UK LTD,5100298936,252.98
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,SUPPORT SERVICES,FISHER SCIENTIFIC UK LTD,5100299147,368
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT & EQUIPMENT,FUSION,FISHER SCIENTIFIC UK LTD,5100298752,28.31
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT & EQUIPMENT,FUSION,FISHER SCIENTIFIC UK LTD,5100299439,20.06
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,FISHER SCIENTIFIC UK LTD,5100298934,186.56
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,FISHER SCIENTIFIC UK LTD,5100299118,119.85
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,FISHER SCIENTIFIC UK LTD,5100298935,1963.86
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PLANT & EQUIPMENT,FUSION,FISHER SCIENTIFIC UK LTD,5100299787,992.88
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PLANT & EQUIPMENT,FUSION,FISHER SCIENTIFIC UK LTD,5100300008,234.61
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PLANT & EQUIPMENT,FUSION,FISHER SCIENTIFIC UK LTD,5100298576,85.97
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT & EQUIPMENT,FUSION,FISHER SCIENTIFIC UK LTD,5100299146,49.3
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PLANT & EQUIPMENT,FUSION,FISHER SCIENTIFIC UK LTD,5100299440,20.86
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CONSUMABLES,FUSION,Flame Spray Technologies Ltd,5100299291,935
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,MATERIALS & SPARES,FUSION,FORGEWELD LTD,5100298844,112
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FORGEWELD LTD,5100299166,472.33
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FORGEWELD LTD,5100299167,1199
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FORGEWELD LTD,5100299169,102
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FORGEWELD LTD,5100299170,131.2
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FORGEWELD LTD,5100299784,1987.8
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FORGEWELD LTD,5100300004,470.07
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FORGEWELD LTD,5100299168,781.89
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FORGEWELD LTD,5100299311,1987.8
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FORGEWELD LTD,5100299419,784.36
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,EFDA SECONDEE CONTRACT,FUSION,FORSCHUNGSZENTRUM JULICH,5100299141,18422.59
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,FORWARD 2000 LTD,5100299476,102.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MATERIALS & SPARES,FUSION,FORWARD 2000 LTD,5100299003,255
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,FORWARD 2000 LTD,5100299905,151.18
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,Future Alloys Ltd,1900059401,£ 510.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,MATERIALS & SPARES,FUSION,GARNER OSBORNE CIRCUITS LTD,5100299073,314.2
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,MATERIALS & SPARES,FUSION,GARNER OSBORNE CIRCUITS LTD,5100299130,328
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,HIRED STAFF,FUSION,GENTLE ASSOCIATES LTD,5100299375,3898.24
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PROFESSIONAL SERVICES,FUSION,GLANVILLE CONSULTANTS,5100299425,1450.12
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PROFESSIONAL SERVICES,PROPERTY,GLANVILLE CONSULTANTS,5100299851,135.92
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PROFESSIONAL SERVICES,PROPERTY,GLANVILLE CONSULTANTS,5100299850,3507.99
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT & EQUIPMENT,FUSION,GLENAIR UK LTD,5100299190,106.8
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,GOODFELLOW CAMBRIDGE LTD,5100299061,230
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,GOODFELLOW CAMBRIDGE LTD,5100299145,89.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PROFESSIONAL SERVICES,SUPPORT SERVICES,Government Actuary's Department,5100299470,39357.26
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PROFESSIONAL SERVICES,SUPPORT SERVICES,Government Actuary's Department,5100299472,32549.94
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PROFESSIONAL SERVICES,SUPPORT SERVICES,Government Actuary's Department,5100299473,35844.63
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT & EQUIPMENT,FUSION,GRANT INSTRUMENTS LTD,5100299654,489
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,GRANTS & AWARDS,FUSION,GRANTS & AWARDS,1900059438,"£ 2,420.00"
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,REPAIRS & MAINTENANCE,FUSION,GUYSON INTERNATIONAL,5100299492,595.39
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PROFESSIONAL SERVICES,PROPERTY,GVA GRIMLEY,5100299482,4759.24
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,TAXIS,FUSION,HAROLDS CARS,5100299610,2768.73
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,,SUPPORT SERVICES,Harwell RFC,1900059408,£ 759.84
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,MATERIALS & SPARES,FUSION,Helander Precision Engineering Limited,5100299368,3557.34
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,CHARITABLE DONATIONS,SUPPORT SERVICES,Helen And Douglas House,1900059445,£ 150.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT & EQUIPMENT,FUSION,HEWDEN,5100298559,797.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PROFESSIONAL SERVICES,FUSION,HILLS WASTE SOLUTIONS LTD,5100299065,70.47
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PROFESSIONAL SERVICES,FUSION,HILLS WASTE SOLUTIONS LTD,5100299365,210
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PROFESSIONAL SERVICES,FUSION,HILLS WASTE SOLUTIONS LTD,5100299613,637
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,STATIONERY,FUSION,HOBS REPROGRAPHICS PLC,5100299176,529.25
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,STATIONERY,FUSION,HOBS REPROGRAPHICS PLC,5100300026,120.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,TRAVEL,SUPPORT SERVICES,Hogg Robinson(Travel)Ltd T/A HRG UK,5100299781,21215.14
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,HOTCHKISS AIR SUPPLY,5100299204,1368.06
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MATERIALS & SPARES,FUSION,Hoverdale (UK) Ltd,5100299002,200
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MATERIALS & SPARES,FUSION,Hoverdale (UK) Ltd,5100299131,3850
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,MATERIALS & SPARES,FUSION,Hoverdale (UK) Ltd,5100299503,1498.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,MATERIALS & SPARES,FUSION,Hoverdale (UK) Ltd,5100299692,5875
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,Hoverdale (UK) Ltd,5100299847,375
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,MATERIALS & SPARES,FUSION,HPC GEARS LTD,5100299608,213.25
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,MATERIALS & SPARES,FUSION,HPC GEARS LTD,5100299630,1275.19
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,PROFESSIONAL SERVICES,SUPPORT SERVICES,HSE - FINANCIAL OPERATIONS,5100299082,1904.67
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT & EQUIPMENT,FUSION,HT SERVO LTD,5100299201,16368
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT & EQUIPMENT,FUSION,HT SERVO LTD,5100299578,6305
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PROFESSIONAL SERVICES,FUSION,HUTTON ENGINEERING (PRECISION) LTD,5100298997,1054.26
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,MATERIALS & SPARES,FUSION,HV WOODING LIMITED,5100299310,139.68
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,HYDROBLAST,5100299287,410
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,CLEANING,FUSION,HYDROBLAST,5100299577,440
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,CLEANING,FUSION,HYDROBLAST,5100299918,1720
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PROFESSIONAL SERVICES,SUPPORT SERVICES,IET SERVICES LIMITED,5100299714,390
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MEDICAL EXPENSES,FUSION,IMASS LTD,5100299133,4985.41
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,UNIVERSITY PLACEMENT,FUSION,IMPERIAL COLLEGE,5100299490,4174
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,UNIVERSITY PLACEMENT,FUSION,IMPERIAL COLLEGE,5100299491,9383.35
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,PLANT & EQUIPMENT,FUSION,INDUSTRIAL RUBBER PLC,5100299185,687.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,PLANT & EQUIPMENT,FUSION,INDUSTRIAL RUBBER PLC,5100299186,1075
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MATERIALS & SPARES,FUSION,INFRANOR LIMITED,5100298895,5041.7
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,INSIGHT DIRECT LTD,5100299144,551.98
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT & EQUIPMENT,FUSION,INSIGHT DIRECT LTD,5100299351,-11.99
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PLANT & EQUIPMENT,FUSION,INSIGHT DIRECT LTD,5100299961,24.98
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT & EQUIPMENT,SUPPORT SERVICES,INSIGHT DIRECT LTD,5100299330,880.1
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,PLANT & EQUIPMENT,FUSION,INSTRUMENT TECHNOLOGY LTD,5100299486,1560
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,PLANT & EQUIPMENT,FUSION,INSTRUMENT TECHNOLOGY LTD,5100300430,-1560
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,PLANT & EQUIPMENT,FUSION,INSTRUMENT TECHNOLOGY LTD,5100300432,1560
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PROFESSIONAL SERVICES,FUSION,INTEGRATE SYSTEMS ENGINEERING LTD,5100299109,6757
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PROFESSIONAL SERVICES,FUSION,INTEGRATE SYSTEMS ENGINEERING LTD,5100299845,3134
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059450,£ 32.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059466,£ 72.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059453,£ 90.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059396,£ 309.18
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059489,£ 481.16
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059394,£ 18.55
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059455,£ 18.55
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059456,£ 18.55
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059457,£ 15.25
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059458,£ 12.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059459,£ 12.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059460,£ 12.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059461,£ 12.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059452,£ 26.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,INTERVIEW EXPENSES,FUSION,INTERVIEW EXPENSES,1900059454,£ 75.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PUBLICATIONS,FUSION,IOP PUBLISHING LTD,5100299950,843.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PUBLICATIONS,FUSION,IOP PUBLISHING LTD,5100299951,1068.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PUBLICATIONS,FUSION,IOP PUBLISHING LTD,5100299952,1125
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PUBLICATIONS,FUSION,IOP PUBLISHING LTD,5100299953,1500
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT & EQUIPMENT,FUSION,IPM FITTINGS,5100299134,50.24
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT & EQUIPMENT,FUSION,IPM FITTINGS,5100299308,33.3
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,OTHER EXTERNAL COSTS,SUPPORT SERVICES,Irwin Mitchell LLP,1900059467,"£ 3,631.01"
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,20/02/2014,OTHER EXTERNAL COSTS,SUPPORT SERVICES,Irwin Mitchell LLP,1900059486,£ 980.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,,SUPPORT SERVICES,Irwin Mitchell LLP,1900059468,"£ 6,811.40"
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,MATERIALS & SPARES,FUSION,ISIS FLUID CONTROL LIMITED,5100299500,1333.95
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,TRAINING COSTS,FUSION,ISIS TRAINING SERVICES LTD,5100299270,294
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,J & J PNEUMATICS LTD,5100299110,1824.09
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,JAC TOOLS LTD,5100299846,53.34
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,JEWSON LTD,5100299832,45.32
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PLANT & EQUIPMENT,FUSION,JOHNSON MATTHEY PLC,5100299438,1023.61
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT & EQUIPMENT,FUSION,KAISER & KRAFT LTD,5100299250,261
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100299389,400
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100299391,192
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100299392,736
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100300238,352
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100300241,704
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100299387,208
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100299388,192
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100300234,288
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100300235,320
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100300236,304
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100300237,752
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100300239,544
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100300240,768
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,LEGAL FEES,SUPPORT SERVICES,KEOGHS,5100300269,1296
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,MATERIALS & SPARES,FUSION,KEY INDUSTRIAL EQUIPMENT LTD,5100298906,268.85
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,KEY INDUSTRIAL EQUIPMENT LTD,5100299364,141.25
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,07/02/2014,PLANT & EQUIPMENT,FUSION,KGW-Isotherm,5100299793,-1057.11
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,07/02/2014,PLANT & EQUIPMENT,FUSION,KGW-Isotherm,5100299794,1057.11
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,BUILDING REPAIRS,PROPERTY,KNOWLES & SONS (OXFORD) LTD,5100299502,50785.41
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,BUILDING REPAIRS,PROPERTY,KNOWLES & SONS (OXFORD) LTD,5100299906,-737.49
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,BUILDING REPAIRS,PROPERTY,KNOWLES & SONS (OXFORD) LTD,5100299834,23974.43
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,RENT OF VEHICLE & EQUIPMENT,FUSION,KONSTRUCTA SITE ACCOMMODATION HIRE,5100299893,402
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,MATERIALS & SPARES,FUSION,K-TECH SUPPLIES LTD,5100299614,21.35
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,EFDA SECONDEE CONTRACT,FUSION,KTH The Royal Insitute of Technology,5100299379,15129.11
