UNIQUE REFERENCE NUMBER,TRANSACTION DATE, MERCHANT CATEGORY CODE DESCRIPTION2 ,LOCATION,MERCHANT CATEGORY GROUP DESCRIPTION3, AMOUNT ,SUPPLIER
FCOGPC2017090892,9/21/2017, HOTELS/MOTELS/RESORTS  ,LCA,Hotels,"1,159.73",ACCOMODATION PROVIDER
FCOGPC2017090893,9/21/2017, TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES ,NZL,Telecommunication Services,"1,179.71",VODAFONE LAMBTON QUAY
FCOGPC2017090894,9/21/2017, CATERERS ,GBR,Catering and Catering Supplies,"1,180.80",MACKINTOSH CATERING LI
FCOGPC2017090895,9/21/2017, HOUSEHOLD APPLIANCE STORES ,BRA,General Retail and Wholesale,"1,195.88",UNIVERSAL LOCACOES
FCOGPC2017090896,9/21/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",CYP,Utilities and Non Automotive Fuel,"1,217.30",CYTA - JCC SMART
FCOGPC2017090897,9/21/2017, STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP. ,PAN,"Office Stationery, equipment and supplies","1,220.45","ECOTONER, S.A."
FCOGPC2017090898,9/21/2017," OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES ",TUR,"Office Stationery, equipment and supplies","1,263.90",BIROFIS BURO MALZ.TIC.
FCOGPC2017090899,9/21/2017, HOTELS/MOTELS/RESORTS  ,PHL,Hotels,"1,287.94",ACCOMODATION PROVIDER
FCOGPC2017090900,9/21/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,CAN,Miscellaneous Industrial/Commercial Supplies,"1,299.71",ACCELERATING SUSTAINAB
FCOGPC2017090901,9/21/2017," OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES ",TUR,"Office Stationery, equipment and supplies","1,313.96",BIROFIS BURO MALZ.TIC.
FCOGPC2017090902,9/21/2017," DRAPERY, UPOLSTERY, AND WINDOW COVERINGS STORES ",BRA,General Retail and Wholesale,"1,315.30",CASA DO DE
FCOGPC2017090903,9/21/2017, HOTELS/MOTELS/RESORTS ,SAU,Hotels,"1,391.65",ACCOMODATION PROVIDER
FCOGPC2017090904,9/21/2017, CATERERS ,GBR,Catering and Catering Supplies,"1,419.00",MACKINTOSH CATERING LI
FCOGPC2017090905,9/21/2017," GROCERY STORES, SUPERMARKETS ",BRN,General Retail and Wholesale,"1,426.01",SMART (B) SDN BHD
FCOGPC2017090906,9/21/2017, HOTELS/MOTELS/RESORTS  ,CHN,Hotels,"1,503.31",ACCOMODATION PROVIDER
FCOGPC2017090907,9/21/2017," GROCERY STORES, SUPERMARKETS ",BRN,General Retail and Wholesale,"1,525.97",SMART (B) SDN BHD
FCOGPC2017090908,9/21/2017," ASSOCIATIONS-CIVIC, SOCIAL, AND FRATERNAL ",FRA,Leisure Activities,"1,764.17",LA CLEF
FCOGPC2017090909,9/21/2017, TRAVEL ,IRL,Airline,"1,991.08",AIRLINE
FCOGPC2017090910,9/21/2017, PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Professional Services,"3,240.86",PAYPAL  OMNIVEXNA
FCOGPC2017090911,9/21/2017, GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED ,LKA,Statutory Bodies,"4,044.57",CEYLON ELECTRICITY BOA
FCOGPC2017090912,9/21/2017, GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED ,LKA,Statutory Bodies,"4,613.54",CEYLON ELECTRICITY BOA
FCOGPC2017090913,9/22/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,500,ACCOMODATION PROVIDER
FCOGPC2017090914,9/22/2017, OTHER SERVICES (NOT ELSEWHERE CLASSIFIED) ,LUX,Professional Services,520,PAYPAL  BRAZILIANCH
FCOGPC2017090915,9/22/2017, HARDWARE EQUIPMENT AND SUPPLIES ,IND,Miscellaneous Industrial/Commercial Supplies,524.94,MRA ENTERPRISES
FCOGPC2017090916,9/22/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",CYP,General Retail and Wholesale,529.68,A MAVRIS & SONS LTD (E
FCOGPC2017090917,9/22/2017, ELECTRONIC SALES ,RWA,General Retail and Wholesale,542.28,HOTPOINT APPLIANCE LTD
FCOGPC2017090918,9/22/2017, STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP. ,BRA,"Office Stationery, equipment and supplies",554.25,STAPLES
FCOGPC2017090919,9/22/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,555.61,ACCOMODATION PROVIDER
FCOGPC2017090920,9/22/2017, MISCELLANEOUS AND SPECIALTY RETAIL STORES ,GHA,General Retail and Wholesale,564.72,SLYDEPAY
