Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Corporate Management Consultancy,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OSPREY CONSULTING SERVICES LTD,4013476," £7,760 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,OFFICE OF GOVERNMENT COMMERCE (OGC),4013520," £67,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4013492, £963 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4013498, £770 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4013414, £707 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4013489, £697 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4013485, £658 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4013412, £639 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4013484, £503 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,KREAB GAVIN ANDERSON LTD,4013509," £47,001 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013493," £133,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013488," £110,866 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013494," £81,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013490," £75,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013503," £40,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013504," £39,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013499," £28,855 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013486," £15,630 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013495," £14,400 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013499," £11,145 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013495," £9,530 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013497," £8,800 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013502," £2,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,External Legal Advice,Energy Markets & Infrastructure - DECC Commercial Team,FRESHFIELDS BRUCKHAUS DERINGER,4013483," £176,892 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4013475," £9,845 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4013474," £5,338 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4013471," £3,250 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4013473," £1,839 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4013472," £1,839 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4013468," £1,839 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4013506, £930 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4013506, £910 
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4013542, £588 
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,THE OPEN UNIVERSITY,4013447, £630 
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,Grants - Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE FOOD & ENVIRONMENT RESEARCH AGENCY FERA,4013521," £33,750 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4013514," £700,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4013512," £152,274 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4013515," £81,937 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4013511," £30,609 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4013513," £22,132 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,International Subscriptions,International Energy & Climate Change - International Energy & Carbon Budgets,SINCLAIR KNIGHT MERZ EUROPE LTD,4013517," £5,424 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,International Subscriptions,International Energy & Climate Change - International Energy & Carbon Budgets,SINCLAIR KNIGHT MERZ EUROPE LTD,4013518," £1,381 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,SCIENCE AND TECHNOLOGY CENTER IN UKRAINE,4012961," £16,326 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,SCIENCE AND TECHNOLOGY CENTER IN UKRAINE,4012961," £6,462 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PENNA plc,4013519," £6,451 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/04/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PENNA plc,4013519," £6,314 "
