Capital Write off Status,Reason for IRR Void,"Total 
Draw Down","Total
Payments","Total 
Write Off 
(Capital)","Total
Payments
(Capital)","Total
Payments
(Interest)","Total
Payments
(Fees)","Total Early
Payments
(Before 1st Draw Down)","IRR %
(excl early payments)","Annual-
ised 
Return %",ROI %,Write off %,"Period
in 
Mnths",Year of 1st Draw Down
Partial,..,"-£15,000.00","£3,637.50","£13,000.00","£2,500.00","£1,137.50",£0.00,£0.00,0.00%,-53.50%,-75.80%,86.70%,17,2011
..,..,"-£15,000.00","£16,150.00",£0.00,"£15,000.00","£1,150.00",£0.00,£0.00,11.50%,10.20%,7.70%,0.00%,9,2012
..,..,"-£15,000.00","£15,900.00",£0.00,"£15,000.00",£900.00,£0.00,£0.00,12.00%,12.00%,6.00%,0.00%,6,2012
..,..,"-£15,000.00","£16,462.62",£0.00,"£15,000.00","£1,462.62",£0.00,£0.00,12.00%,6.20%,9.80%,0.00%,19,2012
..,..,"-£15,000.00","£15,487.53",£0.00,"£15,000.00",£487.53,£0.00,£0.00,7.60%,3.00%,3.30%,0.00%,13,2013
Partial,..,"-£15,000.00","£2,662.50","£13,750.00","£1,956.25",£406.25,£300.00,£0.00,0.00%,-98.70%,-82.30%,91.70%,10,2013
..,..,"-£14,400.00","£17,810.00",£0.00,"£14,078.00","£3,588.00",£144.00,£0.00,9.70%,5.50%,23.70%,0.00%,52,2010
Partial,..,"-£14,000.00","£2,348.28","£12,225.00","£1,774.54",£573.74,£0.00,£0.00,0.00%,-52.60%,-83.20%,87.30%,19,2011
Full,IRR out of range,"-£14,000.00",£0.00,"£14,000.00",£0.00,£0.00,£0.00,£0.00,Void,-57.10%,-100.00%,100.00%,21,2012
Full,IRR out of range,"-£13,020.00",£0.00,"£13,020.00",£0.00,£0.00,£0.00,£0.00,Void,-75.00%,-100.00%,100.00%,16,2008
..,..,"-£13,000.00","£15,051.26",£0.00,"£13,000.00","£1,901.26",£150.00,£0.00,13.50%,7.00%,15.80%,0.00%,27,2011
Partial,..,"-£12,500.00","£5,763.00","£6,299.43","£4,638.00","£1,125.00",£0.00,£0.00,-31.40%,-22.30%,-53.90%,50.40%,29,2011
..,..,"-£12,000.00","£12,995.00",£0.00,"£11,500.00","£1,495.00",£0.00,£0.00,7.80%,4.10%,8.30%,0.00%,24,2010
Partial,..,"-£12,000.00","£4,845.00","£8,000.00","£4,000.00",£845.00,£0.00,£0.00,0.00%,-27.50%,-59.60%,66.70%,26,2012
Partial,..,"-£12,000.00","£6,171.03","£6,803.97","£5,196.03",£975.00,£0.00,£0.00,0.00%,-25.30%,-48.60%,56.70%,23,2012
..,..,"-£11,250.00","£13,200.02",£0.00,"£11,250.00","£1,950.02",£0.00,£0.00,11.00%,6.30%,17.30%,0.00%,33,2011
..,..,"-£10,320.00","£11,455.20",£0.00,"£9,890.00","£1,565.20",£0.00,£0.00,7.90%,4.60%,11.00%,0.00%,29,2011
..,..,"-£10,000.00","£10,683.36",£0.00,"£10,000.00",£683.36,£0.00,£0.00,6.30%,3.20%,6.80%,0.00%,26,2005
..,..,"-£10,000.00","£11,499.01",£0.00,"£10,000.00","£1,249.01",£250.00,£250.00,7.10%,5.50%,15.00%,0.00%,33,2005
Partial,..,"-£10,000.00","£7,762.66","£4,562.00","£5,438.00","£2,324.66",£0.00,£0.00,-9.40%,-3.00%,-22.40%,45.60%,89,2005
..,..,"-£10,000.00","£10,300.00",£0.00,"£10,000.00",£300.00,£0.00,£0.00,5.80%,6.00%,3.00%,0.00%,6,2005
..,..,"-£10,000.00","£10,392.98",£0.00,"£10,000.00",£292.98,£100.00,£100.00,5.20%,4.70%,3.90%,0.00%,10,2008
..,..,"-£10,000.00","£11,399.98",£0.00,"£9,999.98","£1,300.00",£100.00,£0.00,9.50%,4.70%,14.00%,0.00%,36,2009
..,..,"-£10,000.00","£7,966.56",£0.00,"£6,666.60","£1,299.96",£0.00,"£2,655.52",-84.90%,-34.90%,-20.30%,0.00%,7,2010
..,..,"-£10,000.00","£11,425.00",£0.00,"£10,000.00","£1,300.00",£125.00,£0.00,13.70%,7.10%,14.30%,0.00%,24,2011
..,..,"-£10,000.00","£11,400.00",£0.00,"£10,000.00","£1,300.00",£100.00,£0.00,14.30%,7.00%,14.00%,0.00%,24,2011
..,..,"-£10,000.00","£11,300.00",£0.00,"£10,000.00","£1,300.00",£0.00,£0.00,12.40%,6.50%,13.00%,0.00%,24,2011
..,..,"-£10,000.00","£11,950.00",£0.00,"£10,000.00","£1,950.00",£0.00,£0.00,6.30%,6.30%,19.50%,0.00%,37,2011
..,..,"-£10,000.00","£11,300.00",£0.00,"£10,000.00","£1,300.00",£0.00,£0.00,12.40%,6.50%,13.00%,0.00%,24,2011
Full,IRR out of range,"-£10,000.00",£0.00,"£10,000.00",£0.00,£0.00,£0.00,£0.00,Void,-240.00%,-100.00%,100.00%,5,2012
..,..,"-£10,000.00","£10,650.00",£0.00,"£10,000.00",£650.00,£0.00,£0.00,12.80%,6.50%,6.50%,0.00%,12,2013
..,..,"-£10,000.00","£10,650.00",£0.00,"£10,000.00",£650.00,£0.00,£0.00,12.80%,6.50%,6.50%,0.00%,12,2013
Full,IRR out of range,"-£9,600.00",£0.00,"£9,600.00",£0.00,£0.00,£0.00,£0.00,Void,-150.00%,-100.00%,100.00%,8,2011
Partial,..,"-£9,000.00","£1,466.25","£7,875.00","£1,173.75",£292.50,£0.00,£0.00,0.00%,-59.10%,-83.70%,87.50%,17,2011
Partial,..,"-£8,821.20",£585.64,"£8,576.17",£490.07,£95.57,£0.00,£0.00,0.00%,-101.80%,-93.40%,97.20%,11,2013
..,..,"-£8,180.00","£8,506.03",£0.00,"£8,180.00",£226.03,£100.00,£100.00,7.00%,1.60%,4.00%,0.00%,29,2007
Partial,..,"-£8,000.00","£8,320.75",£35.00,"£7,965.00",£355.75,£0.00,£0.00,0.60%,0.60%,4.00%,0.40%,78,2006
Partial,..,"-£8,000.00","£8,254.93","£1,088.44","£6,868.23","£1,386.70",£0.00,£0.00,2.40%,1.20%,3.20%,13.60%,33,2011
..,..,"-£8,000.00","£8,780.00",£0.00,"£8,000.00",£780.00,£0.00,£0.00,12.80%,6.50%,9.70%,0.00%,18,2011
..,..,"-£8,000.00","£9,040.00",£0.00,"£8,000.00","£1,040.00",£0.00,£0.00,12.30%,6.00%,13.00%,0.00%,26,2011
..,..,"-£8,000.00","£9,300.00",£0.00,"£8,000.00","£1,300.00",£0.00,£0.00,12.40%,6.50%,16.30%,0.00%,30,2011
..,..,"-£7,500.00","£7,500.00",£0.00,"£7,499.99",£0.01,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,7,2012
Partial,..,"-£7,500.00","£1,244.74","£6,458.38","£1,041.62",£203.12,£0.00,£0.00,0.00%,-125.10%,-83.40%,86.10%,8,2012
Partial,..,"-£7,500.00",£474.89,"£7,187.50",£312.50,£162.39,£0.00,£0.00,0.00%,-59.20%,-93.70%,95.80%,19,2012
..,..,"-£7,500.00","£7,987.56",£0.00,"£7,500.00",£487.56,£0.00,£0.00,11.50%,6.00%,6.50%,0.00%,13,2012
..,..,"-£7,500.00","£8,109.45",£0.00,"£7,500.00",£609.45,£0.00,£0.00,9.50%,5.70%,8.10%,0.00%,17,2012
..,..,"-£7,500.00","£7,987.56",£0.00,"£7,500.00",£487.56,£0.00,£0.00,11.40%,6.00%,6.50%,0.00%,13,2012
Partial,..,"-£7,500.00","£1,753.65","£6,153.83","£1,347.33",£406.32,£0.00,£0.00,0.00%,-54.10%,-76.60%,82.10%,17,2012
..,..,"-£7,500.00","£8,400.00",£0.00,"£7,500.00",£900.00,£0.00,£0.00,12.10%,11.10%,12.00%,0.00%,13,2013
Partial,..,"-£7,000.00","£2,535.00","£4,465.00","£2,535.00",£0.00,£0.00,£0.00,0.00%,-12.50%,-63.80%,63.80%,61,2009
..,..,"-£6,400.00","£7,232.00",£0.00,"£6,400.00",£832.00,£0.00,£0.00,12.00%,6.20%,13.00%,0.00%,25,2011
..,IRR out of range,"-£6,000.00",£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,Void,-50.00%,-100.00%,0.00%,24,2011
..,..,"-£5,765.00","£5,952.36",£0.00,"£5,764.98",£187.38,£0.00,£0.00,11.40%,6.50%,3.20%,0.00%,6,2012
..,..,"-£5,000.00",£941.64,£0.00,£833.32,£108.32,£0.00,£0.00,-59.20%,-40.60%,-81.20%,0.00%,24,2009
Full,IRR out of range,"-£5,000.00",£0.00,"£5,000.00",£0.00,£0.00,£0.00,£0.00,Void,-150.00%,-100.00%,100.00%,8,2011
..,..,"-£5,000.00","£5,406.27",£0.00,"£5,000.00",£406.27,£0.00,£0.00,12.90%,6.10%,8.10%,0.00%,16,2012
..,..,"-£5,000.00","£5,325.00",£0.00,"£5,000.00",£325.00,£0.00,£0.00,12.70%,6.50%,6.50%,0.00%,12,2012
..,..,"-£5,000.00","£5,325.00",£0.00,"£5,000.00",£325.00,£0.00,£0.00,12.00%,6.50%,6.50%,0.00%,12,2013
..,..,"-£5,000.00","£5,387.53",£0.00,"£5,000.00",£387.53,£0.00,£0.00,11.20%,7.20%,7.80%,0.00%,13,2013
..,..,"-£5,000.00","£5,325.00",£0.00,"£5,000.00",£325.00,£0.00,£0.00,12.30%,6.50%,6.50%,0.00%,12,2013
..,..,"-£5,000.00","£5,162.55",£0.00,"£5,000.00",£162.55,£0.00,£0.00,6.70%,3.00%,3.30%,0.00%,13,2013
..,..,"-£5,000.00","£5,108.36",£0.00,"£5,000.00",£108.36,£0.00,£0.00,6.60%,6.50%,2.20%,0.00%,4,2013
..,..,"-£5,000.00","£5,162.56",£0.00,"£5,000.00",£162.56,£0.00,£0.00,7.60%,3.00%,3.30%,0.00%,13,2013
..,..,"-£4,000.00","£4,520.00",£0.00,"£4,000.00",£520.00,£0.00,£0.00,12.70%,6.50%,13.00%,0.00%,24,2011
Full,IRR out of range,"-£3,600.00",£40.00,"£3,600.00",£0.00,£40.00,£0.00,£0.00,Void,-53.90%,-98.90%,100.00%,22,2012
..,..,"-£3,000.00","£3,195.00",£0.00,"£3,000.00",£195.00,£0.00,£0.00,12.50%,6.50%,6.50%,0.00%,12,2011
..,..,"-£3,000.00","£3,081.25",£0.00,"£3,000.00",£81.25,£0.00,£0.00,6.80%,3.00%,2.70%,0.00%,11,2012
..,..,"-£2,400.00","£2,586.00",£0.00,"£2,400.00",£156.00,£30.00,£0.00,28.30%,7.80%,7.80%,0.00%,12,2010
..,..,"-£2,400.00","£2,556.00",£0.00,"£2,400.00",£156.00,£0.00,£0.00,11.50%,6.00%,6.50%,0.00%,13,2011
,,,,,,,,,,,,,,
,Mean,"-£98,807.22","£89,689.88","£19,367.87","£79,056.06","£10,245.85",£387.96,£368.75,1%,-10%,-15%,23%,29,
,STDev,"£215,927.39","£240,559.31","£67,725.33","£206,684.71","£36,304.40",£948.55,£992.89,20%,34%,42%,39%,19,
,Mode,"-£50,000.00",£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,0%,0%,-100%,0%,13,
,Median,"-£50,000.00","£32,551.15",£0.00,"£30,000.00","£2,179.10",£0.00,£0.00,6%,3%,5%,0%,25,
,,,,,,,,,,,,,,
,Total,"-£42,091,873.94","£38,207,887.35","£8,250,712.53","£33,677,881.25","£4,364,733.40","£165,272.70","£157,087.09",,,,,,
,,,,,,,,,,,,,,
,Count:,426,,,,,,,,,,,,
