Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,38.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,35.18,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,70.45,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,58.40,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,190.98,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,43.72,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,69.21,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,15.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,58.82,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176039,15.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/09/2010,M/W POWER AND UTILITIES,ENVIRONMENT,NATIONAL COAL MINING MUSE,0000176045,3141.94,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W POWER AND UTILITIES,ENVIRONMENT,NATIONAL COAL MINING MUSE,0000176046,2904.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,NORTHUMBRIAN WATER LIMITE,0000176064,3965.84,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000176094,62.36,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,SOUTHERN ELECTRIC,0000176095,378.59,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,NATIONAL COAL MINING MUSE,0000176125,7133.08,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,SOUTHERN ELECTRIC,0000176126,4084.03,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,NPOWER,0000176129,238.05,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000176130,54.72,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000176178,59.42,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175544,7667.53,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000175661,3503.90,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000175662,4162.70,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000175663,253.61,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000175664,1806.11,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000175665,4371.97,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000175666,2073.51,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000175667,1995.30,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000175668,568.68,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176053,986.86,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176053,662.85,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176053,373.59,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176053,394.74,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176053,626.55,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176053,826.52,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176053,440.56,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176053,712.64,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176053,888.18,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176054,972.76,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176054,1318.16,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176054,239.66,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176054,331.30,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176054,584.32,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176054,553.34,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176054,331.30,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176054,179.75,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176054,588.43,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176055,1281.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176056,728.72,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176057,610.29,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176058,2770.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W REMEDIATION - OPERATION,ENVIRONMENT,TILHILL  FORESTRY LIMITED,0000176059,865.38,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2010,M/W SITE SURVEY WORK,ENVIRONMENT,ONSITE CENTRAL LIMITED,0000176048,880.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/10/2010,M/W SITE SURVEY WORK,ENVIRONMENT,BTO SERVICES LIMITED,0000176161,330.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,MEMBERSHIP SUBSCRIPTIONS,ENVIRONMENT,COMPANY BARCLAYCARD,0000176207,39.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,MONITORING & FLOW MEASUREMENT,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,580.62,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,MONITORING & FLOW MEASUREMENT,ENVIRONMENT,COMPANY BARCLAYCARD,0000176208,90.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,MONITORING & FLOW MEASUREMENT,ENVIRONMENT,COMPANY BARCLAYCARD,0000176209,217.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,PROPERTY /TIP MAINTENANCE,ENVIRONMENT,WERNICK HIRE LIMITED,0000175541,85.71,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,PUMP OVERHAULS,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,2857.87,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,PUMP OVERHAULS,ENVIRONMENT,WEIR PUMPS LIMITED,0000175660,3672.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,RENTS PAYABLE,ENVIRONMENT,ANNUAL LICENCE WARREN HOUSE,0000175652,200.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,RENTS PAYABLE,ENVIRONMENT,ANNUAL LICENCE FEE NEWTON,0000175653,400.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,RENTS PAYABLE,ENVIRONMENT,ANNUAL LICENCE DUNVANT B/H,0000175654,200.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,RENTS PAYABLE,ENVIRONMENT,RENT FOR LICENCE OAKWOOD,0000175655,100.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,RENTS PAYABLE,ENVIRONMENT,RENT ANNUAL LICENCE STANLEY,0000175656,100.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,RENTS PAYABLE,ENVIRONMENT,BALGONIE ESTATES LTD,0000176086,150.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,WATER SAMPLING - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,317.56,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2010,WATER SAMPLING - OPERATIONAL,ENVIRONMENT,ENVIRONMENTAL SCIENTIFICS,0000176184,6352.37,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/09/2010,WATER SAMPLING-LIABILITY SITES,ENVIRONMENT,ENVIRONMENTAL SCIENTIFICS,0000175578,69.30,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/09/2010,WATER SAMPLING-LIABILITY SITES,ENVIRONMENT,ENVIRONMENTAL SCIENTIFICS,0000175579,69.30,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2010,CALL CHARGES,FACILITIES MANAGEMENT,BRITISH TELECOMMUNICATION,0000176122,1175.45,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,CLEANING MATERIALS,FACILITIES MANAGEMENT,COMPANY BARCLAYCARD,0000176238,51.79,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,ELECTRICITY,FACILITIES MANAGEMENT,EDF ENERGY 1 LIMITED,0000175702,9170.19,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2010,LINE RENTAL,FACILITIES MANAGEMENT,BRITISH TELECOMMUNICATION,0000176122,5214.18,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,MAINTENANCE OF OFFICE MACHINES,FACILITIES MANAGEMENT,NEOPOST LTD,0000176131,821.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,MEETINGS,FACILITIES MANAGEMENT,SEVEN DAY CATERING LIMITE,0000176078,156.65,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,MEETINGS,FACILITIES MANAGEMENT,SEVEN DAY CATERING LIMITE,0000176079,1210.07,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,MEETINGS,FACILITIES MANAGEMENT,SEVEN DAY CATERING LIMITE,0000176081,390.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,PLANT MAINTENANCE,FACILITIES MANAGEMENT,MANSFIELD REFRIGERATION &,0000175554,41.04,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2010,PLANT MAINTENANCE,FACILITIES MANAGEMENT,MANSFIELD REFRIGERATION &,0000176082,96.14,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,SITE MAINTENANCE,FACILITIES MANAGEMENT,ULYETT LANDSCAPES LIMITED,0000175555,765.14,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,SITE MAINTENANCE,FACILITIES MANAGEMENT,PHS DATASHRED,0000175556,104.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,SITE MAINTENANCE,FACILITIES MANAGEMENT,PHS DATASHRED,0000175557,1059.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,SITE MAINTENANCE,FACILITIES MANAGEMENT,CATTERMOLE TECH SERVICES,0000176074,128.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,SITE MAINTENANCE,FACILITIES MANAGEMENT,CATTERMOLE TECH SERVICES,0000176075,191.75,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,SITE MAINTENANCE,FACILITIES MANAGEMENT,CONNECT WATER SYSTEMS,0000176077,168.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,SITE MAINTENANCE,FACILITIES MANAGEMENT,COMPANY BARCLAYCARD,0000176198,91.81,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,SITE SECURITY,FACILITIES MANAGEMENT,KINGS ARMOURED SEC SERVS,0000175534,157.07,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,SITE SERVICES,FACILITIES MANAGEMENT,MANSFIELD DISTRICT COUNCI,0000175533,1277.38,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,SITE SERVICES,FACILITIES MANAGEMENT,FPC FACILITY SERVICES LTD,0000176080,107.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,SITE SERVICES,FACILITIES MANAGEMENT,PHS GROUP,0000176132,398.25,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,SITE SERVICES,FACILITIES MANAGEMENT,PHS GROUP,0000176166,326.46,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/10/2010,SITE SERVICES,FACILITIES MANAGEMENT,FOOD SERVICE SOLUTIONS UK,0000176181,80.26,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,STATIONERY,FACILITIES MANAGEMENT,COMPANY BARCLAYCARD,0000176238,1432.26,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2010,TELEPHONE - OTHER,FACILITIES MANAGEMENT,BRITISH TELECOMMUNICATION,0000176122,106.37,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,WATER CHARGES,FACILITIES MANAGEMENT,SEVERN TRENT WATER,0000176071,3042.98,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/09/2010,AUDIT FEES - EXTERNAL,FINANCE,NATIONAL AUDIT OFFICE,0000175032,51750.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,AUDIT FEES - EXTERNAL,FINANCE,NATIONAL AUDIT OFFICE,0000175607,-51750.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,AUDIT FEES - EXTERNAL,FINANCE,NATIONAL AUDIT OFFICE,0000175608,48700.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,CONSULTANCY,FINANCE,DELOITTE LLP NO 2 ACC,0000175600,4698.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,FINANCE,CAPGEMINI UK PLC,0000175868,1150.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/10/2010,OTHER BANK CHARGES,FINANCE,NATIONAL WESTMINSTER BANK,0000176092,110.31,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/10/2010,OTHER BANK CHARGES,FINANCE,CITIBANK,0000176160,102.46,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,SALARY PROCESSING FEES,FINANCE,LOGICACMG UK LIMITED,0000175602,1009.78,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,CAR HIRE,HISTORIC LIABILITIES,ENTERPRISE RENT A CAR,0000175710,5.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,CONSULTANTS TECHNICAL,HISTORIC LIABILITIES,WYG ENV PLANNING TRANSPOR,0000176087,301.75,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,LEGAL COSTS,HISTORIC LIABILITIES,LAND REGISTRY,0000175553,8.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,LEGAL COSTS,HISTORIC LIABILITIES,LAND REGISTRY,0000175775,20.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,LEGAL COSTS,HISTORIC LIABILITIES,LAND REGISTRY,0000175776,12.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/10/2010,LEGAL COSTS,HISTORIC LIABILITIES,LAND REGISTRY,0000175777,32.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,LEGAL COSTS,HISTORIC LIABILITIES,DLA PIPER UK LLP,0000175858,4873.74,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/10/2010,LEGAL COSTS,HISTORIC LIABILITIES,LAND REGISTRY,0000176121,20.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/10/2010,LEGAL COSTS,HISTORIC LIABILITIES,LAND REGISTRY,0000176241,16.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2010,OUTSOURCED MANAGEMENT-ESTATES,HISTORIC LIABILITIES,ATKINS LIMITED,0000176091,1114.70,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,RATES PAYABLE,HISTORIC LIABILITIES,BRITISH GAS BUSINESS,0000175811,231.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,CAR HIRE,INDEMNITIES,ENTERPRISE RENT A CAR,0000175710,2.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,COMMISSION CHARGES-E-COMMERCE,INDEMNITIES,STREAMLINE,0000175628,81.63,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,CAR HIRE,LICENSING,ENTERPRISE RENT A CAR,0000175710,6.25,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONSULTANCY,LICENSING,WARDELL ARMSTRONG LLP,0000176084,1427.65,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,IT SERVICES - OPERATIONS,LICENSING,CAPGEMINI UK PLC,0000175868,1150.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,CGEY SERVICE LEVEL AGREEMENT,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000175868,4000.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,CHESHIRE BRINE SEARCH SERVICES,MINING INFORMATION COMMERCIAL,CHESHIRE BRINE SUBSIDENCE,0000175880,33435.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION COMMERCIAL,STREAMLINE,0000175628,784.64,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION COMMERCIAL,WORLDPAY LIMITED,0000175684,409.19,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,SCISYS UK LTD,0000175620,494449.84,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,SCISYS UK LTD,0000175621,160000.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,SCISYS UK LTD,0000175627,152000.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000175869,1133.33,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000175870,7106.67,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2010,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,SCISYS UK LTD,0000175871,-50000.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,E-COMMERCE DEVELOPMENTS,MINING INFORMATION COMMERCIAL,CAPGEMINI UK PLC,0000175868,10225.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,GROUNDSURE ROYALTY,MINING INFORMATION COMMERCIAL,GROUNDSURE LIMITED,0000175878,50262.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,GROUNDSURE ROYALTY,MINING INFORMATION COMMERCIAL,GROUNDSURE LIMITED,0000175879,-101.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2010,INSURANCE PREMIUMS,MINING INFORMATION COMMERCIAL,LEGAL & CONTINGENCY LIMIT,0000175671,86504.48,,
