Full Property Address,Current Rateable Value,Primary Liable party name,Account Mailing Address,Current Prop Exemption Start Date,Current Property Exemption Code,Property Reference Number
"Pc World, Walney Road, Barrow In Furness, Cumbria, LA14 1YE",189000,Dsg Retail Ltd,"C/O G L Hearn Management Ltd, Po Box 1610, Southampton,  SO15 3WX",14/10/2016,VOID,104274209191N
"Plots 7 R/O, Gatacre Street, Barrow In Furness, Cumbria, LA14 3PY",410,Barrow Borough Council,"Streetcare, C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",23/05/2007,RT,101126300071N
"Pt 1st Flr, 76, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",1175,Furness Property Letting & Management,"76 Duke Street, Barrow In Furness, Cumbria,  LA14 1RX",04/07/2012,RT,105119500762N
"Pt Gnd Flr, 98, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",1775,Systemcam Ltd,"Head Cragg, Kirkby In Furness, Cumbria,  LA17 7TB",01/09/2015,RT,105112500989N
"Stall 109, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",1700,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",25/09/2015,RT,105119511090N
"Stall 112,, Market Hall, Duke Street, Barrow In Furness, Cumbria, ",1550,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",01/08/2015,RT,105119511126N
"Stall 18, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",1700,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",19/04/2015,RT,105119510182N
"Stall 98, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",1875,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",01/04/2016,RT,105119510980N
"Steve Martin & Assoc, Pt 2nd Flr, 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",1775,"Brown & Murray Solicitors,","Brown & Murray, Solicitors, 127 Ramsden Square, Barrow-In-Furness, Cumbria,  LA14 1XA",14/11/2009,RT,105119501284N
"Store 1st Flr, 98, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",440,Systemcam Ltd,"Head Cragg, Kirkby In Furness, Cumbria,  LA17 7TB",24/09/2009,RT,105112500996N
"Store 43, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",230,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",01/07/2012,RT,105119510431N
"Store 44, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",230,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",01/04/2013,RT,105119510441N
"Store 45, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",730,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",01/04/2000,RT,105119510451N
"Studio 14 The Canteen Media & Arts Cntr, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AD",540,Horrocks & Cross Ltd,"Horrocks & Cross, Salthouse Road, Barrow-In-Furness, Cumbria,  LA14 2AL",01/09/2013,RT,103342709236N
"Studio 2, The Canteen Media And Arts Centre, Michaelson Road, Barrow In Furness, LA14 1AD",2100,Horrocks & Cross Ltd,"Horrocks & Cross, Salthouse Road, Barrow-In-Furness, Cumbria,  LA14 2AL",01/09/2013,RT,103342709228N
"Suite 1 Victoria Hall, Rawlinson Street, Barrow In Furness, Cumbria, ",640,Musson Projects Llp,"Brookfield House, 29 Church Road, Lymm, Cheshire,  WA13 0QG",25/10/2016,LB,104457709070N
"The Kitchen, The Canteen Media & Arts Cntr, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AD",1050,Horrocks & Cross Ltd,"Horrocks & Cross, Salthouse Road, Barrow-In-Furness, Cumbria,  LA14 2AL",01/09/2013,RT,103342709234N
"Three Rooms 1st Flr Natwest Bank Chambers, 67, Market Street, Dalton In Furness, Cumbria, LA15 8AE",2100,Sackville Spf Iv (Gp) No.3 Limited,"Sackville Spf Iv (Gp) No.3 Limited, C/O Gbr Phoenix Beard, The Exchange , 19 Newhall Street, Birmingham,  B3 3PJ",14/10/2013,LB,112287600675N
"Tyre Services Great Britain Ltd, Roose Road, Barrow In Furness, Cumbria, LA13 9RQ",22000,Haddon Solutions Limited (In Voluntary Liquidation),"Begbies Traynor, 340 Deansgate, Manchester,  M3 4LY",26/05/2016,IN,111559009361N
"Unit 49, Salthouse Mills, Salthouse Road, Barrow In Furness, Cumbria, LA13 ODH",260,Tudorwin Ltd,"3 Hollins House, 331 Hale Road, Hale Barns, Altrincham, Cheshire,  WA15 8TS",08/11/2007,RT,111561609601N
"Youngs Furnishers, Small Store In T B Group Yard, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1175,Tb Group Ltd,"The Arch, Walney Road, Barrow In Furness, Cumbria,  LA14 5UT",17/07/2012,RT,104274209181N
