Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163652,29.02 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163653,8.20 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163654,6.31 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163655,38.69 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163656,39.69 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163657,19.35 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163658,4.38 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163659,11.63 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163660,361.22 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163661,435.87 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163662,19.35 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163663,25.80 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163664,29.02 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163665,29.02 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163666,269.25 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163666,534.00 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163667,902.94 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163668,44.50 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163669,248.68 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163670,9.99 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163671,13.35 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163673,11.14 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163674,10.68 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163675,15.22 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163676,7.50 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163677,26.93 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163678,1.55 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163679,23.35 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163680,22.57 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163681,209.76 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163682,1.50 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163683,1.36 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163684,7.87 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163685,1.36 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163686,537.39 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163687,222.24 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Event Management - Inward Investment Publicity,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163688,715.87 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163689,4.41 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163690,22.22 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163691,6.80 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163692,19.91 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163693,5.72 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163694,1.28 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163695,32.89 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163696,394.89 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163697,5.54 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163698,12.09 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163699,34.83 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163700,31.37 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163701,20024.83 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163702,431.12 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163703,902.96 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163704,252.35 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Event Management - Inward Investment Publicity,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163705,706.18 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163706,640.26 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163707,902.94 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163708,7.63 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163709,492.87 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163710,12.90 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163711,564.69 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163712,-62.79 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163713,-2.10 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Speakers fees - Outward missions,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163748,5.03 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Speakers fees - Outward missions,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163748,50.00 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Speakers fees - Outward missions,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163748,51.59 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163749,28.07 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163750,218.55 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163751,14.21 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163751,15.11 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163752,6.34 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163753,207.08 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163754,16.38 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163755,23.49 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163756,11.20 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163757,6.01 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163851,15.77 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163852,677.20 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163853,79.16 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163854,126.50 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163856,29.40 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163857,6.42 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Outsourced Technical Support - Sector Events - UK,Trade Development - UK Trade and Investments,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,164233,1498.82 ,,SL1 1DB,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Advertising - Trade Marketing Publication,Marketing & Communications - UK Trade and Investments,FINANCIAL TIMES LTD,164256,33120.25 ,,SE1 9HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,SILSON LTD,164257,1000.00 ,,NN7 3DW,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
