?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G992,2 KUBOTAS GM EQUIP 13/14,15/11/2013,237968,1407.7,CHRYSTAL CONSULTING LTD,100088
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,15/11/2013,237967,1395,BAG IT DON'T BIN IT LTD,102146
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,PRINTING,29/11/2013,238829,1388.19,PRINT IMAGE NETWORK LTD,100431
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,01/11/2013,237199,1376.5,J WILKINS LIMITED,100236
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,MATERIALS,22/11/2013,238287,1375.7,NOTTINGHAM CITY COUNCIL,100390
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,29/11/2013,238680,1373.52,TINKLER SOLICITORS,102179
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,22/11/2013,238403,1315.52,HOME AND GARDEN REPAIRS,101970
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,METERED WATER CHARGE,22/11/2013,238233,1313.32,SEVERN TRENT WATER LIMITED,100487
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,22/11/2013,238364,1263.8,ELECTRICAL SAFETY SYSTEMS LTD,100147
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,MATERIALS,15/11/2013,237941,1256.05,KILLGERM CHEMICALS LTD,100257
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LICENCES,22/11/2013,238235,1255.45,PERFORMING RIGHT SOCIETY LTD,100423
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,15/11/2013,237820,1194.73,MICK PERRIN WORLDWIDE LTD,102119
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE &  ENVIRONMENT,G991,STORES RECEIPTS,22/11/2013,238378,1178.82,EMO OIL LTD,100728
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,15/11/2013,237792,1163.25,LAXTON & MOORHOUSE PARISH COUNCIL,100272
