Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Advertising,M4C,10165374,509.26,TV Airtime,WC1X 8RX,SME,116297
Cabinet Office,Central Office of Information,15/11/2011,Media Fees,Advertising,M4C,10165374,13.31,TV Buying Fee,WC1X 8RX,SME,116297
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Research,IFF Research,10165499,30137.50,Research Company Costs,N1 6DD,SME,929271
Cabinet Office,Central Office of Information,15/11/2011,Print and Paper,Publications Production and Account Management,Haymarket Network,10165544,62617.00,Design/Design and Artwork,TW11 9BE,SME,117524
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Research,Define Research & Insight Ltd,10165616,25515.00,Research Company Costs,N3 2DB,SME,117315
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,22906.28,Editorial,DL1 9HB,Large,117355
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,11868.80,Editorial,DL1 9HB,Large,115412
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,11609.65,Editorial,DL1 9HB,Large,117345
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,9537.96,Editorial,DL1 9HB,Large,117348
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,9465.73,Editorial,DL1 9HB,Large,115884
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,8963.92,Editorial,DL1 9HB,Large,114353
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,6849.77,Editorial,DL1 9HB,Large,110950
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,5657.92,Editorial,DL1 9HB,Large,114350
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,5457.27,Editorial,DL1 9HB,Large,115182
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,5411.43,Editorial,DL1 9HB,Large,114342
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,5371.06,Editorial,DL1 9HB,Large,114344
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,5178.72,Editorial,DL1 9HB,Large,113486
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,4834.15,Editorial,DL1 9HB,Large,115411
Cabinet Office,Central Office of Information,15/11/2011,Technical Guidance,DH Estates,Inventures - Capita Symonds,10165626,3729.56,Editorial,DL1 9HB,Large,114343
