post_date,Category,Spend,,
29/04/13,Travel/Airlines,3698.05,,
29/04/13,Travel/Airlines,3698.05,,
29/04/13,Travel/Airlines,545.10,,
29/04/13,Travel/Airlines,-1706.25,,
29/04/13,Travel/Airlines,4115.25,,
29/04/13,Travel/Airlines,5925.45,,
29/04/13,Travel/Airlines,1620.00,,
29/04/13,Travel/Airlines,1170.00,,
29/04/13,Travel/Airlines,-4220.95,,
29/04/13,Travel/Airlines,-4866.05,,
30/04/13,Electrical Parts/Equipment,1249.66,,
30/04/13,Electrical Parts/Equipment,855.00,,
30/04/13,Equip/Furn Rent/Lease Serv,672.00,,
30/04/13,Hotels,1304.04,,
30/04/13,Hotels,725.47,,
30/04/13,Hotels,699.99,,
30/04/13,Hotels,577.26,,
30/04/13,Hotels,569.94,,
30/04/13,Hotels,660.43,,
30/04/13,Hotels,2502.73,,
30/04/13,Training,576.00,,
30/04/13,Travel/Airlines,5855.00,,
30/04/13,Travel/Airlines,1358.50,,
30/04/13,Travel/Airlines,573.33,,
30/04/13,Travel/Airlines,3180.56,,
30/04/13,Travel/Airlines,3180.56,,
30/04/13,Travel/Airlines,4107.28,,
30/04/13,Travel/Airlines,3138.27,,
30/04/13,Travel/Airlines,2842.51,,
30/04/13,Travel/Airlines,2842.51,,
30/04/13,Travel/Airlines,2252.70,,
