Body Name,Service Code,Expenditure Category,Payment Date,Transaction No,Supplier,Net Amount
Barrow Borough Council,Major works maintenance - HRA,Shop repairs,26-Mar-2014,200019673,Alpha Electrics & Building Serv Ltd,"7,319.05"
Barrow Borough Council,Phoenix Business Centre,Professional fees,12-Mar-2014,200019472,FC Business Services Ltd,"2,054.36"
Barrow Borough Council,Current assets - stocks,Postage stock,19-Mar-2014,200019559,TNT Post North Ltd,845.12
Barrow Borough Council,Crime reduction,Victim support,26-Mar-2014,200019614,Victim Support,"4,500.00"
Barrow Borough Council,Town Hall,Professional fees,12-Mar-2014,200019447,Chris Bugler,"1,687.00"
Barrow Borough Council,Development control,Professional fees,19-Mar-2014,200019557,UDREP,910.00
Barrow Borough Council,Disabled Facilities Grant,Grants,05-Mar-2014,200019330,Ward Contracting Ltd,"3,280.55"
Barrow Borough Council,Disabled Facilities Grant,Grants,05-Mar-2014,200019369,AB Mitchell Developments,"3,024.00"
Barrow Borough Council,Dance nights - Recurring,Professional fees,12-Mar-2014,200019439,Jason Parkinson,794.40
Barrow Borough Council,Parks and open spaces,Metered water,19-Mar-2014,200019485,United Utilities Water Plc,542.53
Barrow Borough Council,Apprenticed actors,Professional fees,19-Mar-2014,200019480,Linney PA Systems,956.75
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,05-Mar-2014,200019335,Keith Wilson Elec Con Ltd,"4,080.02"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,19-Mar-2014,200019493,Howdens Joinery Ltd,753.68
Barrow Borough Council,Information technology,Computer hardware maintenance,26-Mar-2014,200019611,CAE Technology Services,"4,815.00"
Barrow Borough Council,The park leisure centre,Equipment purchase,26-Mar-2014,200019633,JP Lennard Ltd,"1,763.87"
Barrow Borough Council,Salsa Celtica - 08/03/14,Professional fees,12-Mar-2014,200019437,Salsa Celtica Ltd,"1,078.02"
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,26-Mar-2014,200019625,AB Mitchell Developments,"4,893.94"
Barrow Borough Council,102 Abbey Road,Building and construction works,26-Mar-2014,200019705,Briscoe Construction,564.50
Barrow Borough Council,Street fittings,Building cleaning,19-Mar-2014,200019498,Bulloughs Cleaning Serv Ltd,"1,215.60"
Barrow Borough Council,IR personal account,Tax deducted - CIS tax,12-Mar-2014,200019389,Bill Caulfield Electrical,"-1,623.80"
Barrow Borough Council,CCTV Equipment,Purchase of equipment,26-Mar-2014,200019647,The Police & Crime Comm for Cumbria,"11,111.00"
Barrow Borough Council,Food safety,Professional fees,12-Mar-2014,200019434,P&P Jackson,"1,286.00"
