Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Motor Vehicle Hire-Mid-Sized Business Events,Trade Group - Service Delivery,M C CHAUFFEURS,77964, 225.00 ,,LS14 3EJ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Bank Charges - Commercial Banks-Overseas Market Introduction Service,Trade Group - Service Delivery,WORLDPAY LTD,77969,222.30,,CB4 0WE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Bank Charges - Commercial Banks-Overseas Market Introduction Service,Trade Group - Service Delivery,WORLDPAY LTD,77970,304.64,,CB4 0WE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Rail Travel Overseas-Trade Marketing Events,Defence and Security Organisation - Business Development,"Personal Expense, Name Witheld",77972,26.36,,,EMPLOYEE,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Subsistence Overseas-Trade Marketing Events,Defence and Security Organisation - Business Development,"Personal Expense, Name Witheld",77972,309.54,,,EMPLOYEE,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Taxi Services Overseas-Trade Marketing Events,Defence and Security Organisation - Business Development,"Personal Expense, Name Witheld",77972,345.39,,,EMPLOYEE,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Subsistence Overseas-Trade Marketing Events,Defence and Security Organisation - Business Development,"Personal Expense, Name Witheld",77972,587.46,,,EMPLOYEE,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Research and Development Expenditure-Trade Development Support,Trade Group - Energy & Transport,EC HARRIS LLP,77983,17500.00,,N1 9AB,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Other Media Costs-Investment - Enablers (Autumn Statement),Investment Development - Strategic Investment & Accounts,BELLMAN MEDIA LTD,77984,6000.00,,RH17 7RE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Project Management Costs-Sector Events - Abroad,Trade Group - Operations Directorate,AECOM PROFESSIONAL SERVICES LLP,78004,17968.00,,WC1V 6QS,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Stationery-UKTI Programme Admin,Chief Operating Officer - IT and Finance,BANNER BUSINESS SERVICES LTD,78005,15.83,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,ADECCO UK LTD,78006,1032.37,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Project Management Costs-Sector Events - Abroad,Trade Group - Operations Directorate,AECOM PROFESSIONAL SERVICES LLP,78007,17968.00,,WC1V 6QS,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Hire of Conference Facilities-Other Programme Costs,"Trade Group - Managing Director, Trade Group",CALDER CONFERENCES LTD,78008,5007.31,,LS16 6RF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Stationery-INUK Corporate Identity,Investment Development - Strategic Relationship Management,BANNER BUSINESS SERVICES LTD,78009,17.84,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Marketing - Promotional Materials-Healthcare UK,Trade Group - Healthcare UK,CLEARVIEW EVENTS LTD,78010,545.00,,E3 3JQ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Telecoms-Other Programme Costs,Trade Group - Service Delivery,BRITISH TELECOMMUNICATIONS plc (BT),78018,57.57,,DH98 1BT,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Telecoms-Other Programme Costs,Trade Group - Service Delivery,VODAFONE LTD,78021,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Other ICT Costs-Other Programme Costs,Marketing & Communications - Communications,VODAFONE LTD,78022,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Operations Directorate,ERNST & YOUNG LLP,78023,9530.00,,SE1 7EU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Mobile Phones-Trade Development Support,Trade Group - Partnerships & Business,VODAFONE LTD,78024,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Mobile Line Rental-UKTI Programme Admin,Chief Operating Officer - IT and Finance,VODAFONE LTD,78025,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Printing-Trade Development Support,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",HAYS SPECIALIST RECRUITMENT LTD,78026,499.94,,KT3 4QF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Mobile Call Charges-INUK Corporate Identity,Investment Development - Strategic Relationship Management,VODAFONE LTD,78027,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Mobile Line Rental-UKTI Programme Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",VODAFONE LTD,78028,4.80,,MK3 5JP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Mobile Phones-Trade Development Support,Trade Group - Partnerships & Business,VODAFONE LTD,78029,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Corporate Event Management and Marketing-Investment - Enablers (Autumn Statement),Investment Development - Strategic Investment & Accounts,TERRAPINN HOLDINGS LTD,78035,1128.00,,EC1M 6EH,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Air Travel UK-Support to Campaigns,Defence and Security Organisation - Regional Directorates,BAE SYSTEMS (CORPORATE AIR TRAVEL) LTD,78036,370.00,,NP15 1XL,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Hospitality - UK-UKTI Programme Admin,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation","Personal Expense, Name Witheld",78055,9.09,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Taxi Services-UKTI Programme Admin,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation","Personal Expense, Name Witheld",78055,16.00,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Air Travel UK-UKTI Programme Admin,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation","Personal Expense, Name Witheld",78055,25.85,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Subsistence Overseas-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",78056,140.79,,,EMPLOYEE,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Mobile Line Rental-UKTI Programme Admin,Chief Operating Officer - IT and Finance,VODAFONE LTD,78066,4.80,,RG14 1LA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Mobile Call Charges-Sector Support,Trade Group - Energy & Transport,VODAFONE LTD,78070,4.80,,RG14 1LA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Mobile Phones-Other Programme Costs,Trade Group - Service Delivery,VODAFONE LTD,78071, 4.80 ,,RG14 1LA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Mobile Line Rental-UKTI Programme Admin,Chief Operating Officer - IT and Finance,VODAFONE LTD,78072,4.80,,RG14 1LA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78073,2.47,,RG14 1LA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78074,2.47,,RG14 1LA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Mobile Line Rental-UKTI Programme Admin,Chief Operating Officer - IT and Finance,VODAFONE LTD,78075,4.80,,RG14 1LA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,MORGAN HUNT UK LTD,78118,1084.80,,EC4M 7EG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,MORGAN HUNT UK LTD,78119,1356.00,,EC4M 7EG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,PPM (Project & Programme Management)-Trade Development External Advisers (Autumn Statement),Trade Group - Operations Directorate,MICHAEL BEAR DEVELOPMENTS LTD,78121,1760.00,,N3 1SP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Media Costs-Great Campaign Events,Marketing & Communications - Communications,MINDSHARE MEDIA UK LTD,78126,35875.21,,WC2H 8AR,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,MINDSHARE MEDIA UK LTD,78127,3073.64,,WC2H 8AR,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,MINDSHARE MEDIA UK LTD,78128,13300.00,,WC2H 8AR,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Current Grants To Overseas Bodies-CBBC,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CHINA BRITAIN BUSINESS COUNCIL,78132,4500.00,,SW1E 5BH,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Current Grants To Overseas Bodies-CBBC,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CHINA BRITAIN BUSINESS COUNCIL,78132,85678.00,,SW1E 5BH,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Current Grants To Overseas Bodies-CBBC,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CHINA BRITAIN BUSINESS COUNCIL,78132,243833.33,,SW1E 5BH,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Hire of Agency Staff-UKTI Programme Admin,Chief Operating Officer - IT and Finance,CORE TECHNOLOGY SYSTEMS (UK) LTD,78145,1800.00,,E1 8DE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Subsistence UK-Default,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",78150,7.65,,,EMPLOYEE,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Subsistence UK-Default,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",78150,11.49,,,EMPLOYEE,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Professional Services-Investment - Enablers (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ADECCO UK LTD,78157,1248.72,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA RESOURCING LTD,78168,745.20,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA RESOURCING LTD,78169,1707.78,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Marketing and Media-Mid-Sized Business Events,Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78185,1733.70,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Marketing and Media-Trade Marketing Events,Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78185,2167.30,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Other Professional Services-Passport ITAs (Autumn Statement),Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78186,29166.66,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Stationery-INUK Corporate Identity,Investment Development - Strategic Relationship Management,BANNER BUSINESS SERVICES LTD,78187,96.52,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Other Professional Services-Passport Workshops (Autumn Statement),Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78188,3750.00,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Other Professional Services-Mid-Sized Business ITAs,Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78189,21666.66,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Stationery-INUK Corporate Identity,Investment Development - Strategic Relationship Management,BANNER BUSINESS SERVICES LTD,78190,236.32,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Hire of Conference Facilities-Passport Workshops (Autumn Statement),Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78191,145.00,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Hire of Conference Facilities-Passport Workshops (Autumn Statement),Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78191,169.17,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Corporate Event Management and Marketing-Sector Events - UK,Trade Group - Partnerships & Business,2PEARS LTD,78215,3551.48,,NW11 8EL,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Corporate Event Management and Marketing-Sector Events - UK,Trade Group - Partnerships & Business,SUBSEA UK,78216,5520.00,,AB32 6FE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Marketing - Promotional Materials-Inward Investment Publicity,Marketing & Communications - Communications,REDHOUSE LANE COMMUNICATIONS LTD T/A REDHOUSELANE,78217,600.00,,SE1 3UD,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Other Media Costs-UKTI Programme Admin,Chief Operating Officer - Strategy & Human Resources,MEDIA ON DEMAND LTD,78226,385.00,,GU7 1HE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78234,4.27,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78235,7.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78237,7.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Mobile Phones-Other Programme Costs,Trade Group - Service Delivery,VODAFONE LTD,78243,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78246,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78248,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78251,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78252,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78253,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78254,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78255,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78257,5.28,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Conference and Exhibition Services-Sector Events - UK,Trade Group - Partnerships & Business,CLEARVIEW IMAGING SERVICES LTD,78279,130.00,,E3 3JQ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78281,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78286,7.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78287,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78288,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78308,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Mobile Phones-Other Programme Costs,Trade Group - Service Delivery,VODAFONE LTD,78310,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78312,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78313,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78315,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78317,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78318,5.04,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78319,7.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78320,7.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78321,7.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78322,5.53,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Marketing and Media-Mid-Sized Business Events,Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78326,1200.00,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Marketing and Media-Mid-Sized Business Events,Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78327,111.23,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Other Professional Services-International Trade Team Contracting,Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78328,150804.17,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Other Professional Services-International Trade Team Contracting,Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78329,5833.33,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Hire of Conference Facilities-Passport Workshops (Autumn Statement),Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78330,607.29,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,External Training-Passport Workshops (Autumn Statement),Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78330,1075.00,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Hire of Conference Facilities-Passport Workshops (Autumn Statement),Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78331,2649.29,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,External Training-Passport Workshops (Autumn Statement),Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78331,4598.54,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Hire of Conference Facilities-Passport Workshops (Autumn Statement),Trade Group - Service Delivery,GWE BUSINESS WEST LTD,78332,415.80,,BS8 3RA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Consumer and Retail,PA CONSULTING GROUP LTD,78333,28321.56,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Partnerships & Business,PA CONSULTING GROUP LTD,78333,185170.20,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,78384,1797.60,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,78386,1797.60,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78387,6.06,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
