Full Property Address,Property Reference Number,Current Rateable Value,Current Relief Type Description,Primary Liable party name,Account Start date,Account Reference Number
"2-6, Derry Street, Barrow In Furness, Cumbria, LA14  2EF",105218200021N,6500,Mandatory CASC Relief,Barrow Jiu-Jitsu Club,12/02/2010,5000014176
"277, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DH",104457702750N,6400,Increased Retail Relief,Angling & Hiking Centre Ltd,17/04/2006,5000011785
"277, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DH",104457702750N,6400,Small Business Relief England,Angling & Hiking Centre Ltd,17/04/2006,5000011785
"27, Bath Street, Barrow In Furness, Cumbria, LA14 5TY",104102001080N,1775,Mandatorary Relief,Furness Homeless Support Group,01/08/1996,5000006011
"288, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BX",104457702880N,9300,Mandatorary Relief,Age Uk Barrow And District,20/07/1995,5000004635
"295-301, Abbey Road, Barrow In Furness, Cumbria, LA14 5LG",107100109355N,9100,Small Business Relief England,Abbey Rd Enterprises Ltd,20/02/2006,5000011665
"2, Carlisle Street, Barrow In Furness, Cumbria, LA14 1QT",104457702905N,9000,Small Business Relief England,Sonic Zoo Industries Cic,01/07/2011,5000014816
"2 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",109322409010N,3600,Increased Retail Relief,Tangeo Management Ltd T/A Grange Bakery,01/12/2012,5000015912
"2, Liverpool Street, Barrow In Furness, Cumbria, LA14 3BA",102538800020N,3900,Small Business Relief England,Early News Walney Ltd,12/01/2015,5000016867
"2, Napier Street, Barrow In Furness, Cumbria, LA14 5SZ",104347100020N,2850,Small Business Relief England,New Barrow Takeaway Limited,23/03/2010,5000014119
"2nd Floor Ramsden House, 121-123, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501234N,10250,Small Business Relief England,Cookson Ad Valorem Ltd,17/09/2012,5000015849
"2nd Flr, 104, Duke Street, Barrow In Furness, Cumbria, LA14 1LP",104519509710N,3200,Empty Property Rate Non-Industrial,Hsbc Bank Plc,01/01/1996,5000005445
"2, Raglan Street, Barrow In Furness, Cumbria, LA14 2AS",108356609013N,5400,Small Business Relief England,The Garage Inc. Ltd,01/11/2011,5000015086
"30a, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600302N,3050,Small Business Relief England,Furness Watch/Jewel'Ry Ltd,12/05/1997,5000005944
"30, Marsh Street, Barrow In Furness, Cumbria, LA14 2AE",105241600301N,2125,Small Business Relief England,The Laundry Room (Marsh Street) Limited,12/10/2012,5000015595
"31, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600310N,4850,Small Business Relief England,Face To Face Financial Services Ltd,01/07/2003,5000010150
"31, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000310N,31750,Increased Retail Relief,Sally Salon Servies Ltd,05/02/2004,5000010467
"31, Station Road, Dalton In Furness, Cumbria, LA15 8PL",113290800314N,2450,Small Business Relief England,Powder & Paint Photography Limited,15/06/2011,5000014928
"33, Oxford Street, Barrow In Furness, Cumbria, LA14 5QJ",106251200331N,3200,Small Business Relief England,Oxford Street Clinic Ltd,31/01/2012,5000015151
"33, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000330N,14750,Empty Property Rate Non-Industrial,Grangehall Estates Ltd,04/03/2014,5000016367
"34, Furness Park Road, Barrow In Furness, Cumbria, LA14 5PH",107125500340N,5600,Increased Retail Relief,Plastic Centre Barrow Ltd,01/03/2013,5000016459
"34, Furness Park Road, Barrow In Furness, Cumbria, LA14 5PH",107125500340N,5600,Small Business Relief England,Plastic Centre Barrow Ltd,01/03/2013,5000016459
"34, Middlefield, Barrow In Furness, Cumbria, LA14 4BX",106542720306N,5000,Small Business Relief England,Ormsgill Off Licence Ltd,28/11/2005,5000011654
"34, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000340N,35750,Increased Retail Relief,Bodyshop International Plc,26/01/2007,5000012202
"3-6 Archways, Michaelson Road, Barrow In Furness, Cumbria, LA14 2EY",103342709065N,4400,Small Business Relief England,Barrow Central Joinery Ltd,22/08/2003,5000010471
"37-39, Earle Street, Barrow In Furness, Cumbria, LA14 2PZ",103221300370N,4450,Small Business Relief England,"Braklon Ltd,",01/04/1990,5000000123
"37-39, Ocean Road, Barrow In Furness, Cumbria, LA14 3DD",102250200370N,33250,Increased Retail Relief,Tesco Stores Ltd,19/07/2012,5000015517
"37, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600370N,5500,Increased Retail Relief,H.E.F.F.,01/10/1997,5000005925
"37, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600370N,5500,Mandatorary Relief,H.E.F.F.,01/10/1997,5000005925
"39a, Bristol Street, Barrow In Furness, Cumbria, LA14 3AG",102408500391N,3400,Small Business Relief England,Rwe Tanning Limited T/A The Sun Shack,25/02/2013,5000015924
"3, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",103101600030N,4050,Increased Retail Relief,J N Murray Ltd,01/07/1996,5000005179
"3b, Slater St, Barrow In Furness, Cumbria, LA14 1SJ",104563900036N,1300,Small Business Relief England,Butty-Licious Barrow Ltd,01/11/2010,5000016035
"3rd Fl, 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501277N,5400,Small Business Relief England,Moorsolve Limited,01/01/1999,5000007419
"3, Slater St, Barrow In Furness, Cumbria, LA14 1SJ",104563900032N,1900,Small Business Relief England,Slater Street News Limited,29/09/1996,5000005301
"40, Anchor Road, Barrow In Furness, Cumbria, LA14 2QP",103101600400N,0,Empty Property Rate Non-Industrial,Howcol Properties Limited,18/04/2013,5000016009
"41, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400410N,3750,Small Business Relief England,Kutz (Barrow) Ltd,23/11/1998,5000007203
"42-44, Middlefield, Barrow In Furness, Cumbria, LA14 4BX",106542720442N,7600,Increased Retail Relief,J N Murray Ltd,11/07/2013,5000016309
"42-44, Ulverston Road, Dalton In Furness, Cumbria, LA15 8EF",113291600420N,3400,Small Business Relief England,Aerialek (Dalton) Ltd,18/08/2011,5000015268
"42, Cheltenham Street, Barrow In Furness, Cumbria, LA14 5HP",107212200420N,2550,Small Business Relief England,The Family Bakery Ltd,10/04/2015,5000016963
"44-48, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000440N,63500,Mandatorary Relief,British Heart Foundation,08/06/2012,5000015432
"45-53, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",104411609281N,33250,Reoccupation Relief,Hollywoods (Barrow) Limited,03/07/2013,5000016503
"45, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400450N,5700,Small Business Relief England,Cumbria Sew/Craft Ctre Ltd,01/04/1990,5000000695
"46-52,, Suffolk Street, Barrow In Furness, Cumbria, LA13 9QH",108466200521N,8400,Increased Retail Relief,Four Groves Community Association,01/10/2013,5000016237
"46-52,, Suffolk Street, Barrow In Furness, Cumbria, LA13 9QH",108466200521N,8400,Mandatorary Relief,Four Groves Community Association,01/10/2013,5000016237
"48,, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400481N,3300,Small Business Relief England,Uk Business Names Ltd,01/10/2014,5000016676
"4, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",104517100020N,5200,Increased Retail Relief,Five (Uk) Ltd,19/12/2005,5000011906
"52, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",104329800520N,3200,Small Business Relief England,Cowards Pharmacy Ltd,01/04/1990,5000000286
"52, Paradise Street, Barrow In Furness, Cumbria, LA14 1JG",105152400526N,9400,Mandatorary Relief,C.A.D.A.S.,01/04/2004,5000010631
