BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER  ID,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,27/03/2015,262244,4314.94,STANNAH LIFTS SERVICE LTD,101327,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PAYMENTS TO NOTTS COUNTY CNCL,06/03/2015,261151,4245,NOTTINGHAMSHIRE COUNTY COUNCIL,100393,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PROFESSIONAL SERVICES,27/03/2015,262541,4240,CIVICA LTD,100092,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,13/03/2015,261458,4230,CDS SERVICES,100997,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,27/03/2015,262467,4200,COSTAR UK LIMITED,104573,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,27/03/2015,262515,4180,APW (NOTTINGHAM)  LTD,100891,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PARISH CNCLS AND VOL BODIES,06/03/2015,261149,4158,NOTTINGHAMSHIRE COUNTY COUNCIL,100393,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261621,4022.03,HONEYWELL - NOVAR SYSTEMS LTD,100213,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,27/03/2015,262693,4000,A H HILLARY INVESTMENT ACCOUNT,104545,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,HARDWARE MAINTENANCE,13/03/2015,261493,4000,ADAM CONTINUITY LTD,100006,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PROFESSIONAL SERVICES,20/03/2015,261913,4000,LAVAT CONSULTING LTD,100269,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,PROFESSIONAL SERVICES,24/03/2015,1177442,3966.74,BURTON & CO,400041,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,OTHER EQUIPMENT AND TOOLS,13/03/2015,261603,3942,JGP RESOURCING LIMITED,101356,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,27/03/2015,262513,3926.21,APW (NOTTINGHAM)  LTD,100891,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262591,3617.17,MATTHEWS & TANNERT LTD,101312,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,27/03/2015,262165,3600,STAGE ELECTRICS,100517,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,CONTRACTUAL SERVICES,20/03/2015,262033,3500,EQUATION NOTTINGHAMSHIRE,104838,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,EQUIPMENT REPAIRS & RENEWALS,13/03/2015,261587,3500,REDACTED PERSONAL DATA,104746,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,06/03/2015,261208,3490,BRONBURY SERVICES LTD,100060,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,27/03/2015,262568,3305.07,CBG HEATING,104868,,,
