Entity,GL Date,Merchant name,Amount,Description
NE,26/04/2016,ARCO LTD,1164.1,"11 branded fleeces, 18 branded sweatshirts, 22 branded polo shirts and 11 pairs of waterproof trousers for SAMM (Strategic Access Management and Monitoring) Project seasonal wardens"
NE,26/04/2016,DSL FOOD MACHINERY LIMITED,1476,Two clearing saws to replace old equipment for Derbyshire Dales National Nature Reserve
NE,26/04/2016,DSL FOOD MACHINERY LIMITED,1500,Three chainsaws to replace old equipment for Derbyshire Dales National Nature Reserve
NE,26/04/2016,F R JONES & SON,2126.57,"Two brush cutters, one pole pruner, one battery chainsaw and two battery chargers to replace old equipment at Wye National Nature Reserve"
NE,26/04/2016,F R JONES & SON,2500,"One battery chainsaw, two petrol chainsaws and five battery packs for Ham Street Woods and Blean National Nature Reserves"
NE,26/04/2016,SPANDEX,2100.78,Vinyl and laminate for printing National Nature Reserve signs
,,,,
,,,,
EA,01/04/2016,"LEANKIT, INC",640.24,Single annual subscription for four users to Leankit agile backlog management internet tool for the grant web portal project.
EA,01/04/2016,ARCHWAY LAWNMOWERS,603.02,Service and repairs to Bray Lock equipment
EA,01/04/2016,ARMADA HOUSE,516.24,"One day room hire for sixteen people, including lunch, refreshments and equipment, for an evidence leadership team meeting."
EA,01/04/2016,SAFETY-KLEEN UK LTD,837.6,Disposal of hazardous waste.
EA,01/04/2016,WWW.QA.COM,540,One day training course for ten people on intermediate level Excel.
EA,01/04/2016,EAST MALLING LTD,648,One day Effective Conversations training venue hire in Maidstone for 15 delegates and 1 tutor and includes lunch
EA,01/04/2016,HEMSLEY FRASER GROUP L,820.8,"Registration fees for three people to attend then secretarial, PA and administrator conference 2016."
EA,01/04/2016,BORDER AGGREGATES,1258.07,92.86 tonnes of type 1 stone for use on Sampool bank repairs
EA,01/04/2016,BORDER AGGREGATES,1893.47,139.76 tonnes of type 1 stone for use on Sampool bank repairs
EA,01/04/2016,WWW.ACTIVATEEVENTS.COM,504,Registration fee for one person to attend a three day flood and coastal risk management conference.
EA,01/04/2016,WWW.ACTIVATEEVENTS.COM,504,Registration fee for one person to attend a three day flood and coastal risk management conference.
EA,01/04/2016,DARCY PRODUCTS LTD,1303.2,Safe disposal of contaminated oil booms and rags following incident clear up
EA,04/04/2016,DAYS HOTEL,1548,Accommodation for twelve people for one night whilst attending a coastal group chairs meeting.
EA,04/04/2016,WWW.ACTIVATEEVENTS.COM,504,Registration fee for one person to attend a three day flood and coastal risk management conference.
EA,05/04/2016,WWW.ACTIVATEEVENTS.COM,504,Registration fee for one person to attend a three day flood and coastal risk management conference.
EA,06/04/2016,DORMAR PRODUCTS,1082.4,"Drag rakes, scrapers and brushes, all with extendable handles, for the clearing and cleaning of weedscreens and weirs."
EA,06/04/2016,EMARKETEERS,1098.9,Two days training course for one person on the essentials of digital marketing
EA,07/04/2016,ROTORK UK LTD,1718.4,"Site visit from Rotork Ltd engineer to establish faults with the unit at Boulters weir, rectify and reset to normal function."
EA,07/04/2016,ROTORK UK LTD,3565.2,Thames Rotork actuator removed from site and sent back to Rotork Ltd for inspection and repair.
EA,07/04/2016,Hilti (Gt. Britain) Lt,1209.6,Two impact drivers for use on site
EA,07/04/2016,1ST CALLHIRE&SALES,594,"Four batteries, a battery charger, a combi drill and a hammer drill for various jobs."
EA,07/04/2016,BVSC ENTERPRISE LIMITE,1590,Flood and Coastal risk management team meeting for thirty people includes lunch
EA,07/04/2016,MARTIN DAWES OFFIC,1555.18,Sixteen headsets for use with a new digital phone system used across the EA.
EA,07/04/2016,RAPID RACKING LTD,558.36,Twelve 400mm x 500mm x 600mm storage boxes for Clewer pumping station
EA,07/04/2016,RITCHEY LTD,1482,1200 yellow industrial Ritchie tags for our accessories that are inspected every six months and 700 green tags for the items that are inspected every twelve months
EA,07/04/2016,FRIMSTONE LTD,2939.29,Recycled type 1 railway track ballast aggregate for the repair of a track required for Environment Agency access to undertake maintenance activities and emergency response duties. 
EA,10/04/2016,S G BAKER LIMITED,2496,Eight pallets of sandbags used as a temporary measure to seal the twelve flood gates on the River Trent in Nottingham and Attenborough during flood conditions.
