Department,Grants Description,Amount (£m),Grant Category,No. of Recipients,Recipient type,Sector type (from COFOG level 0 code)
DCLG,Business Rates 204-15 New Burden Administraion Grant,4.60,General Grant,,Local government,unknown
DCLG,,0.00,,,Local government,unknown
DCLG,LG-DEL- REVENUE SUPPORT GRANT - D,12700.00,,385,Local government,unknown
DCLG,MANDATING DATA TRANSPARENCY,0.01,,1,Local government,Social Protection
DCLG,AUDIT COMMISSION CLOSURE,0.10,,1,Non-profit,unknown
DCLG,CENTRE OF EXCELLENCE INFO SHARING,0.50,,1,Local government,unknown
DCLG,MTFA,0.21,,1,Local government,unknown
DCLG,MTFA OTHER,3.19,,1,Local government,unknown
DCLG,STATUTORY NOTICE PILOTS,0.03,,1,Local government,unknown
DCLG,GARDEN CITIES,0.20,,1,Local government,unknown
DCLG,PREM REPAYMT OF OVERHANGING  DEBT (CLOS),0.00,,,Local government,unknown
DCLG,LG-DEL- Safety Net,0.01,,8,Local government,unknown
DCLG,LG-DEL- Transitional Relief Payments,0.08,,266,Local government,unknown
DCLG,LG-DEL- Council Tax Freeze Grant,0.15,,251,Local government,unknown
DCLG,LG-DEL- PFI Special Grant,0.03,,25,Local government,unknown
DCLG,LG-DEL- Small Business Rates Relief,0.25,,384,Local government,unknown
DCLG,LG-DEL- Retail Relief,0.14,,379,Local government,unknown
DCLG,LG-DEL- Business Rates Cap,0.12,,384,Local government,unknown
DCLG,LG-DEL- Reoccupation Relief,0.03,,328,Local government,unknown
DCLG,LG-DEL- SBRR on 2nd Property,0.00,,211,Local government,unknown
DCLG,LG-DEL- Empty New Build Relief,0.01,,199,Local government,unknown
DCLG,LG - AME - BRR Top ups,3.16,,129,Local government,unknown
DCLG,LG - AME - BRR Tariffs,0.00,,162,Local government,unknown
DCLG,LG - AME - Deficit on Collection,0.69,,216,Local government,unknown
DCLG,LG - AME - Disregarded Amounts Recon Payments,0.01,,95,Local government,unknown
DCLG,LG - AME - Safety Net Outturn Payments,0.14,,59,Local government,unknown
DCLG,LG - AME - Transitional Protection Outturn Payments,0.02,,39,Local government,unknown
DCLG,LG - AME - BR S31 Grant Reconciliations,0.04,,384,Local government,unknown
DCMS,Grant-in-aid to BBC,3164,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Arts Council England,445.39,Grant In Aid,1000s,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Sport England,83.02,Grant In Aid,730,ALBs and public corporations,unknown
DCMS,Grant-in-aid to UK Sports Council,49.45,Grant In Aid,114,ALBs and public corporations,unknown
DCMS,Grant-in-aid to English Heritage,179.58,Grant In Aid,800-900  ,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Visit Britain,45.25,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to British Film Institute,15.5,Grant In Aid,36,ALBs and public corporations,unknown
DCMS,Grant-in-aid to National Heritage Memorial Fund,5,Grant In Aid,13,ALBs and public corporations,unknown
DCMS,Grant-in-aid to S4C,6.79,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to UK anti-doping,5.6,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Sports Ground Safety Authority,1.09,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant -in-aid to British Museum,42.87,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Natural History Museum,43.38,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Imperial War Museum,17.58,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to National Gallery,24.99,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Royal Museums Greenwich,16.1,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to National Museums Liverpool,20.5,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to National Portrait Gallery,6.88,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Science Museum Group,45.89,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Tate Gallery,32.15,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Victoria and Albert Museum,31.1,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Wallace Collection,2.86,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Sir John Soane's Museum,1.05,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Horniman Museum,3.96,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid the Geffrye Museum,1.55,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Royal Armouries,7.35,Grant In Aid,1,ALBs and public corporations,"Recreation, culture and religion"
DCMS,Design Museum,0.16,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,Peoples History Museum,0.16,General Grant,1,Non-profit,unknown
DCMS,Grant-in-aid to British Library (inc Public Lending Right),93.74,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Churches Conservation Trust,2.58,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Ofcom (Spectrum Management),62.6,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Ofcom (SCAP),5.81,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Ofcom (Small Scale DAB),0.27,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Ofcom (PSSR),2.52,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant-in-aid to Ofcom (Orphan Costs),4.31,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant in aid to Equality and Human Rights Commission (Core & Transitional),17.07,Grant In Aid,1,ALBs and public corporations,unknown
DCMS,Grant in aid to Equality and Human Rights Commission (Approved Bids),7.98,Grant In Aid,1,ALBs and public corporations,"Recreation, culture and religion"
DCMS,National Film and Television School,2.57,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,National Film and Television School,0.6,General Grant,1,Non-profit,unknown
DCMS,National Lottery Commission,2.82,Grant In Aid,1,ALBs and public corporations,"Recreation, culture and religion"
DCMS,PFI Funding for Library Projects,15.41,General Grant,6,Central government,"Recreation, culture and religion"
DCMS,PFI Funding for Sport and Leisure Facilities,13.48,General Grant,11,Central government,"Recreation, culture and religion"
DCMS,Royal Naval College Greenwich,1.23,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,Chatham Historic Dockyard Trust,0.25,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,World Heritage Committee,0.01,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,World Cultural Convention subscriptions,0.14,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,VAT relief on Memorials,0.48,Intermediated Grant,50,Non-profit,"Recreation, culture and religion"
DCMS,Listed Places of Worship Scheme,1.4,Intermediated Grant,multiple,Non-profit,"Recreation, culture and religion"
DCMS,Listed Places of Worship Scheme,24,Intermediated Grant,3500,Non-profit,"Recreation, culture and religion"
DCMS,Anti-doping panel,0.4,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,Access to Elected Office - new grant from July 2014,0.48,Intermediated Grant,46,Non-profit,"Recreation, culture and religion"
DCMS,British Horseracing Grant Scheme,1.69,Intermediated Grant,37,Non-profit,"Recreation, culture and religion"
DCMS,Support for Creative Industries,0,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,Broadband UK  (BDUK) Super-connected cities project (Urban) - CAPITAL,41.8,General Grant,22,Local government,"Recreation, culture and religion"
DCMS,Broadband UK  (BDUK) Rural Broadband Project - CAPITAL,288.5,General Grant,28,Local government,"Recreation, culture and religion"
DCMS,Broadband UK  (BDUK) capital Mobile Infrastructure Project - CAPITAL,4.56,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,Broadband UK  (BDUK) capital Market Test Pilots - CAPITAL,1.19,General Grant,7,Non-profit,"Recreation, culture and religion"
DCMS,OFCOM : MG ALBA (Grant to OFCOM),1,General Grant,1,Central government,"Recreation, culture and religion"
DCMS,Childcare business grants (to help start new childcare businesses),1.41,General Grant,5050,Non-profit,"Recreation, culture and religion"
DCMS,School Games,0.1,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,Poet Laureate,0.01,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,Poetry Society,0.01,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,UK City of Culture,0,General Grant,1,Local government,"Recreation, culture and religion"
DCMS,UK cultural contact point,0.05,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,International Inspiration,0,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,Eureka Audiovisual Observatory subscriptions,0.22,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,OFCOM : Community Radio Funding,0.41,General Grant,1,Unknown,"Recreation, culture and religion"
DCMS,Northern Ireland Multiplex,0.3,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,Tourism for All,0,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,Spectrum Clearance and Awards Programme,0,General Grant,multiple,Non-profit,"Recreation, culture and religion"
DCMS,Marlborough House Management,0.45,General Grant,1,Non-profit,"Recreation, culture and religion"
DCMS,WW1 commemoration resource grants ,2.25,General Grant,multiple,Non-profit,"Recreation, culture and religion"
DCMS,Wolfson,2,General Grant,multiple,Non-profit,"Recreation, culture and religion"
DCMS,Creative Skill Set - SIF Creative Industries grant agreement,8,General Grant,multiple,Non-profit,"Recreation, culture and religion"
DCMS,Womens' Start-up,0.04,General Grant,multiple,Non-profit,"Recreation, culture and religion"
DCMS,Parent Pack,0.01,General Grant,multiple,Non-profit,"Recreation, culture and religion"
DCMS,Eldercare Enterprises,0.39,General Grant,multiple,Non-profit,"Recreation, culture and religion"
DCMS,Body Image module for NCS,0.01,General Grant,multiple,Non-profit,"Recreation, culture and religion"
DCMS,LGA - Be a Councillor,0.09,General Grant,multiple,Local government,"Recreation, culture and religion"
DCMS,Interns Scheme,0.02,General Grant,multiple,Local government,"Recreation, culture and religion"
DCMS,Womens' Broadband Challenge,1.1,General Grant,multiple,Local government,"Recreation, culture and religion"
DCMS,Your Daughters Future,0.01,General Grant,multiple,Non-profit,"Recreation, culture and religion"
DCMS,Timewise Accreditation Scheme,0.04,General Grant,Multiple,Non-profit,"Recreation, culture and religion"
DCMS,Women's Enterprise Conference,0.02,General Grant,Multiple,Non-profit,"Recreation, culture and religion"
DCMS,LGBT Mapping,0.03,General Grant,Multiple,Non-profit,"Recreation, culture and religion"
DCMS,Young Homeless Support,0.05,General Grant,Multiple,Non-profit,"Recreation, culture and religion"
DCMS,Revenge Porn Helpline,0.03,General Grant,Multiple,Non-profit,"Recreation, culture and religion"
DCMS,Safety Internet Centre,0.14,General Grant,Multiple,Non-profit,"Recreation, culture and religion"
DCMS,Online Portal,0.01,General Grant,Multiple,Non-profit,"Recreation, culture and religion"
DCMS,SP Europe and International ICT subscriptions,0.06,General Grant,1,Non-profit,"Recreation, culture and religion"
DECC,International Climate Finance (ICF),190.00 ,Intermediated Grant,7,International,Environmental protection
DECC,Renewable Heat Incentive (RHI) AME Subsidy and Payments,102.90 ,Intermediated Grant,1,Private Sector,Economic affairs
DECC,Green Deal Launch Incentives,104.78 ,Intermediated Grant,"23,000 ",Non-profit,Environmental protection
DECC,Offshore Renewables,3.00 ,General Grant,3,Private Sector,Economic affairs
DECC,Energy Entrepreneurs' Fund : Power Technologies Call,15.18 ,General Grant,30,Private Sector,Environmental protection
DECC,Electricity Storage Technologies,9.96 ,General Grant,10,Private Sector,Environmental protection
DECC,Next Generation Carbon Capture Demonstration,4.55 ,General Grant,14,Private Sector,Environmental protection
DECC,EMR Post Royal Assent - CfD Counterparty Body - set-up,4.39 ,General Grant,1,Private Sector,Economic affairs
DECC,Offshore Wind,4.87 ,General Grant,21,International,Environmental protection
DECC,Carbon Trust Offshore Wind Accelerator,6.27 ,Intermediated Grant,9,Non-profit,Environmental protection
DECC,Buildings Innovation,1.43 ,Intermediated Grant,10,Central government,Environmental protection
DECC,Marine Energy,0.92 ,General Grant,2,Private Sector,Environmental protection
DECC,Energy Using Products (EUP),1.30 ,Intermediated Grant,1,Non-profit,Economic affairs
DECC,Nuclear Fission,0.72 ,Intermediated Grant,10,Central government,Environmental protection
DECC,Advanced Waste & Biomass Conversion Technologies,0.80 ,General Grant,4,Private Sector,Environmental protection
DECC,Carbon Trust Pyrolysis Challenge,0.50 ,Intermediated Grant,1,Non-profit,Environmental protection
DECC,Renewable Hydrogen Production,0.67 ,Intermediated Grant,1,Central government,Environmental protection
DECC,Carbon Trust TINA,0.58 ,Intermediated Grant,1,Non-profit,Environmental protection
DECC,Carbon Trust Polymer Fuel Cells Challenge,0.36 ,Intermediated Grant,4,Non-profit,Environmental protection
DECC,Local Partnership - RE:FIT programme,0.29 ,Intermediated Grant,12,Local government,Economic affairs
DECC,Carbon Trust Entrepreneurs Fast Track,0.10 ,Intermediated Grant,26,Non-profit,Environmental protection
DECC,National Energy Action (NEA) Grants,0.50 ,General Grant,1,Non-profit,Economic affairs
DECC,Warm Front Measures and Warm Front Management Fees,1.21 ,Intermediated Grant,1,Private Sector,Economic affairs
DECC,Civil Nuclear Police Authority (CNPA),0.28 ,Grant In Aid,1,ALBs and public corporations,unknown
DECC,Coal Authority,23.50 ,Grant In Aid,1,ALBs and public corporations,unknown
DECC,Committee on Climate Change,4.04 ,Grant In Aid,1,ALBs and public corporations,unknown
DECC,Nuclear Decommissioning Authority (NDA),"3,357.00 ",Grant In Aid,1,ALBs and public corporations,unknown
DECC,Low Carbon Contracts Company,1.04 ,Grant In Aid,1,ALBs and public corporations,unknown
DECC,Bristol Grant,7.89 ,General Grant,1,Local government,Economic affairs
DECC,Renewable Heat Premium Programme (RHPP),1.70 ,Intermediated Grant,1,Non-profit,Economic affairs
DECC,Government Electricity Rebate,306.63 ,Intermediated Grant,24,Non-profit,Environmental protection
DECC,Heat Programme,1.09 ,General Grant,2,Local government,Economic affairs
DECC,Heat Network Delivery Unit (HNDU),5.25 ,General Grant,50,Local government,Economic affairs
DECC,Big Energy Savings Network (BESN),1.17 ,General Grant,168,Non-profit,Environmental protection
DECC,CCS Feed Peterhead,21.08 ,General Grant,1,Non-profit,Environmental protection
DECC,CCS Feed White Rose,21.03 ,General Grant,1,Non-profit,Environmental protection
DECC,Clean Coal Technology,0.19 ,General Grant,1,International,Environmental protection
