"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","EO (L)","25363","29063","Executive Officer","8.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","EO (L)","25363","29063","Executive Officer","1.00","Statisticians"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","FS (L)","27500","36000","Assistant Economist","1.00","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","FS (L)","27500","36000","Assistant Statistician","1.00","Statisticians"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","FS (L)","27500","36000","Higher Executive Officer (D)","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","G6 (L)","58516","69680","Grade 6","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","G6 (L)","58516","69680","Grade 6","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","G7 (L)","48326","58007","Grade 7","0.85","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","G7 (L)","48326","58007","Grade 7","11.07","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","G7 (L)","48326","58007","Grade 7","1.00","Statisticians"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","G7 (L)","48326","58007","Not in Post","0.60","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","HEO (L)","30147","34930","Higher Executive Officer","12.55","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","HEO (L)","30147","34930","Higher Scientific Officer","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","HEO (N)","27013","31233","Not in Post","1.00","Statisticians"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","SEO (L)","35946","42968","Senior Executive Officer","8.60","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","SEO (L)","35946","42968","Senior Scientific Officer","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","EO (L)","25363","29063","Executive Officer","4.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","FS (L)","27500","36000","Assistant Economist","1.00","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","FS (L)","27500","36000","Higher Executive Officer (D)","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","G6 (L)","58516","69680","Grade 6","1.00","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","G6 (L)","58516","69680","Grade 6","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","G7 (L)","48326","58007","Grade 7","1.00","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","G7 (L)","48326","58007","Grade 7","1.00","Other"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","G7 (L)","48326","58007","Grade 7","5.58","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","G7 (L)","48326","58007","Grade 7","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","G7 (L)","48326","58007","Not in Post","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","HEO (L)","30147","34930","Higher Executive Officer","5.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","HEO (L)","30147","34930","Higher Scientific Officer","4.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","HEO (N)","27013","31233","Higher Executive Officer","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","SEO (L)","35946","42968","Senior Executive Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","SEO (L)","35946","42968","Senior Executive Officer","1.00","Statisticians"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","SEO (L)","35946","42968","Senior Information Officer","0.75","Communications"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD25","SEO (L)","35946","42968","Senior Scientific Officer","2.80","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD26","EO (L)","25363","29063","Executive Officer","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD26","FS (L)","27500","36000","Assistant Economist","1.00","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD26","G7 (L)","48326","58007","Grade 7","1.00","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD26","G7 (L)","48326","58007","Grade 7","6.40","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD26","G7 (L)","48326","58007","Grade 7","1.00","Social Research"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD26","HEO (L)","30147","34930","Higher Executive Officer","3.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD26","HEO (L)","30147","34930","Higher Scientific Officer","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD26","SEO (L)","35946","42968","Senior Executive Officer","5.68","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD26","SEO (L)","35946","42968","Senior Executive Officer","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD26","SEO (N)","33321","39799","Senior Executive Officer","1.00","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD26","SEO (N)","33321","39799","Senior Scientific Officer","0.80","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD27","AO (L)","21235","23045","Administrative Officer","8.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD27","EO (L)","25363","29063","Executive Officer","3.63","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD27","G7 (L)","48326","58007","Grade 7","1.00","Operational Research"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD27","G7 (L)","48326","58007","Grade 7","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD27","HEO (L)","30147","34930","Higher Executive Officer","0.72","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD27","SEO (L)","35946","42968","Senior Executive Officer","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","DD27","SEO (L)","35946","42968","Not in Post","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD1","G7 (N)","43654","52333","Grade 7","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD1","HEO (L)","30147","34930","Higher Executive Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD2","AO (L)","21235","23045","Administrative Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD2","EO (L)","25363","29063","Executive Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD2","G6 (L)","58516","69680","Grade 6","0.55","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD2","G7 (L)","48326","58007","Grade 7","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD2","HEO (L)","30147","34930","Higher Executive Officer","1.50","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD2","SEO (L)","35946","42968","Not in Post","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD3","G7 (L)","48326","58007","Grade 7","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD3","HEO (L)","30147","34930","Higher Executive Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD4","AO (L)","21235","23045","Administrative Officer","3.00","Procurement"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","DD4","AO (L)","21235","23045","Personal Secretary","1.00","Procurement"
