Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,779.96
Communities and Local Government,Homes and Communities Agency,26/08/2010,CLEANING,FINANCE & CORPORATE SERVICES,HYGIENE SYSTEMS LTD,302952,781.14
Communities and Local Government,Homes and Communities Agency,26/08/2010,IRON MOUNTAIN-STORAGE,FINANCE & CORPORATE SERVICES,IRON MOUNTAIN (UK) LTD,301511,781.91
Communities and Local Government,Homes and Communities Agency,19/08/2010,ENGINEERING CONSULTANTS,PLACE MAKING,ATKINS LTD,298727,783.56
Communities and Local Government,Homes and Communities Agency,26/08/2010,PROMOTIONAL EVENTS,SOUTH WEST,INFORMATION TECHNOLOGY RENTALS LIMITED,302387,-784
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,PLACE MAKING,ROBERT HALF INTERNATIONAL,302418,788.37
Communities and Local Government,Homes and Communities Agency,12/08/2010,CLEANING,FINANCE & CORPORATE SERVICES,ASHFORD CLEANING CONTRACTORS LTD,301102,790
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,SOUTH EAST,FOXLEYS LTD,301030,790
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPING,MILTON KEYNES PARTNERSHIP,RPS GROUP PLC,303012,790.24
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAR LEASING - OTHER COSTS,EAST MIDLANDS,ADR BODYSHOP,47870,791.43
Communities and Local Government,Homes and Communities Agency,05/08/2010,MISC PROFESSIONAL FEES,PLACE MAKING,OFFICE ANGELS LIMITED,299614,793.6
Communities and Local Government,Homes and Communities Agency,26/08/2010,AGENCY STAFF,YORKSHIRE & THE HUMBER,BADENOCH & CLARK,302629,795.2
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER PROFESSIONAL FEES,EAST OF ENGLAND,ESCAPE FITNESS LTD,300767,795.5
Communities and Local Government,Homes and Communities Agency,12/08/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,MIDLAND LANDSCAPING LTD,301411,797.05
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES LSCAPE ARCH,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302155,797.44
Communities and Local Government,Homes and Communities Agency,05/08/2010,EXTERNAL BUILDING MAINTENANCE,PLACE MAKING,BALDWIN LANDSCAPING,300809,797.6
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,799.67
Communities and Local Government,Homes and Communities Agency,31/08/2010,STAFF WELFARE,FINANCE & CORPORATE SERVICES,MARS DRINKS,47445,799.83
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECURITY,PLACE MAKING,PROFILE SECURITY SERVICES LTD,301361,800
Communities and Local Government,Homes and Communities Agency,12/08/2010,ENGINEERING CONSULTANTS,PLACE MAKING,ATKINS LTD,298531,800.01
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE MAINT-FUTURE CRA DIS,SOUTH EAST,RPS GROUP PLC,302411,800.32
Communities and Local Government,Homes and Communities Agency,01/08/2010,BUILDINGS-GAS,SOUTH WEST,REGENT GAS LIMITED,299535,802.64
Communities and Local Government,Homes and Communities Agency,01/08/2010,BUILDINGS-GAS,SOUTH WEST,REGENT GAS LIMITED,299536,-802.64
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDINGS-ELECTRICITY,LONDON,EDF ENERGY,302587,803.09
Communities and Local Government,Homes and Communities Agency,12/08/2010,MISCELLANEOUS,NORTH WEST,LIVERPOOL VISION LIMITED,297774,803.72
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,NORTH EAST,TEP-THE ENVIRONMENT PARTNERSHIP,298608,804.14
Communities and Local Government,Homes and Communities Agency,05/08/2010,DRAINS & SEWERS,PLACE MAKING,ATKINS LTD,298728,806.38
Communities and Local Government,Homes and Communities Agency,12/08/2010,GROUNDS MAINTENANCE GENERAL,EAST MIDLANDS,TEP-THE ENVIRONMENT PARTNERSHIP,301443,815.4
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,815.5
Communities and Local Government,Homes and Communities Agency,31/08/2010,END-USER CONSUMABLES,FINANCE & CORPORATE SERVICES,PROBRAND,47770,817.01
Communities and Local Government,Homes and Communities Agency,05/08/2010,SIGNS & NOTICEBOARDS,PLACE MAKING,ICON DISPLAY LTD,293022,825
Communities and Local Government,Homes and Communities Agency,12/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,301561,825
Communities and Local Government,Homes and Communities Agency,26/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,303007,825
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,EAST MIDLANDS,HORTECH LTD,301010,826.11
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS MAINTENANCE GENERAL,NORTH WEST,W A P LAWTON & SON LTD,299564,828
Communities and Local Government,Homes and Communities Agency,05/08/2010,PHOTOCOPIER LEASING,FINANCE & CORPORATE SERVICES,XEROX (UK) LTD,300926,828.4
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE MAINT-FUTURE CRA DIS,EAST OF ENGLAND,SLP VEGETATION SOLUTIONS,300912,829.25
Communities and Local Government,Homes and Communities Agency,05/08/2010,AGENCY STAFF,MILTON KEYNES PARTNERSHIP,ROBERT HALF INTERNATIONAL,300839,832.08
Communities and Local Government,Homes and Communities Agency,12/08/2010,MASTERPLANNING FEES EP ASSETS,SOUTH WEST,ALAN BAXTER & ASSOCIATES,300731,833.46
Communities and Local Government,Homes and Communities Agency,05/08/2010,AGENCY STAFF,MILTON KEYNES PARTNERSHIP,ROBERT HALF INTERNATIONAL,300201,834
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,EAST OF ENGLAND,TROWERS AND HAMLINS,303013,835
Communities and Local Government,Homes and Communities Agency,26/08/2010,PROMOTIONAL EVENTS,SOUTH WEST,INFORMATION TECHNOLOGY RENTALS LIMITED,302386,836
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,839.86
Communities and Local Government,Homes and Communities Agency,12/08/2010,ENGINEERING CONSULTANTS,PLACE MAKING,GVA GRIMLEY,300902,840.25
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,EAST MIDLANDS,HORTECH LTD,301012,844.6
Communities and Local Government,Homes and Communities Agency,19/08/2010,BUILDINGS-ELECTRICITY,SOUTH EAST,SOUTHERN ELECTRIC,301872,848.72
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-LEGAL,MILTON KEYNES PARTNERSHIP,DENTON WILDE SAPTE,301877,850
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,NORTH EAST,TEP-THE ENVIRONMENT PARTNERSHIP,301718,853.46
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-PLANNING,NORTH WEST,GVA GRIMLEY,302281,855.2
Communities and Local Government,Homes and Communities Agency,26/08/2010,MASTERPLANNING NON EP ASSETS,WEST MIDLANDS,EDAW PLC,302850,856.17
Communities and Local Government,Homes and Communities Agency,05/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,857.22
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,YORKSHIRE & THE HUMBER,R.S.P LTD,295460,858.7
Communities and Local Government,Homes and Communities Agency,12/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,301564,862.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,FORSHAWS DAVIES RIDGWAY LLP,299338,864.4
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,EAST MIDLANDS,DENTON WILDE SAPTE,302262,864.8
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,865.05
Communities and Local Government,Homes and Communities Agency,26/08/2010,ROADS & CAR PARKS,WEST MIDLANDS,G R MINTON & SONS,302882,866
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,NORTH EAST,EVERSHEDS LLP,302466,867.4
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,868.75
Communities and Local Government,Homes and Communities Agency,12/08/2010,ENABLING BUSINESS & TECHNICAL,FINANCE & CORPORATE SERVICES,GBS CORPORATE TRAINING PLC,300317,869.65
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL SCALE FEES LEGAL,PLACE MAKING,EVERSHEDS LLP,298373,873
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-ENGINEERING,NORTH WEST,BETHELL CONSTRUCTION LTD,302395,873.87
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE MAINT-FUTURE CRA DIS,SOUTH EAST,RPS GROUP PLC,302453,874.96
Communities and Local Government,Homes and Communities Agency,12/08/2010,VANDAL DAMAGE,SOUTH EAST,R KINGE PROPERTY MAINTENANCE LTD,300400,875
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,877.32
Communities and Local Government,Homes and Communities Agency,12/08/2010,POSTAGE/COURIERS,FINANCE & CORPORATE SERVICES,KPF COURIERS,301407,877.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,878.42
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,WEST MIDLANDS,S & V (PLAY AREA &) LANDSCAPE MAINTEANCE LTD,299348,882
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,885.15
Communities and Local Government,Homes and Communities Agency,05/08/2010,PANEL FEES-HEALTH & SAFETY,WEST MIDLANDS,JACOBS ENGINEERING UK LTD,299293,887.88
Communities and Local Government,Homes and Communities Agency,31/08/2010,MISC PROFESSIONAL FEES,PLACE MAKING,KOREC,47861,889.2
Communities and Local Government,Homes and Communities Agency,19/08/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,CITYIS LTD,301491,890
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAR LEASING - OTHER COSTS,SOUTH EAST,TABBITT VEHICLE BODY REPAIRS,47728,895.99
Communities and Local Government,Homes and Communities Agency,05/08/2010,CLEANING,FINANCE & CORPORATE SERVICES,INDEPTH MANAGED SERVICES,300777,897.09
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,PLACE MAKING,EVERSHEDS LLP,301349,898.1
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL SCALE FEES LEGAL,PLACE MAKING,EVERSHEDS LLP,298371,898.6
Communities and Local Government,Homes and Communities Agency,05/08/2010,TEAM DEVELOPMENT,LONDON,URBANCANDA,300429,900
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS ITINERANT PREVENTION,EAST OF ENGLAND,CPS FACILITIES & MAINTENANCE SERVICES,301684,900
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,QUAYSTONE CONSTRUCTION LIMITED,302174,900
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,YORKSHIRE & THE HUMBER,BADENOCH & CLARK,300823,900.81
Communities and Local Government,Homes and Communities Agency,26/08/2010,AGENCY STAFF,YORKSHIRE & THE HUMBER,BADENOCH & CLARK,302191,900.81
Communities and Local Government,Homes and Communities Agency,19/08/2010,LAND MAINT-AWAITING DEV/ DISP,PLACE MAKING,J W OUSBY & SON LTD,301793,901
Communities and Local Government,Homes and Communities Agency,05/08/2010,DISPOSAL FEES-ENGINEERING,PLACE MAKING,ATKINS LTD,298535,901.12
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,901.23
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,PLACE MAKING,SHARPE PRITCHARD,301039,902
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-ENGINEERING,NORTH WEST,ATKINS LTD,293729,902.77
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-ENGINEERING,NORTH WEST,ATKINS LTD,302249,-902.77
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,MILTON KEYNES PARTNERSHIP,RPS GROUP PLC,302528,903.41
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,NORTH WEST,EVERSHEDS LLP,298378,903.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,904.96
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,EAST OF ENGLAND,RPS GROUP PLC,302617,905.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,LIGHTING & HEATING,FINANCE & CORPORATE SERVICES,BRITISH GAS BUSINESS,302128,908.9
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,YORKSHIRE & THE HUMBER,SHEFFIELD CITY COUNCIL,302559,909.6
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,910.32
Communities and Local Government,Homes and Communities Agency,05/08/2010,GENERIC LEARNING,PLACE MAKING,WOLTERS KLUWER (UK) LTD,299444,910.63
Communities and Local Government,Homes and Communities Agency,05/08/2010,AGENCY STAFF,GROWTH & AFFORDABILITY,BADENOCH & CLARK,299955,913.24
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-LEGAL,SOUTH EAST,PINSENT MASONS,302302,917.45
Communities and Local Government,Homes and Communities Agency,05/08/2010,BUILDINGS-VACANT RATES,PLACE MAKING,BRACKNELL FOREST BOROUGH COUNCIL,300309,918
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES-PROPERTY SERVICES,EAST MIDLANDS,GVA GRIMLEY,294149,918
Communities and Local Government,Homes and Communities Agency,31/08/2010,END-USER CONSUMABLES,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47829,-919.16
Communities and Local Government,Homes and Communities Agency,05/08/2010,AGENCY STAFF,GROWTH & AFFORDABILITY,BADENOCH & CLARK,300007,919.45
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,919.65
Communities and Local Government,Homes and Communities Agency,26/08/2010,LAND MAINT-AWAITING DEV/ DISP,PLACE MAKING,G R MINTON & SONS,302549,920
Communities and Local Government,Homes and Communities Agency,05/08/2010,MANAGEMENT COSTS,SOUTH WEST,RALLEY LTD,300778,923.64
Communities and Local Government,Homes and Communities Agency,31/08/2010,STAFF WELFARE,FINANCE & CORPORATE SERVICES,MARS DRINKS,47440,925.8
Communities and Local Government,Homes and Communities Agency,26/08/2010,WORKING LUNCHES,FINANCE & CORPORATE SERVICES,AMEY COMMUNITY LIMITED,302569,927.35
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,YORKSHIRE & THE HUMBER,TEP-THE ENVIRONMENT PARTNERSHIP,301720,927.38
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,NORTH EAST,TEP-THE ENVIRONMENT PARTNERSHIP,301714,934.42
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,C-ELECT ASSOCIATES LIMITED,302344,934.73
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,SOUTH WEST,RPS GROUP PLC,302357,936.6
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,302558,937.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,DISPOSAL FEES-ENGINEERING,PLACE MAKING,WYG ENGINEERING LTD,297510,939.34
Communities and Local Government,Homes and Communities Agency,12/08/2010,SITE INVESTIGATION,MILTON KEYNES PARTNERSHIP,ASPECT ECOLOGY LTD,301585,940.17
Communities and Local Government,Homes and Communities Agency,05/08/2010,BUILDINGS-ELECTRICITY,LONDON,BRITISH GAS BUSINESS,300445,-940.2
Communities and Local Government,Homes and Communities Agency,12/08/2010,BUILDING DECS AND AD HOC WORKS,FINANCE & CORPORATE SERVICES,LINAKER LIMITED,300044,941.5
Communities and Local Government,Homes and Communities Agency,26/08/2010,SUNDRIES,PLACE MAKING,FRIENDS HOUSE,301569,943.67
Communities and Local Government,Homes and Communities Agency,19/08/2010,BUILDINGS-ELECTRICITY,LONDON,SOUTHERN ELECTRIC,301873,945.48
Communities and Local Government,Homes and Communities Agency,19/08/2010,PANEL FEES-PROPERTY SERVICES,LONDON,DRIVERS JONAS DELOITTE,301819,949.38
Communities and Local Government,Homes and Communities Agency,26/08/2010,PHOTOCOPIER LEASING,FINANCE & CORPORATE SERVICES,XEROX (UK) LTD,302518,949.52
Communities and Local Government,Homes and Communities Agency,12/08/2010,OTHER PROFESSIONAL FEES,LONDON,STEPHENSON HARWOOD,298819,950
Communities and Local Government,Homes and Communities Agency,12/08/2010,OTHER PROFESSIONAL FEES,LONDON,STEPHENSON HARWOOD,301550,-950
Communities and Local Government,Homes and Communities Agency,31/08/2010,GENERIC LEARNING,PLACE MAKING,SHINE,47563,951.75
Communities and Local Government,Homes and Communities Agency,19/08/2010,SITE INVESTIGATION,MILTON KEYNES PARTNERSHIP,BERNWOOD ECS LTD,302136,951.9
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDINGS-WATER,PLACE MAKING,SEVERN TRENT WATER LTD,302926,952.3
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,LONDON,BERWIN LEIGHTON PAISNER,295236,954.1
Communities and Local Government,Homes and Communities Agency,12/08/2010,MAIN CONTRACT 1,EAST MIDLANDS,MILETREE CONSTRUCTION,300111,954.8
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,YORKSHIRE & THE HUMBER,BADENOCH & CLARK,301400,956.73
Communities and Local Government,Homes and Communities Agency,19/08/2010,PLANNED PREVENTATIVE MAINT CON,FINANCE & CORPORATE SERVICES,COFELY LIMITED,301591,957.08
