Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES-LEGAL,NORTH WEST,FORSHAWS DAVIES RIDGWAY LLP,300972,24
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47810,-25.22
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47811,-25.22
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,DIRECT TAXIS,301846,25.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,LEGAL FEES,FINANCE & CORPORATE SERVICES,HEWITSONS SOLICITORS,300443,26
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47810,-27.94
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47811,-27.94
Communities and Local Government,Homes and Communities Agency,05/08/2010,LEGAL FEES,PLACE MAKING,FORSHAWS DAVIES RIDGWAY LLP,299367,28
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,NORTH WEST,DIRECT TAXIS,297790,28
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,LONDON,DIRECT TAXIS,297790,30
Communities and Local Government,Homes and Communities Agency,19/08/2010,MISC PROFESSIONAL FEES,SOUTH WEST,DENTON WILDE SAPTE,302356,30
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,DIRECT TAXIS,297790,31
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,FORSHAWS DAVIES RIDGWAY LLP,301077,32
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,LONDON,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,33.3
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,33.6
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,33.6
Communities and Local Government,Homes and Communities Agency,19/08/2010,ENGINEERING CONSULTANTS,PLACE MAKING,ATKINS LTD,298726,34.34
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47544,34.8
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,QUAYSTONE CONSTRUCTION LIMITED,302577,35
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,PLACE MAKING,DENTON WILDE SAPTE,302306,35
