SUPPLIER NAME,?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER ID
NIC PORTER ASSOCIATES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,01/03/2013,223987,1260,101581
COOPER PLUMBING,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PLANNED MAINTENANCE - GROVE,22/03/2013,225555,1257.05,100110
BROXAP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,28/03/2013,225959,1254,101567
CORONA ENERGY,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,GAS,01/03/2013,224244,1238.11,100113
ROYAL MAIL GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,POSTAGES,28/03/2013,226062,1237.69,100469
THE MOBILITY EQUIPMENT CO LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,28/03/2013,225912,1237,100550
JNE PROPERTY MAINTENANCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,08/03/2013,224777,1229.6,101268
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,22/03/2013,225512,1221.97,101886
BARNBYGATE METHODIST CHURCH,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PROFESSIONAL SERVICES,28/03/2013,225818,1220,100714
THE ENERGY AUDIT COMPANY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226053,1200,100545
CLASSIC DRINKS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,LICENSED BAR PROVISIONS,15/03/2013,225044,1192.56,100794
SEVERN TRENT WATER LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,METERED WATER CHARGE,15/03/2013,225032,1174.93,100487
ZURICH INSURANCE PLC,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM OFFICIALS INDEMNITY,22/03/2013,225329,1173,100937
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM PROPERTY,28/03/2013,226014,1151.38,100620
WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PRINTING,15/03/2013,225037,1150,100602
ORANGE PERSONAL COMMUNICATIONS,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,MOBILE PHONE COSTS,08/03/2013,224620,1135.63,100410
DESIGN BY DISTRACTION LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,28/03/2013,225957,1131.67,100126
MOBILE MINI LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PREMISES REPAIRS & RENEWALS,08/03/2013,224772,1128,101882
NEWARK & SHERWOOD CVS,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,COUNCIL FOR VOLUNTARY SERVICES,15/03/2013,225152,1126,101027
HMCTS,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,LEGAL FEES COURTS,01/03/2013,224231,1113,101145
NAVMAN WIRELESS UK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,28/03/2013,226190,1105,100353
CIPFA BUSINESS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,B300,PROFESSIONAL SERVICES,01/03/2013,224122,1100,100090
CORE BUSINESS SYSTEMS,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,08/03/2013,224704,1100,101860
NEWARK SECURITY SERVICES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,01/03/2013,223982,1050,100371
40SEVEN LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,01/03/2013,224228,1050,101845
HGR - MARIO STANKOVIC,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,15/03/2013,225015,1042.8,100208
DERRY BUILDING SERVICES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,08/03/2013,224729,1038.8,100125
OAK INDUSTRIAL SUPPLIES LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CLOTHING AND UNIFORMS,01/03/2013,224103,1020.58,100401
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM MONEY,28/03/2013,226014,1008.4,100620
ORANGE PERSONAL COMMUNICATIONS,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,MOBILE PHONE COSTS,28/03/2013,225979,1002.07,100410
ROLLESTON PARISH COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,22/03/2013,225584,1000,100466
TURNER & TOWNSEND PROJECT MANAGEMENT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CHANGE MANAGEMENT,01/03/2013,224147,1000,101826
SOUTHWELL TOWN BOWLS CLUB,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,SPORTS DEVELOPMENT & EVENTS,15/03/2013,224924,1000,101912
NEWARK AND SHERWOOD SPORTS COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,SPORT UNLIMITED,01/03/2013,224151,1000,101895
NEWARK SPORTS ASSOCIATION,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,SPORT UNLIMITED,08/03/2013,224700,1000,101897
CONFETTI CONSTELLATIONS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CHANGE MANAGEMENT,22/03/2013,225352,1000,101859
FOCUS ON YOUNG PEOPLE IN BASSETLAW,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,22/03/2013,225393,1000,101866
THE POTENT MIX,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,01/03/2013,224018,1000,101916
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM SOUTHWELL LEISURE CNTR,28/03/2013,226012,995.92,100620
SOLON SECURITY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,15/03/2013,225068,992.5,101459
COMENSURA LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,AGENCY STAFF,28/03/2013,226258,980.77,100106
CLUB SALES UNLIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,FREELANCE INSTRUCTORS,28/03/2013,225887,980,101857
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM PUBLIC HEALTH ACT,28/03/2013,226014,975.2,100620
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CHANGE MANAGEMENT,22/03/2013,225351,975,101848
JCP POWER & DATA CONTRACTORS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PRINTING,28/03/2013,226152,960,100243
RUMBLES CATERING PROJECT,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,01/03/2013,223990,960,100472
SALFORD CITY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,CONSULTANTS,28/03/2013,226194,960,101369
COMENSURA LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,AGENCY STAFF,15/03/2013,225089,954.97,100106
COMENSURA LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,AGENCY STAFF,28/03/2013,225823,954.97,100106
XN LEISURE SYSTEMS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,01/03/2013,224295,950,100616
AURA JOURNEYS,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CHAUFFEUR SERVICES,08/03/2013,224646,949.62,101222
AQUATROL,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,REPAIRS AND MAINTENANCE,28/03/2013,226205,935,101341
NEWARK AND SHERWOOD HOMES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,COMPUTER SOFTWARE,28/03/2013,226262,929.17,100366
REGINA OFFICE,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PRINTING,15/03/2013,225142,922,100450
WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/03/2013,224719,920,100602
WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PRINTING,28/03/2013,226167,920,100602
ORANGE PERSONAL COMMUNICATIONS,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,MOBILE PHONE COSTS,08/03/2013,224621,917.53,100410
CLUB SALES UNLIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,FREELANCE INSTRUCTORS,08/03/2013,224581,915.99,101857
EDF ENERGY 1 LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ELECTRICITY,15/03/2013,225071,914.73,101140
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM PERSONAL ACCIDENT EMP,28/03/2013,226014,912.94,100620
COOPER PLUMBING,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,22/03/2013,225577,907.8,100110
EON ENERGY SERVICES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/03/2013,224755,900,101296
ACCEPT MANAGEMENT,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROFESSIONAL SERVICES,08/03/2013,224590,900,101627
RVS GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,28/03/2013,225980,900,101676
SM DESIGN UK,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PRINTING,28/03/2013,225904,895,101666
UNIVAR LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,POOL CHEMICALS,01/03/2013,224125,887.39,100584
FREIGHT TRANSPORT ASSOCIATION,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PROFESSIONAL SERVICES,08/03/2013,224606,883,100901
ORANGE PERSONAL COMMUNICATIONS,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,MOBILE PHONE COSTS,28/03/2013,225978,878.54,100410
HMCTS,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,LEGAL FEES COURTS,28/03/2013,226129,876,101145
CIVICA LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PROFESSIONAL SERVICES,22/03/2013,225354,875,100092
JNE PROPERTY MAINTENANCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,01/03/2013,224337,869.8,101268
BRITISH GAS BUSINESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,ELECTRICITY,28/03/2013,225860,866.28,100840
TALON MUSIC LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,15/03/2013,224965,863.7,101056
JCP POWER & DATA CONTRACTORS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PLANNED MAINTENANCE - GROVE,28/03/2013,226154,857,100243
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,22/03/2013,225529,856.54,101892
PC WORLD BUSINESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,COMPUTER EQUIPMENT PURCHASE,08/03/2013,224623,855.03,101899
ING LEASE (UK) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,28/03/2013,225998,850.85,100225
BROWN ADVERTISING & DESIGN,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CAR PARK TICKETS,15/03/2013,225017,846.5,100061
SAFE AND SOUND,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,22/03/2013,225548,840,101909
DAVID P FORMON B.D.C LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,22/03/2013,225594,839.72,100122
JCP POWER & DATA CONTRACTORS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PREMISES SECURITY,28/03/2013,226160,835,100243
STORM TECHNOLOGIES,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,HARDWARE MAINTENANCE,28/03/2013,226236,832.4,101697
JCP POWER & DATA CONTRACTORS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PREMISES REPAIRS & RENEWALS,28/03/2013,226153,830,100243
COMBINE FABS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,15/03/2013,225134,820,101858
CHILD SUPPORT AGENCY,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,ATTACHMENT OF EARNINGS,28/03/2013,225886,819.43,100086
WILLSONS PRINTERS (NEWARK) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,STATIONERY,08/03/2013,224652,818.63,100607
WILLSONS PRINTERS (NEWARK) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,EXTERNAL PRINTING,08/03/2013,224679,815.55,100607
THE STAGE AND PRODUCTION HOUSE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,08/03/2013,224592,803,101063
EDMUNDSON ELECTRICAL LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226245,802.56,101640
CLUB SALES UNLIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,FREELANCE INSTRUCTORS,15/03/2013,225062,800,101857
CLUB SALES UNLIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,FREELANCE INSTRUCTORS,28/03/2013,225847,800,101857
OAK INDUSTRIAL SUPPLIES LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CLOTHING AND UNIFORMS,08/03/2013,224601,799.7,100401
THE DUKERIES ACADEMY,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,METERED WATER CHARGE,22/03/2013,225378,798.41,101837
SCOTTISH WIDOWS PLC,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,SUPERANNUATION,01/03/2013,224239,795,101485
SCOTTISH WIDOWS PLC,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,SUPERANNUATION,28/03/2013,225813,795,101485
SALFORD CITY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,CONSULTANTS,01/03/2013,224331,792,101369
DERRY BUILDING SERVICES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,01/03/2013,224085,785.53,100125
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,22/03/2013,225524,785.33,101893
JCP POWER & DATA CONTRACTORS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,28/03/2013,226157,785,100243
BLUE LEAF GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,GROUNDS MAINTENANCE,28/03/2013,225918,780,101749
BLUE LEAF GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,GROUNDS MAINTENANCE,28/03/2013,225923,780,101749
CLUB SALES UNLIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,FREELANCE INSTRUCTORS,28/03/2013,225846,780,101857
G4S CASH SOLUTIONS (UK) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,22/03/2013,225618,774.32,100731
S & J BURGIN LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,REPAIRS AND MAINTENANCE,08/03/2013,224639,770,101654
COUNTY SIGN AGENCY,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,28/03/2013,226105,768,100115
STAGE ELECTRICS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,OTHER EQUIPMENT AND TOOLS,15/03/2013,225047,764.25,100517
DAISY COMMUNICATIONS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B995,TELEPHONES,01/03/2013,224232,761.08,100847
TAKE ONE MEDIA LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,ADVERTISING,01/03/2013,224283,757,100535
BAZZOO LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,ADVERTISING,08/03/2013,224619,755,101372
LIBERATA (UK) LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PROFESSIONAL SERVICES,22/03/2013,225526,753.28,101879
J P LENNARD LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,OTHER EQUIPMENT AND TOOLS,22/03/2013,225384,751.97,100234
JCP POWER & DATA CONTRACTORS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,28/03/2013,226153,750,100243
LEEDS CITY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,B300,PROFESSIONAL SERVICES,28/03/2013,225996,750,100958
FARNSFIELD TENNIS CLUB,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,SPORTS DEVELOPMENT & EVENTS,28/03/2013,226138,750,101299
KINGS CHAMBERS,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,28/03/2013,226208,750,101383
GERALD EVE LLP,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,REPAIRS AND MAINTENANCE,01/03/2013,223977,750,101868
WALLACE FIFE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,CONSULTANTS,22/03/2013,225340,740.95,101554
BRITISH GAS,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,GAS,08/03/2013,224674,740.24,101852
OLD HALL NURSERIES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,225950,739.2,100405
BRITISH GAS BUSINESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,ELECTRICITY,28/03/2013,225837,739.1,100840
EDMUNDSON ELECTRICAL LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/03/2013,225321,735.68,101640
TRENT VALLEY INTERNAL DRAINAGE BOARD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,28/03/2013,226259,735.09,101631
DAISY COMMUNICATIONS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B995,TELEPHONES,28/03/2013,225987,734.99,100847
BRITISH GAS BUSINESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ELECTRICITY,28/03/2013,225840,733.92,100840
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,22/03/2013,225514,732.42,101888
PHS COMPLIANCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,15/03/2013,225052,731.8,101900
PARKS AND PLAYGROUND SOLUTIONS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,28/03/2013,226036,722.75,101034
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,FREELANCE INSTRUCTORS,15/03/2013,225114,720,101780
WILLSONS PRINTERS (NEWARK) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CORPORATE COMMUNICATION,28/03/2013,226095,710,100607
ESPO,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,15/03/2013,225101,708.7,100154
BRITISH STANDARDS INSTITUTE,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,SUBSCRIPTIONS,01/03/2013,224078,706,101491
SIEMENS PLC,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,28/03/2013,226132,700.04,101107
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CHAIRMAN - PERSONAL ALLOWANCE,08/03/2013,224665,700,101482
JNE PROPERTY MAINTENANCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PREMISES REPAIRS & RENEWALS,22/03/2013,225600,698.2,101268
SECURITY2,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,01/03/2013,223998,696,100483
STUDIOSPARES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,OTHER EQUIPMENT AND TOOLS,28/03/2013,225906,683.9,101913
WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,28/03/2013,226203,680,100602
TOTAL TILING SOLUTIONS,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,15/03/2013,224957,680,101625
SWIMMING TEACHERS ASSOCIATION,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,LICENSED BAR PROVISIONS,15/03/2013,225100,671.5,100530
HY-ACC SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,28/03/2013,226085,668.7,101874
WOLVERSON FITNESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,OTHER EQUIPMENT AND TOOLS,28/03/2013,225963,660,101922
COOPER PLUMBING,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,15/03/2013,224940,659.85,100110
WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224190,658,100602
SWIMRITE SUPPLIES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,LICENSED BAR PROVISIONS,15/03/2013,225104,657.91,100531
JCP POWER & DATA CONTRACTORS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,28/03/2013,226163,656,100243
MOBILE MINI LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PREMISES REPAIRS & RENEWALS,08/03/2013,224770,654,101882
GPR CONSTRUCTION LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,15/03/2013,225036,650,100190
ULTIMATE PERFORMANCE BUSINESS SOLUTIONS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,08/03/2013,224597,650,100581
XN LEISURE SYSTEMS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,COMPUTER EQUIPMENT PURCHASE,01/03/2013,224297,650,100616
CUMMINS-ALLISON LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,01/03/2013,224035,649,101001
CIPR LOCAL GOVERNMENT GROUP,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,08/03/2013,224120,645,101856
PHS COMPLIANCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,01/03/2013,224174,644.8,101900
