Supplier,Amount,Payment Date
CNV LTD,2015.96,11/02/2014
COASTAL CARE HOME LTD T/AS BISHOPSTEIGNTON HOUSE,2100,25/02/2014
COMMUNICATION & TECHNICAL SERVICES LTD,521.18,26/02/2014
COMMUNITY LINKS TRADING LIMITED,546,04/02/2014
COMMUNITY MATTERS,1320,03/02/2014
COMMUNITY OPTIONS,91910,11/02/2014
COMMUNITY SYSTEMS (NORTH LONDON) LTD,2083,25/02/2014
COMMUNITY SYSTEMS (NORTH LONDON) LTD,1666,25/02/2014
COMPUTERSHARE VOUCHER SERVICES,1142.89,26/02/2014
COMSOFT DIRECT LTD,2400,06/02/2014
COMSOFT DIRECT LTD,1920,10/02/2014
COMSOFT DIRECT LTD,1200,10/02/2014
COMSOFT DIRECT LTD,2400,19/02/2014
COMSOFT DIRECT LTD,2400,19/02/2014
COMSOFT DIRECT LTD,2400,19/02/2014
COMSOFT DIRECT LTD,2400,24/02/2014
CONNECT FAMILY PLACEMENTS LTD,3804.32,06/02/2014
CONNECT FAMILY PLACEMENTS LTD,3804.32,06/02/2014
CONNEVANS LTD,4698.34,05/02/2014
CONTACT COMMUNICATIONS LTD,11093.09,11/02/2014
CONTACT COMMUNICATIONS LTD,16563.49,25/02/2014
CONTINUUM SPORT & LEISURE LTD,3780,25/02/2014
COOPERATIVE BANK COURT FEES AC,10915,28/02/2014
CRAEGMOOR OLD RECTORY BREDE PRIORY,5051.72,25/02/2014
CRAEGMOOR SEABREEZES PRIORY,5769.52,25/02/2014
CREATE CONSULTING ENGINEERS LTD,3209.87,11/02/2014
CRESCENT COMMERCIAL STATIONERY & COMPUTER SUPS LTD,585.6,25/02/2014
CROMWOOD LTD,880,13/02/2014
CROMWOOD LTD,1760,28/02/2014
CRYSTAL CURTAINS & BLINDS,867.31,10/02/2014
CRYSTAL WINDOWS & DOORS LTD,650,06/02/2014
CSTS LTD,2026.68,27/02/2014
CUNNINGHAM LINDSEY UK,3168,21/02/2014
CYCLEHOOP LTD,2616,20/02/2014
CYM CENTRE FOR YOUNG MUSICIANS,1406.5,21/02/2014
CYMAR COMPUTER LTD,979.2,24/02/2014
D & G SULLIVAN,566.82,27/02/2014
D CATCHESIDES LTD,15112.74,03/02/2014
