Asset _Number,Asset_Details,UPRN,Road,Postcode,Town,MAP_EAST,MAP_NORTH,FR/LH,Tenure
117,Cove Green Pavilion,,Prospect Road,GU14 ODX,Farnborough,,,Freehold,Licenced Out
118,Cove Green Allotments,,Prospect Road,N/A,Farnborough,,,Freehold,Licenced Out
119,Canterbury Road  Bowling Green Pavilion,,Canterbury Road,GU14 6NS,Farnborough,,,Freehold,Ground Leasehold
122,Horn Road Bowling Green ,,Horn Road,GU14 8RW,Farnborough,,,Freehold,Ground Leasehold
127,Amenity Land adj. M3,,Minley Road,N/A,Farnborough,,,Freehold,Owner Occupied
128,Keith Lucas Land,,N/A,N/A,Farnborough,,,Freehold,Owner Occupied
132,Westglade Land,,Westglade,N/A,Farnborough,,,Freehold,Owner Occupied
141,Ivy Road Rec. Ground - Land,,Ivy Road,N/A,Farnborough,,,Freehold,Licenced Out
143,Aldershot Football Club,,High Street,GU11 1TW,Aldershot,,,Freehold,Leased Out
147,Redan Hill Gardens,,Redan Road,N/A,Farnborough,,,Freehold,Owner Occupied
150,Princes Gardens - Gardens,,High Street,N/A,Aldershot,,,Freehold,Owner Occupied
151,"Municipal Gardens, Aldreshot",,Grosvenor Road,N/A,Aldershot,,,Freehold,Owner Occupied
154,Manor Park Cottage,,St Georges Road East,GU12 4JQ,Aldershot,,,Freehold,Leased Out
155,Manor Park Lodge,,Church Hill,GU12 4JU,Aldershot,,,Freehold,Leased Out
167,Aldershot Crematorium - Crem,,Guildford Road,GU12 4BP,Aldershot,,,Freehold,Owner Occupied
169,Aldershot Stubbs,,Hollybush Lane,N/A,Aldershot,,,Freehold,Owner occupied
170,Rowhill Copse Nature Reserve,,Cranmore Lane,N/A,Aldershot,,,Freehold,Owner occupied
175,Redan Road Cemetery - Land,,Redan Road,N/A,Aldershot,,,Freehold,Owner Occupied
176,Redan Road Cemetery - Chapel & Store,,Redan Road,N/A,Aldershot,,,Freehold,Owner Occupied
180,Princes Hall Complex,,Princes Way,GU11 1NX,Aldershot,,,Freehold,Owner Occupied
182,Gymnastics Academy,,Guildford Road,GU11 3SN,Aldershot,,,Freehold,Leased Out
183,Aldershot Cricket Club Premises,,Guildford Road,GU12 4BP,Aldershot,,,Freehold,Leased Out
187,Beaumont Community Centre,,Beaumont Grove,GU11 1QJ,Aldershot,,,Freehold,Licenced Out
188,12 Arthur Street,,Arthur Street,GU11 1HL,Aldershot,,,Freehold,Vacant
195,Council Offices,,Farnborough Road,GU14 7JU,Farnborough,,,Freehold,Part Owner Occupied/part Let
197,"High Street PC's, Farnborough",,High Street,N/A,Farnborough,,,Freehold,Owner Occupied
238,Cove Green Public Conveniences.,,Prospect Road,N/A,Farnborough,,,Freehold,Owner Occupied
244,Prince Charles Recreation Ground,,Prince Charles Crescent,N/A,Farnborough,,,Freehold,Owner Occupied
266,Cove Green Playground,,Prospect Road,N/A,Farnborough,,,Freehold,Owner Occupied
267,Fairfax Road Playground,,Fairfax Road,N/A,Farnborough,,,Freehold,Owner Occupied
268,Irvine Drive Playground,,Irvine Drive,N/A,Farnborough,,,Freehold,Owner Occupied
274,Prince Charles Crescent Playground,,Prince Charles Crescent,N/A,Farnborough,,,Freehold,Owner Occupied
279,Sunnybank Road Playground,,Sunnybank Road,N/A,Farnborough,,,Freehold,Owner Occupied
289,Ainger Close Recreation ground,,Ainger Close,N/A,Aldershot,,,Freehold,Owner Occupied
291,Alexandra Road Allotments,,Alexandra Road,N/A,Aldershot,,,Freehold,Owner Occupied
293,Ainger Close Amenity Land,,Ainger Close,N/A,Aldershot,,,Freehold,Owner occupied
306,Sandown Crescent Amenity Land,,Sandown Crescent,N/A,Aldershot,,,Freehold,Owner Occupied
309,Greenway Playground,,Green Way,N/A,Aldershot,,,Freehold,Owner Occupied
310,Kingsway Playground,,Kingsway,N/A,Aldershot,,,Freehold,Owner Occupied
315,Southwood Village Green,,Summit Avenue,N/A,Farnborough,,,Freehold,Owner Occupied
316,Aldershot Park Public Conveniences,,Guildford Road,N/A,Aldershot,,,Freehold,Owner Occupied
320,Farnborough Gate Pavilion ,,Ringwood Road,GU14 8BL,Farnborough,,,Freehold,Owner occupied
323,R/O 193 Lynchford Road,,Lynchford Road,N/A,Aldershot,,,Freehold,Owner Occupied
354,Cumbria Court Playground,,Cumbria Court,N/A,Farnborough,,,Freehold,Owner Occupied
356,Laurel Gardens Amenity Land,,Boxalls Lane,N/A,Aldershot,,,Freehold,Owner occupied
361,Ethy Copse,,Trunk Road,N/A,Farnborough,,,Freehold,Owner Occupied
363,Southwood Woodlands,,Kennels Lane,N/A,Farnborough,,,Freehold,Owner occupied
371,Manor Park Toilets,,Church Hill,N/A,Aldershot,,,Freehold,Owner Occupied
372,Bridge Road Amenity Land,,Bridge Road,N/A,Aldershot,,,Freehold,Owner Occupied
382,"Ski Centre, Aldershot",,Gallwey Road,GU11 2DD,Aldershot,,,Freehold,Owner Occupied
390,Kings Moat Car Park,,Westmead,GU14 7SU,Farnborough,,,Freehold,Owner Occupied
401,Water Lane Playground,,Water Lane,N/A,Farnborough,,,Freehold,Owner Occupied
403,237 High Street,,High Street,GU11 1TJ,Aldershot,,,Freehold,Vacant
405,Wellesley House,,Eelmoor Road,GU14 7QN,Farnborough,,,Freehold,"Part Vacant, Part Leased Out"
406,Lysons Avenue Depot,,Lysons Avenue,GU12 5QF,Ash Vale,,,Freehold,Owner Occupied
407,168 High Street,,High Street,GU1 3HW,Guildford,,,Freehold,Leased Out
408,Optrex Business Park,,Ridge Lane,RG27 9AY,Rotherwick,,,Freehold,Leased Out
409,114-116 Dominion Road,,Dominion Road,BN14 8JP,Worthing ,,,Freehold,Leased Out
410,31  Hercules Way,,Hercules Way,GU14 6UU,Farnborough,,,Freehold,Leased Out
411,60-62 Union Street,,Union Street,GU11 1EW,Aldershot,,,Freehold,Leased Out
414,North Lane Lodge,,North Lane,GU12 4SU,Aldershot,,,Leasehold,leased Out
415,58 Union Street,,Union Street,GU11 1EW,Aldershot,,,Freehold,leased Out
416,20 Blackwater Way,,Blackwater Way,GU12 4DP,Aldershot,,,Freehold,Leased Out
