Resource/Capital,Budget Boundary,Category,PESA dept group (excl splits),Dept group alias (excl splits),NAC,Economic category,Code,Code description,SBI,Activity,Spending programme,April 2010 MTH,May 2010 MTH,June 2010 MTH,July 2010 MTH,August 2010 MTH,September 2010 MTH,,,
Resource,DEL,GCA,Northern Ireland Office,Northern Ireland Office,B3501,Gross current procurement,P4003DA0,P40Political Directorate DEL admin,SBI40,ACT0801,SBI40 ACT08 Other,59,"1,166",793,586,667,404,,,
Resource,DEL,GCA,Northern Ireland Office,Northern Ireland Office,B3502,Income from sales of goods and services,P4003DA0,P40Political Directorate DEL admin,SBI40,ACT0801,SBI40 ACT08 Other,-369,-319,"-1,045",-281,-599,-632,,,
Resource,DEL,GCA,Northern Ireland Office,Northern Ireland Office,B9001,Depreciation ,P4003DA0,P40Political Directorate DEL admin,SBI40,ACT0801,SBI40 ACT08 Other,130,130,131,125,128,127,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,A1501,Pay,P09EC002,P09Office of Rail Regulation  AA101 DEL ADMIN UK,SBI09,ACT0101,SBI09 ACT01 Economic Regulation,448,439,488,437,571,461,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,A1501,Pay,P09EC009,P09Office of Rail Regulation (Safety) A101 DEL ADMIN UK,SBI09,ACT0102,SBI09 ACT01 Safety Regulation,780,761,780,768,"1,077",792,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,A1503,Pay,P09EC002,P09Office of Rail Regulation  AA101 DEL ADMIN UK,SBI09,ACT0101,SBI09 ACT01 Economic Regulation,130,131,136,129,151,124,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,A1503,Pay,P09EC009,P09Office of Rail Regulation (Safety) A101 DEL ADMIN UK,SBI09,ACT0102,SBI09 ACT01 Safety Regulation,228,228,225,224,271,235,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,B3501,Gross current procurement,P09EC002,P09Office of Rail Regulation  AA101 DEL ADMIN UK,SBI09,ACT0101,SBI09 ACT01 Economic Regulation,356,279,222,261,267,190,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,B3501,Gross current procurement,P09EC009,P09Office of Rail Regulation (Safety) A101 DEL ADMIN UK,SBI09,ACT0102,SBI09 ACT01 Safety Regulation,481,475,468,469,336,365,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,B3801,Other,P09EC002,P09Office of Rail Regulation  AA101 DEL ADMIN UK,SBI09,ACT0101,SBI09 ACT01 Economic Regulation,0,0,0,0,0,0,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,B3801,Other,P09EC009,P09Office of Rail Regulation (Safety) A101 DEL ADMIN UK,SBI09,ACT0102,SBI09 ACT01 Safety Regulation,0,0,0,0,0,1,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,B4501,Other,P09EC002,P09Office of Rail Regulation  AA101 DEL ADMIN UK,SBI09,ACT0101,SBI09 ACT01 Economic Regulation,"-3,002",0,"-1,138","-2,996",0,-69,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,B4501,Other,P09EC009,P09Office of Rail Regulation (Safety) A101 DEL ADMIN UK,SBI09,ACT0102,SBI09 ACT01 Safety Regulation,-16,-7,-758,-12,"-17,455",-299,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,B9001,Depreciation ,P09EC002,P09Office of Rail Regulation  AA101 DEL ADMIN UK,SBI09,ACT0101,SBI09 ACT01 Economic Regulation,17,18,18,18,18,18,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,B9001,Depreciation ,P09EC009,P09Office of Rail Regulation (Safety) A101 DEL ADMIN UK,SBI09,ACT0102,SBI09 ACT01 Safety Regulation,26,28,28,28,28,28,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,B9501,Depreciation ,P09EC002,P09Office of Rail Regulation  AA101 DEL ADMIN UK,SBI09,ACT0101,SBI09 ACT01 Economic Regulation,7,6,5,5,5,1,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,B9501,Depreciation ,P09EC009,P09Office of Rail Regulation (Safety) A101 DEL ADMIN UK,SBI09,ACT0102,SBI09 ACT01 Safety Regulation,10,9,8,8,8,2,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,D4001,Net public service pensions,P09EC002,P09Office of Rail Regulation  AA101 DEL ADMIN UK,SBI09,ACT0101,SBI09 ACT01 Economic Regulation,0,0,0,0,0,0,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,D4001,Net public service pensions,P09EC009,P09Office of Rail Regulation (Safety) A101 DEL ADMIN UK,SBI09,ACT0102,SBI09 ACT01 Safety Regulation,0,0,0,0,0,0,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,L1001,Take-up of provisions ,P09EC002,P09Office of Rail Regulation  AA101 DEL ADMIN UK,SBI09,ACT0101,SBI09 ACT01 Economic Regulation,16,15,35,15,-10,15,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,L1001,Take-up of provisions ,P09EC009,P09Office of Rail Regulation (Safety) A101 DEL ADMIN UK,SBI09,ACT0102,SBI09 ACT01 Safety Regulation,25,24,55,23,-15,8,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,L4501,Unwinding of the discount rate on pension scheme liabilities,P09EC002,P09Office of Rail Regulation  AA101 DEL ADMIN UK,SBI09,ACT0101,SBI09 ACT01 Economic Regulation,0,0,0,0,0,0,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,L4501,Unwinding of the discount rate on pension scheme liabilities,P09EC009,P09Office of Rail Regulation (Safety) A101 DEL ADMIN UK,SBI09,ACT0102,SBI09 ACT01 Safety Regulation,0,0,0,0,0,0,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,S3001,Other,P09EC002,P09Office of Rail Regulation  AA101 DEL ADMIN UK,SBI09,ACT0101,SBI09 ACT01 Economic Regulation,0,0,0,0,0,0,,,
Resource,DEL,GCA,Transport,Office of Rail Regulation,S3001,Other,P09EC009,P09Office of Rail Regulation (Safety) A101 DEL ADMIN UK,SBI09,ACT0102,SBI09 ACT01 Safety Regulation,0,0,0,0,0,1,,,
Resource,DEL,GCA,Transport,Transport,A1501,Pay,P0710185,P07Highway Agency Adminstration DEL GCA CG (AA101) (ENG),SBI07,ACT0112,SBI07 ACT01 Highways Agency.,"4,428","4,429","4,443","4,438","4,595","3,620",,,
Resource,DEL,GCA,Transport,Transport,A1501,Pay,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,"4,724","5,335","5,552","5,199","5,103","5,247",,,
Resource,DEL,GCA,Transport,Transport,A1501,Pay,P0710957,P07Rail Group Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,"1,250","1,235","1,232","1,483",772,987,,,
Resource,DEL,GCA,Transport,Transport,A1501,Pay,P0710188,P07Highway Agency Adminstration DEL GCA CG (AA191) (ENG),SBI07,ACT0312,SBI07 ACT03 Highways Agency,-179,-180,897,180,179,352,,,
Resource,DEL,GCA,Transport,Transport,A1501,Pay,P0711170,P07 Government Car and Despatch Agency DEL GCA Admin CG AA101 UK,SBI07,ACT0314,SBI07 ACT03 Government Car & Despatch Agency,997,876,875,948,857,857,,,
Resource,DEL,GCA,Transport,Transport,A1503,Pay,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,"1,224","1,554","1,551","1,394","1,397","1,491",,,
Resource,DEL,GCA,Transport,Transport,A1503,Pay,P0710957,P07Rail Group Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,356,361,309,331,278,332,,,
Resource,DEL,GCA,Transport,Transport,B3501,Gross current procurement,P0710185,P07Highway Agency Adminstration DEL GCA CG (AA101) (ENG),SBI07,ACT0112,SBI07 ACT01 Highways Agency.,"1,878","1,874","1,877","1,875","1,877",884,,,
Resource,DEL,GCA,Transport,Transport,B3501,Gross current procurement,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,88,"6,496","7,300","4,584","5,231","5,270",,,
Resource,DEL,GCA,Transport,Transport,B3501,Gross current procurement,P0710957,P07Rail Group Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,780,501,765,618,838,851,,,
Resource,DEL,GCA,Transport,Transport,B3501,Gross current procurement,P0711170,P07 Government Car and Despatch Agency DEL GCA Admin CG AA101 UK,SBI07,ACT0314,SBI07 ACT03 Government Car & Despatch Agency,833,693,694,493,644,593,,,
Resource,DEL,GCA,Transport,Transport,B3502,Income from sales of goods and services,P0710185,P07Highway Agency Adminstration DEL GCA CG (AA101) (ENG),SBI07,ACT0112,SBI07 ACT01 Highways Agency.,-114,-114,-114,-114,-114,-9,,,
Resource,DEL,GCA,Transport,Transport,B3502,Income from sales of goods and services,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,-978,-367,"-1,666",-413,-31,"-2,534",,,
Resource,DEL,GCA,Transport,Transport,B3502,Income from sales of goods and services,P0711170,P07 Government Car and Despatch Agency DEL GCA Admin CG AA101 UK,SBI07,ACT0314,SBI07 ACT03 Government Car & Despatch Agency,"-1,742","-1,544","-1,543","-1,733","-1,378","-1,500",,,
Resource,DEL,GCA,Transport,Transport,B3801,Other,P0710185,P07Highway Agency Adminstration DEL GCA CG (AA101) (ENG),SBI07,ACT0112,SBI07 ACT01 Highways Agency.,25,25,25,25,25,25,,,
Resource,DEL,GCA,Transport,Transport,B3801,Other,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,0,0,0,0,0,0,,,
Resource,DEL,GCA,Transport,Transport,B3801,Other,P0711170,P07 Government Car and Despatch Agency DEL GCA Admin CG AA101 UK,SBI07,ACT0314,SBI07 ACT03 Government Car & Despatch Agency,4,6,6,6,6,6,,,
Resource,DEL,GCA,Transport,Transport,B6001,Other,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,-32,-66,0,-32,0,-130,,,
Resource,DEL,GCA,Transport,Transport,B9001,Depreciation ,P0710185,P07Highway Agency Adminstration DEL GCA CG (AA101) (ENG),SBI07,ACT0112,SBI07 ACT01 Highways Agency.,140,140,141,141,141,57,,,
Resource,DEL,GCA,Transport,Transport,B9001,Depreciation ,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,409,412,409,376,462,393,,,
Resource,DEL,GCA,Transport,Transport,B9001,Depreciation ,P0711170,P07 Government Car and Despatch Agency DEL GCA Admin CG AA101 UK,SBI07,ACT0314,SBI07 ACT03 Government Car & Despatch Agency,85,63,62,130,62,63,,,
Resource,DEL,GCA,Transport,Transport,L1001,Take-up of provisions ,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,0,0,0,-6,0,0,,,
Resource,DEL,GCA,Transport,Transport,M1001,Current grants to LG,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,0,80,-80,0,0,0,,,
Resource,DEL,GCA,Transport,Transport,S5001,Other,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,0,0,0,0,0,0,,,
Resource,DEL,GCA,Transport,Transport,S6501,Other,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,-5,0,-30,102,26,0,,,
Resource,DEL,GCA,Transport,Transport,S7001,Other,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,-36,15,-259,-70,280,-23,,,
Resource,DEL,GCA,Transport,Transport,S7001,Other,P0710957,P07Rail Group Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,-411,409,2,-585,-4,-784,,,
Resource,DEL,GCA,Transport,Transport,W1601,Other,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,105,105,-25,714,218,-21,,,
Resource,DEL,GCA,Transport,Transport,W1601,Other,P0710957,P07Rail Group Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,0,0,3,42,-45,0,,,
Resource,DEL,GCA,Work and Pensions,Government Equalities Office,A1501,Pay,P6410583,P64 Central administration DEL CG Voted,SBI64,ACT0101,SBI64 ACT01 Administration,480,576,568,513,489,471,,,
Resource,DEL,GCA,Work and Pensions,Government Equalities Office,B3501,Gross current procurement,P6410583,P64 Central administration DEL CG Voted,SBI64,ACT0101,SBI64 ACT01 Administration,88,343,193,261,197,203,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3710015,P37Child Maintenance Enforcement Commission GCA,SBI37,ACT0102,SBI37 ACT01 Children : Administration,"19,576","18,566","18,160","22,718","18,928","18,852",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3710026,P37Child Maintenance Enforcement Commission - Non Voted Admin,SBI37,ACT0102,SBI37 ACT01 Children : Administration,7,1,4,4,4,6,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3740003,P37Disability and Carers Benefits Directorate Non-voted GCA,SBI37,ACT0201,SBI37 ACT02 Working Age Benefits,23,24,25,-71,0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3720062,P37Job Centre Plus GCA (Social Protection),SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,"107,327","104,883","105,257","104,691","104,450","103,195",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3720068,P37Job Centre Plus Agency GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,"73,572","71,895","72,153","71,764","71,599","70,739",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3720070,P37Job Centre Plus Agency Non-voted GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,116,117,105,96,89,92,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3720086,P37Health and Safety Executive GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,"12,822","12,912","12,884","14,841","12,925","12,854",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3720088,P37Health and Safety Executive Non-voted GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,0,45,43,48,82,42,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3720112,P37WWEG (GCA) Running costs,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,"6,673","6,579","6,523","8,050","6,963","6,651",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3724005,P37WWEG Admin Provision Release,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,0,0,0,0,0,7,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3724032,P37WWEG ESG Co-financing,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,-427,-396,-418,-402,-399,-394,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3724036,P37Youth Unemployment Guarantee - JCP,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,0,0,0,0,0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3730007,P37Pensioner Client Group GCA,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,"1,744","1,971","1,632","1,735","1,845","1,574",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3730011,P37 Pension Service Industrial Injury Benefit provision - release,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,48,50,53,54,48,54,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3730013,P37Pensions Agency GCA,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,"20,684","21,347","21,157","23,618","21,735","21,615",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3734001,P37PCG Admin provision Release/cash payment,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,0,0,0,0,0,6,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3740001,P37Disability and Carers Benefits Directorate GCA,SBI37,ACT0401,SBI37 ACT04 Disability : Administration,"9,846","10,161","10,071","7,124","9,315","9,264",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3750001,P37Corporate Services Administration GCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,"30,874","31,074","32,306","30,666","30,020","30,953",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3750003,P37Corporate Services Administration Non-voted GCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,195,197,194,187,184,171,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,A1501,Pay,P3750051,P37Direct Gov GCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,527,540,572,562,540,538,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3710015,P37Child Maintenance Enforcement Commission GCA,SBI37,ACT0102,SBI37 ACT01 Children : Administration,"24,981","26,410","28,146","23,553","27,027","25,095",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3710026,P37Child Maintenance Enforcement Commission - Non Voted Admin,SBI37,ACT0102,SBI37 ACT01 Children : Administration,0,15,36,"2,512",0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3720062,P37Job Centre Plus GCA (Social Protection),SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,"57,962","62,511","61,490","56,063","54,801","51,635",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3720068,P37Job Centre Plus Agency GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,"39,905","42,993","42,343","38,624","37,726","35,590",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3720086,P37Health and Safety Executive GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,"7,504","6,533","6,709","6,296","6,264","5,743",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3720088,P37Health and Safety Executive Non-voted GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,0,0,584,587,601,599,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3720097,P37Job Centre Plus ESF co-financing,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,0,0,0,-1,1,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3720112,P37WWEG (GCA) Running costs,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,"2,623","4,551","1,648","4,441","4,656","3,618",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3724032,P37WWEG ESG Co-financing,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,-20,-13,-22,-25,-13,-7,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3730007,P37Pensioner Client Group GCA,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,-332,"2,974",721,"-1,268",449,761,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3730013,P37Pensions Agency GCA,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,"8,364","15,386","17,370","18,393","14,529","15,758",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3740001,P37Disability and Carers Benefits Directorate GCA,SBI37,ACT0401,SBI37 ACT04 Disability : Administration,"3,981","7,324","8,269","5,931","6,227","6,754",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3750001,P37Corporate Services Administration GCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,"64,530","49,621","53,878","46,406","30,353","52,439",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3750003,P37Corporate Services Administration Non-voted GCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,"60,010","60,822","60,131","60,080","60,574","60,014",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3750034,P37POCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,"5,907","5,945","5,822","5,574","4,164","7,306",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3501,Gross current procurement,P3750051,P37Direct Gov GCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,736,"1,902","1,802","3,622","1,295",496,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3502,Income from sales of goods and services,P3710015,P37Child Maintenance Enforcement Commission GCA,SBI37,ACT0102,SBI37 ACT01 Children : Administration,-225,-210,-243,-200,-199,-201,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3502,Income from sales of goods and services,P3720062,P37Job Centre Plus GCA (Social Protection),SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,-348,-213,-290,-524,-647,-535,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3502,Income from sales of goods and services,P3720068,P37Job Centre Plus Agency GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,-508,-310,-612,-765,-943,-780,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3502,Income from sales of goods and services,P3720086,P37Health and Safety Executive GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,"-8,093","-9,023","-9,580","-9,691","-10,997","-9,435",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3502,Income from sales of goods and services,P3720112,P37WWEG (GCA) Running costs,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,-1,"-1,010",0,-15,-4,214,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3502,Income from sales of goods and services,P3730007,P37Pensioner Client Group GCA,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,-200,45,0,-51,-565,720,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3502,Income from sales of goods and services,P3730013,P37Pensions Agency GCA,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,-143,-202,18,-307,-138,-483,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3502,Income from sales of goods and services,P3740001,P37Disability and Carers Benefits Directorate GCA,SBI37,ACT0401,SBI37 ACT04 Disability : Administration,-68,-96,8,-116,-59,-207,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3502,Income from sales of goods and services,P3750001,P37Corporate Services Administration GCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,"-18,874","-15,486","-22,706","-21,581","-4,527","-26,215",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3502,Income from sales of goods and services,P3750051,P37Direct Gov GCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,0,0,0,0,-45,-22,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3801,Other,P3720068,P37Job Centre Plus Agency GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,30,31,30,30,30,30,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3801,Other,P3720112,P37WWEG (GCA) Running costs,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,0,1,0,0,0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3801,Other,P3730013,P37Pensions Agency GCA,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,10,9,10,11,10,10,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3801,Other,P3740001,P37Disability and Carers Benefits Directorate GCA,SBI37,ACT0401,SBI37 ACT04 Disability : Administration,5,4,5,3,4,4,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B3801,Other,P3750001,P37Corporate Services Administration GCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,163,83,123,123,123,123,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B8501,Other,P3710015,P37Child Maintenance Enforcement Commission GCA,SBI37,ACT0102,SBI37 ACT01 Children : Administration,192,262,42,0,0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B8501,Other,P3720068,P37Job Centre Plus Agency GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,38,20,0,0,0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B8501,Other,P3720086,P37Health and Safety Executive GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,1,6,0,0,0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B8501,Other,P3720112,P37WWEG (GCA) Running costs,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,4,0,141,0,-144,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B8501,Other,P3730007,P37Pensioner Client Group GCA,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,-18,0,0,0,0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B8501,Other,P3730013,P37Pensions Agency GCA,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,14,4,0,0,0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B8501,Other,P3740001,P37Disability and Carers Benefits Directorate GCA,SBI37,ACT0401,SBI37 ACT04 Disability : Administration,7,2,0,0,0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B8501,Other,P3750001,P37Corporate Services Administration GCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,1,14,0,0,0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B9001,Depreciation ,P3710015,P37Child Maintenance Enforcement Commission GCA,SBI37,ACT0102,SBI37 ACT01 Children : Administration,317,318,602,409,410,409,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B9001,Depreciation ,P3720062,P37Job Centre Plus GCA (Social Protection),SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,0,0,0,0,0,0,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B9001,Depreciation ,P3720068,P37Job Centre Plus Agency GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,"9,768","9,985","10,013","-14,318","3,574","3,546",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B9001,Depreciation ,P3720086,P37Health and Safety Executive GCA,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,430,439,438,437,445,493,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B9001,Depreciation ,P3720112,P37WWEG (GCA) Running costs,SBI37,ACT0202,SBI37 ACT02 Working Age : Administration,334,255,250,269,256,241,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B9001,Depreciation ,P3730013,P37Pensions Agency GCA,SBI37,ACT0303,SBI37 ACT03 Pensioners : Administration,"2,953","2,929","2,941","3,329","3,035","1,884",,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B9001,Depreciation ,P3740001,P37Disability and Carers Benefits Directorate GCA,SBI37,ACT0401,SBI37 ACT04 Disability : Administration,"1,405","1,395","1,399","1,009","1,301",808,,,
Resource,DEL,GCA,Work and Pensions,Work and Pensions,B9001,Depreciation ,P3750001,P37Corporate Services Administration GCA,SBI37,ACT0501,SBI37 ACT05 Corporate Services : Administration,"1,428","1,320","5,063","2,341","1,786","1,879",,,
