Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,PC Total Claimants (2017),PC Claimants: Male (60-64 years),PC Claimants: Male (65+ years),PC Claimants: Female (60-64 years),PC Claimants: Female (65+ years),Adults in PC Households,PC Claimants in receipt of disability premium (60+ years),PC Claimants not in receipt of disability premium (60+ years),PC Claimants - part of a couple (60+ years),PC Claimants - part of a couple and pensionable age (60+/65+ years),PC Claimants - part of a couple and working age (60-64 years),PC Claimants - single (60+ years),PC Claimants - single and pensionable age (60+/65+ years),PC Claimants - single and working age (60-64 years)
95XX22,RATHGAEL,NORTH DOWN,70,0,20,0,40,80,30,40,10,10,0,60,60,0
95XX23,SILVERSTREAM,NORTH DOWN,130,0,30,0,100,150,40,90,20,20,0,120,110,0
95XX24,SPRING HILL,NORTH DOWN,60,0,20,0,40,80,20,40,10,10,0,50,50,0
95XX25,WHITEHILL,NORTH DOWN,110,0,30,0,80,130,50,70,20,20,0,100,100,0
95YY01,BERAGH,OMAGH,110,0,50,0,60,130,60,50,20,20,0,90,90,0
95YY02,CAMOWEN,OMAGH,180,0,50,10,120,200,70,110,20,20,0,150,150,0
95YY03,CLANABOGAN,OMAGH,110,0,50,0,60,140,60,50,30,30,0,80,80,0
95YY04,COOLNAGARD,OMAGH,140,0,50,0,80,170,70,70,30,30,0,110,110,0
95YY05,DERGMONEY,OMAGH,100,0,40,0,60,110,60,40,10,10,0,90,80,0
95YY06,DROMORE,OMAGH,130,0,50,0,70,160,70,60,30,30,0,100,100,0
95YY07,DRUMNAKILLY,OMAGH,110,0,40,0,60,140,60,50,30,30,0,80,80,0
95YY08,DRUMQUIN,OMAGH,120,0,70,0,50,150,50,70,30,30,0,90,80,0
95YY09,DRUMRAGH,OMAGH,70,0,30,0,30,80,30,40,10,10,0,50,50,0
95YY10,FAIRY WATER,OMAGH,60,0,30,0,30,80,30,30,20,20,0,40,40,0
95YY11,FINTONA,OMAGH,130,0,50,10,70,160,70,60,30,30,0,110,100,0
95YY12,GORTIN,OMAGH,130,0,50,0,70,150,50,80,30,20,0,100,100,0
95YY13,GORTRUSH,OMAGH,160,0,60,10,100,210,90,80,40,40,0,120,120,0
95YY14,KILLYCLOGHER,OMAGH,100,0,40,0,60,130,60,50,30,20,0,80,80,0
95YY15,LISANELLY,OMAGH,120,0,40,0,80,130,70,50,10,10,0,120,110,0
95YY16,NEWTOWNSAVILLE,OMAGH,110,0,40,0,70,140,50,70,30,30,0,80,80,0
95YY17,OWENKILLEW,OMAGH,100,0,50,0,50,130,40,60,30,30,0,70,70,0
95YY18,SIXMILECROSS,OMAGH,110,0,50,0,60,150,70,40,30,30,0,80,80,0
95YY19,STRULE,OMAGH,120,0,50,0,70,140,60,60,10,10,0,110,110,0
95YY20,TERMON,OMAGH,140,10,70,0,70,200,90,60,60,60,0,80,80,0
95YY21,TRILLICK,OMAGH,90,0,40,0,50,130,50,40,30,30,0,60,60,0
95ZZ01,ARTIGARVAN,STRABANE,140,0,70,0,60,180,60,80,50,50,0,90,90,0
95ZZ02,BALLYCOLMAN,STRABANE,140,0,50,0,90,180,60,80,40,40,0,100,100,0
95ZZ03,CASTLEDERG,STRABANE,220,0,90,10,120,270,120,100,50,50,0,170,170,0
95ZZ04,CLARE,STRABANE,180,0,80,0,100,230,90,100,50,50,0,130,130,0
95ZZ05,DUNNAMANAGH,STRABANE,130,0,60,0,60,160,70,60,30,30,0,90,90,0
95ZZ06,EAST,STRABANE,200,0,100,10,90,250,80,120,50,50,0,160,150,0
95ZZ07,FINN,STRABANE,140,0,60,0,70,180,70,70,40,40,0,100,100,0
95ZZ08,GLENDERG,STRABANE,200,0,100,0,90,260,90,110,60,60,0,130,130,0
95ZZ09,NEWTOWNSTEWART,STRABANE,160,0,70,0,80,200,80,70,40,40,0,120,120,0
95ZZ10,NORTH,STRABANE,160,0,60,10,80,190,80,80,30,30,0,120,120,0
95ZZ11,PLUMBRIDGE,STRABANE,100,0,40,0,50,120,40,60,20,20,0,70,70,0
95ZZ12,SION MILLS,STRABANE,150,0,60,10,70,190,80,70,50,50,0,100,100,0
95ZZ13,SLIEVEKIRK,STRABANE,100,0,40,0,50,130,40,60,30,30,0,70,70,0
95ZZ14,SOUTH,STRABANE,170,0,70,0,90,210,60,110,40,40,0,130,130,0
95ZZ15,VICTORIA BRIDGE,STRABANE,130,0,60,0,70,170,70,60,40,40,0,90,90,0
95ZZ16,WEST,STRABANE,260,10,110,10,140,330,100,170,70,60,0,200,190,0
