Purchased quantities of eating out food & drink by income quintile Averages per person per week Quintile 1	Code	Description			Units	2001-02	2002-03	2003-04	2004-05	2005-06	2006	2007	2008	2009	2010	2011	2012	2013
	eo250102		Coffee, white including cappuccino, latte		ml	19	17	16	22	16	16	16	16	19	15	19	27	21
	eo250103		Coffee, black or white not specified		ml	22	24	25	29	27	24	25	27	22	20	27	23	22
	eo250104		Tea, white (including black or white not specified)		ml	40	40	35	36	36	35	39	29	26	24	36	28	26
	eo250105		Tea, black including Chinese tea, herbal tea, fruit tea		ml	0	1	1	1	0	1	1	1	1	1	1	1	0
	eo250106		Hot chocolate or cocoa, with milk or water		ml	5	3	4	7	4	3	3	5	5	3	4	3	3
	eo260201			Mineral water	ml	15	16	20	32	35	41	27	18	20	17	27	18	30
	eo260202			Soft drink (incl carbonates and still) - low calorie	ml	19	16	21	18	21	21	14	13	11	15	18	18	18
	eo260203			Soft drink (incl carbonates & still) - not low calorie (including drinks where calorie content unspecified)	ml	133	119	131	132	126	126	99	97	86	82	89	91	75
	eo260204			Pure fruit juices	ml	8	9	9	8	8	11	8	7	6	6	9	6	6
	eo260205			Vegetable juices e.g. tomato juice, carrot juice	ml	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo260206			Soft drink where pure juice or juice drink not specified	ml	0	0	0	0	0	0	0	0	0	0	1	3	5
	eo260301			Milk as a drink	ml	4	2	4	3	3	3	2	1	2	2	1	1	1
	eo260302			Milk on cereal	ml	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo260303			Milkshake and flavoured milk	ml	5	4	5	4	3	5	4	2	2	4	4	3	4
	eo260304			Free school milk	ml	19	20	19	13	17	12	7	14	11	12	8	15	11
	eo270101			Spirits	ml	1	1	1	1	0	2	1	1	1	0	0	1	0
	eo270102			Liqueurs	ml	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo270103			Cocktails	ml	0	0	0	0	1	0	0	0	0	0	1	1	0
	eo270104			Spirits or liqueurs with mixer e.g. gin & tonic, Bacardi & coke	ml	4	7	9	9	10	7	9	5	6	6	4	4	5
	eo270201			Wine (not sparkling) including unspecified 'wine'	ml	6	7	7	8	7	6	6	4	11	9	10	9	7
	eo270202			Sparkling wines (e.g. Champagne) and wine with mixer (e.g. Bucks Fizz)	ml	1	1	0	1	0	0	2	0	0	0	0	0	0
	eo270203			Fortified wine e.g. sherry, port, vermouth	ml	0	0	0	0	0	0	1	0	0	0	0	0	0
	eo270204			Cider or perry - half pint or bottle	ml	2	2	1	1	3	2	2	2	1	3	1	1	2
	eo270205			Cider or perry - pint or can or size not specified	ml	2	5	7	18	10	12	25	4	17	35	24	5	4
	eo270206			Alcoholic soft drinks (alcopops), and ready-mixed bottled drinks	ml	13	16	10	13	4	5	2	2	4	3	3	1	0
	eo270301			Bitter - half pint or bottle	ml	13	8	9	5	8	14	6	4	3	10	2	3	5
	eo270302			Bitter - pint or can or size not specified	ml	160	147	147	124	124	99	100	71	101	52	119	98	71
	eo270303			Lager or other beers including unspecified 'beer' - half pint or bottle	ml	28	24	26	15	16	31	16	11	12	12	13	8	10
	eo270304			Lager or other beers including unspecified 'beer' - pint or can or size not specified	ml	190	179	193	174	148	155	151	119	162	119	89	122	52
	eo270401		Round of drinks, alcohol not otherwise specified		ml	8	7	5	10	11	8	9	10	11	9	18	11	6
	eo280101		Solid, unfilled chocolate bars and sweets and unspecified 'chocolate'		g	3	3	3	2	3	3	2	3	2	2	2	1	1
	eo280102		Filled chocolate-coated bars and sweets e.g. Mars, Snickers, Minstrels		g	5	3	5	3	3	2	3	2	2	2	2	2	1
	eo280103		Single chocolate (after dinner)		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo280104		Chewing gum and bubble gum		g	0	0	1	0	0	1	0	0	0	0	0	0	0
	eo280105		Mints e.g. Polo, Extra Strong		g	0	0	1	0	0	0	0	0	0	0	0	0	0
	eo280106		Boiled sweets, jellies and unspecified 'sweets' e.g. fruit gums		g	3	2	2	2	2	2	2	2	1	1	1	1	1
	eo280107		Uncoated toffee or fudge, uncoated e.g. Toffos, chocolate eclairs, caramels		g	0	0	0	0	0	0	0	0	1	0	0	0	0
	eo280108		Pick 'n' mix, nougat, liquorice and other sweets		g	2	2	5	1	3	1	1	0	0	0	0	0	0
	eo290101			Ice cream in a cone, cornet or wafer and ice cream desserts	g	4	4	3	3	3	4	2	3	3	2	2	2	3
	eo290103			Ice cream scoop or tub including ice cream served with dessert	g	1	1	1	1	1	1	1	1	1	1	1	1	1
	eo290104			Iced lollies and sorbets	g	1	1	1	1	0	1	0	0	0	0	1	0	0
	eo290201			Doughnut	g	1	2	2	1	1	1	1	1	1	0	1	1	1
	eo290202			Cream pastries e.g. chocolate eclairs, profiteroles	g	1	1	1	1	1	1	1	1	0	0	0	0	0
	eo290203			Cream sponge or gateau (not chocolate) e.g. Victoria sandwich	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo290204			Rich chocolate cake or chocolate gateau e.g. Death by Chocolate	g	1	0	0	0	0	0	0	0	0	0	1	1	0
	eo290205			Fruit and other pies or pastries	g	3	2	2	3	2	2	3	2	2	3	2	2	3
