Department Family,Entity,Transaction Date,Name,Description,Description,Description,Transaction Reference,Base Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/07/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,NEATH PORT TALBOT COUNTY,0000192837,445.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000193114,1091.61
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000193115,656.49
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000193116,396.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000193117,1334.77
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000193118,424.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000193119,1348.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000193120,281.15
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000193121,2457.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000193122,322.55
