Home And Finance Ltd,"2-4, Station Road, Dalton In Furness, Cumbria, LA15 8DW",5100
Diamond Jim Ltd,"250, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",14750
Mithali Restaurant Ltd,"252-254, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",8400
Mister Mister Ltd,"25-29, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1ST",5800
Waterstones Booksellers Ltd,"25, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",55500
Cumbria Partnership Nhs Foundation Trust,"2-6, Fairfield Lane, Barrow In Furness, Cumbria, LA13 9AH",13500
Angling & Hiking Centre Ltd,"277, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DH",6400
A Holden'S Ltd,"27, Longreins Road, Barrow In Furness, Cumbria, LA14 5AL",2425
Blackmill Trading Ltd,"27, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",60000
Cumbria Primary Care Trust,"28-30, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",12000
David Ashton T/A All Style Tattoos Limited,"28, Crellin Street, Barrow In Furness, Cumbria, LA14 1DU",3950
Mullberry Homes Ltd,"28, Farnham Close, Barrow-In-Furness, Cumbria, LA13 0GP",9300
Arcadia Group Plc,"28, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",72000
Abbey Rd Enterprises Ltd,"295-301, Abbey Road, Barrow In Furness, Cumbria, LA14 5LG",9100
"The Goldsmiths Group Plc,","29, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",50500
Bram Longstaffe E & N Sch,"2b, Steamer Street, Barrow In Furness, Cumbria, LA14 2SG",1075
Sonic Zoo Industries Cic,"2, Carlisle Street, Barrow In Furness, Cumbria, LA14 1QT",9000
Pye Motors Ltd,"2, James Freel Close, Barrow In Furness, Cumbria, LA14 2YH",50500
Tangeo Management Ltd T/A Grange Bakery,"2 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",3600
Early News Ltd,"2, Liverpool Street, Barrow In Furness, Cumbria, LA14 3BA",4000
New Barrow Takeaway Limited,"2, Napier Street, Barrow In Furness, Cumbria, LA14 5SZ",2850
Barrhead Travel Services Limited,"2nd & 3rd Flrs Emlyn Hughes House, Abbey Road, Barrow In Furness, Cumbria, LA14 5QY",37500
Cookson Ad Valorem Ltd,"2nd Floor Ramsden House, 121-123, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",10250
Hsbc Bank Plc,"2nd Flr, 104, Duke Street, Barrow In Furness, Cumbria, LA14 1LP",3200
"Cumbria Constabulary,","2nd Flr, 242-244, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",2125
Phoenix Beard Properties Ltd,"2nd Flr & 3 Rms 1st Flr Rear, 67, Market Street, Dalton In Furness, Cumbria, LA15 8AE",3650
Barrow Borough Council,"2nd Flr East Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",34500
Fogharty & Ballantyne,"2nd Flr Front, 74, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",980
Cumbria County Council,"2nd Flr Offices Jubilee House, 15, Abbey Road, Barrow In Furness, Cumbria, LA14 5UD",14250
Guy Perry Ltd,"2, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UG",54500
The Garage Inc. Ltd,"2, Raglan Street, Barrow In Furness, Cumbria, LA14 2AS",5400
Ncs Mechanical Serv. Ltd T/A Raines Refrigeration,"2, Slater Street, Dalton In Furness, Cumbria, LA15 8SR",2950
"Church Walk Vet Centre,","30-32, Crellin Street, Barrow In Furness, Cumbria, LA14 1DU",8100
Housing Committee,"30-32, Middlefield, Barrow In Furness, Cumbria, LA14 4BX",5000
Debenhams Retail Plc,"30-32, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",440000
Furness Watch/Jewel'Ry Ltd,"30a, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",3050
The Laundry Room (Marsh Street) Limited,"30, Marsh Street, Barrow In Furness, Cumbria, LA14 2AE",2125
Face To Face Financial Services Ltd,"31, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",4850
Sally Salon Servies Ltd,"31, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",31750
Powder & Paint Photography Limited,"31, Station Road, Dalton In Furness, Cumbria, LA15 8PL",2450
Oxford Street Clinic Ltd,"33, Oxford Street, Barrow In Furness, Cumbria, LA14 5QJ",3200
J T Bullion Ltd,"33, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",14750
Ormsgill Off Licence Ltd,"34, Middlefield, Barrow In Furness, Cumbria, LA14 4BX",5000
Bodyshop International Plc,"34, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",35750
Cumbria Primary Care Trust,"36-38, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",11500
Barrow Central Joinery Ltd,"3-6 Archways, Michaelson Road, Barrow In Furness, Cumbria, LA14 2EY",4400
The Mccormack Creighton Partnership,"36, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",33500
"Braklon Ltd,","37-39, Earle Street, Barrow In Furness, Cumbria, LA14 2PZ",4450
Tesco Stores Ltd,"37-39, Ocean Road, Barrow In Furness, Cumbria, LA14 3DD",33250
Crooks Motorcycles Limited,"37, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",3850
Cumbrian Co-Op Society,"38-40, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BJ",17000
William Hill Ltd,"38-42, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",17500
W H Smith Limited,"38-42,, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",109000
J N Murray Ltd,"3, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",4050
Butty-Licious Barrow Ltd,"3b, Slater St, Barrow In Furness, Cumbria, LA14 1SJ",1300
Denbrook Ltd,"3, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",6500
Lakes Parade Tanning Ltd,"3 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",3600
Moorsolve Limited,"3rd Fl, 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",5400
Barrow Borough Council,"3rd Flr East Craven House, , Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",42000
Agilisys Ltd,"3rd Flr West Craven House,, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",30000
Slater Street News Limited,"3, Slater St, Barrow In Furness, Cumbria, LA14 1SJ",1900
Howcol Properties Limited,"40, Anchor Road, Barrow In Furness, Cumbria, LA14 2QP",0
Kutz (Barrow) Ltd,"41, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",3750
J N Murray Ltd,"42-44, Middlefield, Barrow In Furness, Cumbria, LA14 4BX",7600
Aerialek (Dalton) Ltd,"42-44, Ulverston Road, Dalton In Furness, Cumbria, LA15 8EF",3400
Llamrow Investments Limited,"45-53, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",33250
Cumbria Sew/Craft Ctre Ltd,"45, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",5700
Idomains Ltd,"48,, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",3300
G W Doling & Son,"49-59, Emlyn Street, Barrow In Furness, Cumbria, LA14 1QS",5800
Acorn Residential Lettings,"4b, Steamer Street, Barrow In Furness, Cumbria, LA14 2SG",1475
Five (Uk) Ltd,"4, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",5200
Coral Racing Ltd,"4, Risedale Road, Barrow In Furness, Cumbria, LA13 9RD",7100
Barrow Borough Council,"4th Flr East Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",0
Barrow Borough Council,"4th Fl West Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",0
Kingswood Foundation,"50-52, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",42250
Coral Racing Ltd,"50, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",11500
Wilkinson Hardware Stores Ltd,"50, Duke Street, Barrow In Furness, Cumbria, LA14 1RU",203000
"Furness Building Society,","51-55,, Duke Street, Barrow In Furness, Cumbria, LA14 1RT",90000
Hartley Restaurants Ltd,"51, Market Street, Dalton In Furness, Cumbria, LA15  8AP",5200
Furness Services (Cumbria )  Limited,"52, Church Street, Barrow In Furness, Cumbria, LA14 2HY",3600
Cowards Pharmacy Ltd,"52, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",3200
Hartleys On The Hoof Ltd,"53, Market Street, Dalton In Furness, Cumbria, LA15 8AP",2700
Boots Uk Limited,"54-56, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",10500
Acacia Taxis Ltd,"54, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",3800
Heron Foods Limited,"54,, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",18000
South Lakes Lettings Ltd,"55, Market Street, Dalton In Furness, Cumbria, LA15 8AP",3250
"R Forrest Ltd,","56, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",6800
Barrow Borough Council,"56, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",16750
Livingstons Solicitors,"57-61, Market Street, Dalton In Furness, Cumbria, LA15 8AW",6600
Post Office Limited,"5-7, Dalton Road, Barrow In Furness, Cumbria, LA14 1HX",17250
Mr Gee'S Ltd,"58-60, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",12750
Davis & Hadwin Ltd,"58-60, Dominion Street, Barrow In Furness, Cumbria, LA14 3BW",5500
Diggle Ltd,"58-64, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",22500
Beckside Management Ltd,"58, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",1375
Tcpcs Ltd,"59, School Street, Barrow In Furness, Cumbria, LA14 1EW",3450
Gala Coral Group Ltd,"5, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",7200
C & J Clark International Ltd,"5, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",51000
S & P Higginson Ltd,"5, Rowlinson Place, Dalton In Furness, Cumbria, LA15 8DH",1250
