Birthday Honours List 2016,,,,,,,
Order,Level,Award,Name,Citation,County,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael Anthony WILSON ,"Chief Executive, Surrey and Sussex Healthcare NHS Trust.  For services to the NHS.",West Sussex,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Janet Elizabeth WOODS ,"Director of Secondary Academies (North), United Learning Trust. For services to Education.",Lancashire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Philippa WOODS ,"Chair, Family Farmers Association. For services to Family Farming and the Rural Community.",Devon,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ian WRIGHT ,"Programme Director, Universal Credit Programme, Department for Work and Pensions. For services to DWP and to the community.",Tyne and Wear,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Karen Gillian ABDEL-HADY ,"Lately Head of Detention Operations, Immigration Enforcement, Home Office. For services to Immigration Detainees.",East Grinstead,West Sussex,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor June ANDREWS ,"Lately Director, The Dementia Services Development Centre, University of Stirling.  For services to People with Dementia.",West Lothian,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Dylan Idris APLIN ,"Security Adviser, Avon and Somerset Police.  For services to National Security.",Bristol,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Julian Charles APPLEYARD ,"Principal, Rochdale Sixth Form College, Lancashire. For services to Education.",West Yorkshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Richard ARDEN ,"Senior Education Adviser, Department for International Development. For services to Education and International Development particularly in South Sudan.",Wiltshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Catharine ASTON ,"Senior Policy Adviser, Crime and Policing Knowledge Hub, Crime and Policing Group, Home Office. For services to the Voluntary and Community Sectors.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Councillor Philip Edward Bailey ATKINS ,"Leader, Staffordshire County Council. For services to Local Government.",Staffordshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Miss Alison Louise BALSOM ,Trumpet Soloist. For services to Music.,London,,
