Department Family,Entity,Payment Date,Expense Area,Expense Type,Supplier,System Transaction Number,Amount
Ministry of Justice,National Offender Management Service,20/04/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3964570,"50,577.12"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ST. VINCENT DE PAUL SOCIETY REF OZANAM HOUSE,3956336,"50,416.67"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ST. VINCENT DE PAUL SOCIETY REF OZANAM HOUSE,3982612,"50,416.67"
Ministry of Justice,National Offender Management Service,15/04/2011,Security Group,Uniforms & protective Clothing,CIVIL DEFENCE SUPPLY LTD,3952627,"50,257.80"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,CARDIGAN HOUSE APPROVED PREMISE,3956325,"50,250.00"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,CARDIGAN HOUSE APPROVED PREMISE,3982598,"50,250.00"
Ministry of Justice,National Offender Management Service,12/04/2011,Liverpool,Water and Sewage,UNITED UTILITIES WATER PLC,3970376,"50,120.64"
Ministry of Justice,National Offender Management Service,20/04/2011,Estates Capacity,WIP - Professional Fees,AEDAS ARCHITECTS LTD,3980895,"50,095.58"
Ministry of Justice,National Offender Management Service,06/04/2011,Wandsworth,Contracted-out Probation Boards,LONDON PROBATION TRUST,3963224,"50,038.25"
Ministry of Justice,National Offender Management Service,21/04/2011,Offender Employment Skills & Services Group,"Books, Stationery & IT Consumables",CHARLES FELLOWS SUPPLIES LTD,3977997,"49,863.60"
Ministry of Justice,National Offender Management Service,08/04/2011,Cookham Wood,Contracted-out Resettlement Services,MEDWAY COUNCIL,3968626,"49,788.33"
Ministry of Justice,National Offender Management Service,21/04/2011,Whatton,General Maintenance Materials,CROWN FLOORING LTD,3953481,"49,755.30"
Ministry of Justice,National Offender Management Service,05/04/2011,Learning and Development Group,Training and Further Education Courses,UNIVERSITY OF PORTSMOUTH,3957955,"49,503.96"
Ministry of Justice,National Offender Management Service,04/04/2011,Offender Employment Skills & Services Group,Raw Materials - Local Industries,L & P (PSCS),3957284,"49,424.85"
Ministry of Justice,National Offender Management Service,08/04/2011,Wymott,Communications,BT PAYPHONES,3950331,"49,392.00"
Ministry of Justice,National Offender Management Service,08/04/2011,Bronzefield,Contracted-out operation of prisons and detention centres,ASHFORD PRISON SERVICES LIMITED,3964558,"49,391.36"
Ministry of Justice,National Offender Management Service,11/04/2011,Estates Capacity,WIP - Professional Fees,AEDAS ARCHITECTS LTD,3968127,"49,293.85"
Ministry of Justice,National Offender Management Service,01/04/2011,Workforce Modernisation Programme,Secondments,HOME OFFICE,3930866,"49,235.46"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,NOTTINGHAM CITY COUNCIL,3958347,"48,929.00"
Ministry of Justice,National Offender Management Service,14/04/2011,Estates Capacity,Rates and Ground Rents,HUNTINGDONSHIRE DISTRICT COUNCIL,3974154,"48,929.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,NOTTINGHAM CITY COUNCIL,3958347,"48,929.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,HUNTINGDONSHIRE DISTRICT COUNCIL,3974154,"48,929.00"
Ministry of Justice,National Offender Management Service,13/04/2011,Hewell,Counselling & Advisory Costs,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,3973086,"48,616.01"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ASHLEY HOUSE,3982596,"48,583.33"
Ministry of Justice,National Offender Management Service,14/04/2011,Offender Employment Skills & Services Group,Clothing,JIANGSU SAINTY CORP LTD,3973969,"48,380.64"
Ministry of Justice,National Offender Management Service,01/04/2011,Staffordshire & West Midlands Probation Trust,Capital Grants / Grant-in-Aid,STAFFORDSHIRE AND WEST MIDLANDS PROBATION TRUST,3956247,"48,380.40"
Ministry of Justice,National Offender Management Service,05/04/2011,Yorks & Humberside Estate Management,Professional works advice / services,W R DUNN & CO LTD,3959458,"48,267.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3903106,"48,094.17"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3948261,"48,094.17"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3982563,"48,094.17"
Ministry of Justice,National Offender Management Service,18/04/2011,Maidstone,Severance,TREASURY SOLICITORS,3978011,"47,959.95"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3953882,"47,821.50"
Ministry of Justice,National Offender Management Service,19/04/2011,East of England Regional NOMS Office,Payments to voluntary Organisations,NACRO NCT (EAST ANGLIA),3971755,"47,479.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Procurement Group,Professional Advice,SIMMONS & SIMMONS,3867907,"47,312.96"
Ministry of Justice,National Offender Management Service,14/04/2011,Risley,Water and Sewage,UNITED UTILITIES WATER PLC,3970259,"47,301.40"
Ministry of Justice,National Offender Management Service,12/04/2011,Estates Capacity,WIP - Professional Fees,ATKINS LTD,3911791,"47,265.05"
Ministry of Justice,National Offender Management Service,28/04/2011,Estates Capacity,WIP - Professional Fees,ATKINS LTD,3988303,"47,264.78"
Ministry of Justice,National Offender Management Service,01/04/2011,Leyhill,Contracted-out Plant and Equipment Maintenance,ENGINEERING SERVICES (SOUTH WEST) LTD,3951191,"46,993.37"
Ministry of Justice,National Offender Management Service,13/04/2011,East of England Regional NOMS Office,Payments to voluntary Organisations,NACRO NCT (EAST ANGLIA),3971633,"46,927.52"
Ministry of Justice,National Offender Management Service,18/04/2011,Estates Capacity,Consultancy,RIDER LEVETT BUCKNALL UK LTD,3977100,"46,881.74"
Ministry of Justice,National Offender Management Service,01/04/2011,Procurement Group,Professional Advice,SIMMONS & SIMMONS,3857290,"46,864.54"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,SWALE BOROUGH COUNCIL,3958237,"46,764.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,SWALE BOROUGH COUNCIL,3958237,"46,764.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,HESTIA HOUSING SUPPORT CO LTD REF BATTERSEA & STREATHAM,3956330,"46,583.33"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,HESTIA HOUSING SUPPORT CO LTD REF BATTERSEA & STREATHAM,3982601,"46,583.33"
Ministry of Justice,National Offender Management Service,05/04/2011,Guys Marsh,Buildings - Acquisitions,NEW CENTURY GLASSHOUSE LTD,3959933,"46,560.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,FENLAND DISTRICT COUNCIL,3958293,"46,331.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,FENLAND DISTRICT COUNCIL,3958293,"46,331.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Featherstone,General Maintenance Materials,JLA LTD,3956278,"46,278.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ST. VINCENT DE PAUL SOCIETY REF ST CHRISTOPHERS,3956337,"46,166.67"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ST. VINCENT DE PAUL SOCIETY REF ST CHRISTOPHERS,3982614,"46,166.67"
Ministry of Justice,National Offender Management Service,20/04/2011,Long Lartin,"New structural works, structural maintenance and equipment",SURFACE PROTECTION LTD,3981301,"46,080.00"
Ministry of Justice,National Offender Management Service,01/04/2011,East Midlands Estates,General Maintenance Materials,F P S (FIRE PROTECTION) LTD,3941267,"45,810.60"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,PETERBOROUGH CITY COUNCIL,3958349,"45,465.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,PETERBOROUGH CITY COUNCIL,3958349,"45,465.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Belmarsh,"New structural works, structural maintenance and equipment",KIER REGIONAL LTD,3946424,"45,162.62"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3968672,"45,037.30"
Ministry of Justice,National Offender Management Service,26/04/2011,Estates Capacity,Rates and Ground Rents,LIVERPOOL CITY COUNCIL,3984628,"45,032.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,LIVERPOOL CITY COUNCIL,3984628,"45,032.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Risley,"New structural works, structural maintenance and equipment",INDUSTRIAL ELECTRICAL & BUILDING SERVICES LTD,3957735,"44,793.60"
Ministry of Justice,National Offender Management Service,13/04/2011,Wormwood Scrubs,Gas,CORONA ENERGY RETAIL 4 LTD,3973396,"44,481.97"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,LONDON BOROUGH OF ISLINGTON.,3958337,"44,168.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,LONDON BOROUGH OF ISLINGTON.,3958337,"44,163.00"
Ministry of Justice,National Offender Management Service,13/04/2011,Holme House,Inter-Unit Charge (IUC),ESS SUPPORT SERVICES WORLDWIDE,3970464,"44,157.79"
Ministry of Justice,National Offender Management Service,13/04/2011,Isle of Wight,Miscellaneous,ISLE OF WIGHT PRIMARY CARE TRUST,3972914,"44,131.00"
Ministry of Justice,National Offender Management Service,13/04/2011,Long Lartin,Gas,CORONA ENERGY RETAIL 4 LTD,3973341,"43,975.40"
Ministry of Justice,National Offender Management Service,19/04/2011,Central Budgets,In Cell TV Costs,COMPUTACENTER (U K) LTD,3979383,"43,659.31"
Ministry of Justice,National Offender Management Service,13/04/2011,Wales Prisons Estate Management Group (WPEMG),Buildings - Acquisitions,SEDDON PROPERTY SERVICES LTD,3972889,"43,612.80"
Ministry of Justice,National Offender Management Service,13/04/2011,ROM - South West,Resource Grants / Grant-in-Aid,THE NELSON TRUST,3973273,"43,500.00"
Ministry of Justice,National Offender Management Service,07/04/2011,Acklington,Electricity,EDF ENERGY,3964599,"43,430.12"
Ministry of Justice,National Offender Management Service,08/04/2011,Estates Capacity,WIP - Acquisitions,CARILLION CONSTRUCTION LTD,3965788,"43,275.25"
Ministry of Justice,National Offender Management Service,13/04/2011,Frankland,Electricity,EDF ENERGY,3964679,"43,227.23"
Ministry of Justice,National Offender Management Service,05/04/2011,Lowdham Grange,Contracted-out operation of prisons and detention centres,LOWDHAM GRANGE PRISON SERVICES LTD,3960385,"43,171.84"
Ministry of Justice,National Offender Management Service,13/04/2011,Bullingdon,Gas,CORONA ENERGY RETAIL 4 LTD,3973319,"43,150.51"
Ministry of Justice,National Offender Management Service,26/04/2011,Frankland,Other - Acquisitions,HOMAG UK LTD,3949183,"42,780.00"
Ministry of Justice,National Offender Management Service,12/04/2011,Sheppey Clustered Services,Gas,CORONA ENERGY RETAIL 4 LTD,3970361,"42,587.53"
Ministry of Justice,National Offender Management Service,06/04/2011,London DOMS Office,Contracted-out Probation Boards,LONDON PROBATION TRUST,3962007,"42,277.06"
Ministry of Justice,National Offender Management Service,20/04/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3980382,"42,251.25"
Ministry of Justice,National Offender Management Service,15/04/2011,Kirkham,Water and Sewage,UNITED UTILITIES WATER PLC,3970283,"42,229.36"
Ministry of Justice,National Offender Management Service,07/04/2011,Highdown,Electricity,EDF ENERGY,3964584,"42,006.26"
Ministry of Justice,National Offender Management Service,26/04/2011,Estates Capacity,Rates and Ground Rents,LIVERPOOL CITY COUNCIL,3984633,"42,001.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,LIVERPOOL CITY COUNCIL,3984633,"42,001.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,CHORLEY BOROUGH COUNCIL,3958208,"41,568.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,CHORLEY BOROUGH COUNCIL,3958208,"41,568.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,LANCASTER CITY COUNCIL,3958343,"41,352.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,LANCASTER CITY COUNCIL,3958343,"41,347.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,THE EAST RIDING OF YORKSHIRE COUNCIL,3958289,"41,135.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,THE EAST RIDING OF YORKSHIRE COUNCIL,3958289,"41,135.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Coldingley,Raw Materials - ESS/LBA Industries ,ARRANDEED SERVICES,3956010,"41,088.00"
Ministry of Justice,National Offender Management Service,15/04/2011,Holloway,General Maintenance Materials,BRITEFOX DESIGN AND BUILD LIMITED,3943030,"40,986.00"
Ministry of Justice,National Offender Management Service,07/04/2011,Manchester,Electricity,EDF ENERGY,3964485,"40,745.93"
Ministry of Justice,National Offender Management Service,08/04/2011,Bristol,Contracted-out Probation Boards,AVON AND SOMERSET PROBATION TRUST,3966781,"40,737.89"
Ministry of Justice,National Offender Management Service,06/04/2011,Preston,Contracted-out Probation Trusts,LANCASHIRE PROBATION TRUST,3961320,"40,713.66"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,CITY OF WAKEFIELD,3958172,"40,702.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,CITY OF WAKEFIELD,3958172,"40,702.00"
Ministry of Justice,National Offender Management Service,19/04/2011,Holloway,Counselling & Advisory Costs,R A P T,3977179,"40,673.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Wales Prisons Estate Management Group (WPEMG),General Maintenance Materials,MITIE ENGINEERING SERVICES (BRISTOL) LTD,3953602,"40,601.56"
Ministry of Justice,National Offender Management Service,07/04/2011,London DOMS Office,Contracted-out Probation Boards,LONDON PROBATION TRUST,3962008,"40,584.89"
Ministry of Justice,National Offender Management Service,12/04/2011,Littlehey,Gas,CORONA ENERGY RETAIL 4 LTD,3970552,"40,581.29"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,WANDSWORTH BOROUGH COUNCIL,3958174,"40,544.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,LONDON BOROUGH OF HOUNSLOW,3958321,"40,544.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,WANDSWORTH BOROUGH COUNCIL,3958174,"40,539.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,LONDON BOROUGH OF HOUNSLOW,3958321,"40,539.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Chief Operating Officers Office,"Staff Compensation over £5,000",TREASURY SOLICITORS,3960547,"40,500.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Public Protection and Mental Health Group,Contract IT Maintenance,MOUCHEL MANAGEMENT CONSULTING LIMITED,3961894,"40,349.65"
Ministry of Justice,National Offender Management Service,13/04/2011,Warren Hill,Contracted-out Probation Boards,SUFFOLK COUNTY COUNCIL,3972636,"40,344.34"
Ministry of Justice,National Offender Management Service,18/04/2011,Sheppey Clustered Services,Contracted-out Plant and Equipment Maintenance,ARKAS LTD,3976590,"40,240.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Preston,Contracted-out Probation Trusts,LANCASHIRE PROBATION TRUST,3961324,"40,239.10"
Ministry of Justice,National Offender Management Service,18/04/2011,Hindley,General Maintenance Materials,F P S (FIRE PROTECTION) LTD,3979081,"40,095.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Wandsworth,"Prisoner Compensation over £5,000",TREASURY SOLICITORS,3957613,"40,000.00"
Ministry of Justice,National Offender Management Service,08/04/2011,Frankland,"New structural works, structural maintenance and equipment",TARMAC LTD,3965924,"40,000.00"
Ministry of Justice,National Offender Management Service,20/04/2011,Chief Operating Officers Office,"Prisoner Compensation over £5,000",TREASURY SOLICITORS,3981728,"40,000.00"
Ministry of Justice,National Offender Management Service,12/04/2011,Channings Wood,Gas,CORONA ENERGY RETAIL 4 LTD,3970546,"39,995.71"
Ministry of Justice,National Offender Management Service,06/04/2011,TSS Kent and Sussex,Contracted-out Plant and Equipment Maintenance,ANDEL LIMITED,3963159,"39,956.80"
Ministry of Justice,National Offender Management Service,11/04/2011,Wandsworth,Electricity,EDF ENERGY,3964627,"39,907.11"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,WATES CONSTRUCTION LTD,3962256,"39,878.40"
Ministry of Justice,National Offender Management Service,13/04/2011,Rochester,Gas,CORONA ENERGY RETAIL 4 LTD,3973318,"39,215.03"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,BROMSGROVE DISTRICT COUNCIL,3958187,"39,187.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,SPELTHORNE BOROUGH COUNCIL,3958251,"39,187.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,BROMSGROVE DISTRICT COUNCIL,3958187,"39,182.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,SPELTHORNE BOROUGH COUNCIL,3958251,"39,182.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Wymott,Other - Acquisitions,M D LAUNDRY MACHINES (KENDAL) LTD,3960232,"39,180.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Learning and Development Group,Training and Further Education Courses,UNIVERSITY OF PORTSMOUTH,3957956,"38,896.62"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3903323,"38,852.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3953880,"38,852.00"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMS ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3950208,"38,765.10"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,BIRMINGHAM CITY COUNCIL,3958171,"38,754.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,BIRMINGHAM CITY COUNCIL,3958171,"38,749.00"
Ministry of Justice,National Offender Management Service,19/04/2011,Central Budgets,In Cell TV Costs,COMPUTACENTER (U K) LTD,3979343,"38,575.20"
Ministry of Justice,National Offender Management Service,20/04/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3964563,"38,182.08"
Ministry of Justice,National Offender Management Service,06/04/2011,East of England Regional NOMS Office,Structural works / maintenance - Fees & professional services,WILTS WHOLESALE ELECTRICAL CO LTD,3961428,"38,130.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,DACORUM BOROUGH COUNCIL,3958217,"38,104.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,DACORUM BOROUGH COUNCIL,3958217,"38,104.00"
Ministry of Justice,National Offender Management Service,06/04/2011,East of England Regional NOMS Office,"New structural works, structural maintenance and equipment",CHALMOR LTD,3963066,"37,987.37"
Ministry of Justice,National Offender Management Service,19/04/2011,Central Budgets,In Cell TV Costs,COMPUTACENTER (U K) LTD,3979381,"37,942.84"
Ministry of Justice,National Offender Management Service,06/04/2011,ROM - Yorkshire & Humberside,Contracted-out Resettlement Services,SHELTER,3961944,"37,711.54"
Ministry of Justice,National Offender Management Service,19/04/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3964617,"37,501.78"
Ministry of Justice,National Offender Management Service,18/04/2011,Sheppey Clustered Services,Contracted-out Plant and Equipment Maintenance,SWALE BUILDING SERVICES LTD,3963079,"37,440.10"
Ministry of Justice,National Offender Management Service,08/04/2011,Estates Capacity,WIP - Acquisitions,CARILLION JM LIMITED,3965955,"37,313.47"
Ministry of Justice,National Offender Management Service,18/04/2011,Dartmoor,General Maintenance Materials,DAVID R WHITE BUILDING SEVICES LTD,3955513,"37,171.20"
Ministry of Justice,National Offender Management Service,08/04/2011,Bure,Contracted-out Probation Boards,NORFOLK AND SUFFOLK PROBATION TRUST,3964328,"37,140.76"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,ST EDMUNDSBURY BOROUGH COUNCIL,3958212,"37,062.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,ST EDMUNDSBURY BOROUGH COUNCIL,3958212,"37,057.20"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,BRECKLAND DISTRICT COUNCIL,3958183,"37,022.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,BRECKLAND DISTRICT COUNCIL,3958183,"37,017.00"
Ministry of Justice,National Offender Management Service,13/04/2011,Wormwood Scrubs,Inter-Unit Charge (IUC),LONDON PROBATION TRUST,3961841,"36,857.60"
Ministry of Justice,National Offender Management Service,20/04/2011,Nottingham,Counselling & Advisory Costs,PHOENIX FUTURES,3960029,"36,787.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Lowdham Grange,Contracted-out operation of prisons and detention centres,LOWDHAM GRANGE PRISON SERVICES LTD,3960092,"36,786.79"
Ministry of Justice,National Offender Management Service,08/04/2011,Birmingham,Electricity,EDF ENERGY,3966932,"36,756.08"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,SURREY HEATH BOROUGH COUNCIL,3958226,"36,589.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,SURREY HEATH BOROUGH COUNCIL,3958226,"36,584.00"
Ministry of Justice,National Offender Management Service,11/04/2011,TSS West Midlands Area,"New structural works, structural maintenance and equipment",VINCI ENERGIES UK PLC,3968163,"36,573.60"
Ministry of Justice,National Offender Management Service,07/04/2011,Sheppey Clustered Services,Electricity,EDF ENERGY,3964582,"36,426.98"
Ministry of Justice,National Offender Management Service,12/04/2011,Forest Bank,Contracted-out operation of prisons and detention centres,AGECROFT PRISON MANAGEMENT LTD,3968409,"36,407.08"
Ministry of Justice,National Offender Management Service,07/04/2011,Featherstone,Other - Acquisitions,NORTON INTEGRATED SYSTEMS LTD,3964329,"36,402.00"
Ministry of Justice,National Offender Management Service,08/04/2011, Kennet,Electricity,MERSEY CARE N H S TRUST,3965169,"36,373.86"
Ministry of Justice,National Offender Management Service,20/04/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3980381,"36,366.00"
Ministry of Justice,National Offender Management Service,07/04/2011,Liverpool,Electricity,EDF ENERGY,3964602,"36,303.43"
Ministry of Justice,National Offender Management Service,04/04/2011,Nottingham,Contracted-out Probation Boards,NOTTINGHAM PROBATION COMMITTEE,3960208,"36,199.20"
Ministry of Justice,National Offender Management Service,08/04/2011,Whatton,Contracted-out Probation Trusts,NOTTINGHAMSHIRE PROBATION TRUST,3960207,"36,121.67"
Ministry of Justice,National Offender Management Service,18/04/2011,Winchester,Other - Charge in year,RENAULT,3961151,"36,100.80"
Ministry of Justice,National Offender Management Service,18/04/2011,Feltham,Gas,CORONA ENERGY RETAIL 4 LTD,3973385,"36,051.32"
Ministry of Justice,National Offender Management Service,15/04/2011,Wakefield,"New structural works, structural maintenance and equipment",GAME ENGINEERING LTD,3968165,"36,020.40"
Ministry of Justice,National Offender Management Service,05/04/2011,East of England Regional NOMS Office,General Maintenance Materials,WILTS WHOLESALE ELECTRICAL CO LTD,3959795,"36,018.16"
Ministry of Justice,National Offender Management Service,15/04/2011,Chief Operating Officers Office,Secondments,SURREY & SUSSEX PROBATION TRUST,3976159,"35,993.93"
Ministry of Justice,National Offender Management Service,04/04/2011,Frankland,Raw Materials - ESS/LBA Industries,L & P (PSCS),3958829,"35,985.60"
Ministry of Justice,National Offender Management Service,12/04/2011,Glen Parva,Gas,CORONA ENERGY RETAIL 4 LTD,3970479,"35,835.97"
Ministry of Justice,National Offender Management Service,07/04/2011,Ranby,Electricity,EDF ENERGY,3964675,"35,798.65"
Ministry of Justice,National Offender Management Service,19/04/2011,Wormwood Scrubs,Counselling & Advisory Costs,R A P T,3976671,"35,740.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Blundeston,Inventory A/P Accrual,ANTALIS MCNAUGHTON LIMITED,3957992,"35,728.16"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,DONCASTER MBC,3958235,"35,723.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,DONCASTER MBC,3958235,"35,718.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Lindholme,Contracted-out Building Maintenance,EVERLAST WATERPROOFING LTD,3957714,"35,700.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Leicester,Other - Acquisitions,FALCON FOODSERVICE EQUIPMENT,3933313,"35,354.40"
Ministry of Justice,National Offender Management Service,04/04/2011,Whitemoor,"New structural works, structural maintenance and equipment",SCHNEIDER ELECTRIC BUILDING UK LIMITED,3955516,"35,194.27"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMS ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3982471,"35,162.11"
Ministry of Justice,National Offender Management Service,14/04/2011,ROM - Yorkshire & Humberside,Resource Grants / Grant-in-Aid,WOMENCENTRE LTD,3974257,"35,000.00"
Ministry of Justice,National Offender Management Service,12/04/2011,Acklington,Gas,CORONA ENERGY RETAIL 4 LTD,3970454,"34,880.42"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,KINGSTON-UPON-HULL CITY COUNCIL,3958322,"34,857.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,STOCKTON-ON-TEES BOROUGH COUNCIL,3958220,"34,853.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,KINGSTON-UPON-HULL CITY COUNCIL,3958322,"34,852.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,STOCKTON-ON-TEES BOROUGH COUNCIL,3958220,"34,849.00"
Ministry of Justice,National Offender Management Service,08/04/2011,Estates Capacity,WIP - Professional Fees,AEDAS ARCHITECTS LTD,3962837,"34,804.28"
Ministry of Justice,National Offender Management Service,13/04/2011,Verne (The),Gas,CORONA ENERGY RETAIL 4 LTD,3973335,"34,797.89"
Ministry of Justice,National Offender Management Service,14/04/2011,Highpoint,Counselling & Advisory Costs,PHOENIX FUTURES,3973236,"34,648.00"
