"OA11CD","LAD11NM","PM252013me"
"E00023554","Westminster",16.984190622965
"E00023552","Westminster",17.025763273239
"E00023550","Westminster",17.489229093279
"E00023551","Westminster",16.985156402588
"E00023558","Westminster",17.649835455007
"E00023559","Westminster",17.356793615553
"E00023467","Westminster",16.844553091587
"E00023464","Westminster",16.925667095184
"E00023465","Westminster",16.830939853893
"E00023462","Westminster",17.229544471292
"E00023463","Westminster",17.556350459223
"E00023461","Westminster",16.971498690153
"E00023468","Westminster",17.335712432861
"E00023469","Westminster",16.942319003018
"E00023707","Westminster",17.39624288347
"E00023786","Westminster",16.628910771123
"E00023785","Westminster",16.531179885864
"E00023704","Westminster",16.885479493575
"E00023784","Westminster",16.491657174152
"E00023705","Westminster",17.731120109558
"E00023702","Westminster",17.01931420688
"E00023783","Westminster",16.557129933284
"E00023782","Westminster",16.509163636428
"E00023703","Westminster",17.542759360337
"E00023700","Westminster",17.592610881014
"E00023781","Westminster",16.514763924383
"E00023701","Westminster",17.165390253067
"E00023780","Westminster",16.558795708876
"E00023789","Westminster",16.732115142199
"E00023708","Westminster",16.992866788592
"E00023709","Westminster",16.976787839617
"E00023788","Westminster",16.98058450222
"E00023656","Westminster",17.539488728841
"E00023657","Westminster",17.498359422835
"E00023655","Westminster",17.573969078064
"E00023652","Westminster",17.648476736886
"E00023653","Westminster",17.547082901001
"E00023650","Westminster",17.900910476158
"E00023651","Westminster",17.548938046331
"E00023658","Westminster",17.737652442438
"E00023659","Westminster",17.261513494676
"E00175193","Westminster",19.013164016936
"E00175192","Westminster",18.82351010911
"E00175191","Westminster",19.135262246668
"E00175190","Westminster",19.052688509919
"E00175197","Westminster",17.493028504508
"E00175196","Westminster",19.074588868013
"E00175195","Westminster",18.693183452525
"E00175194","Westminster",19.235933819554
"E00175199","Westminster",17.017114082972
"E00023937","Westminster",18.652972623876
"E00023934","Westminster",19.101704074115
"E00024127","Westminster",18.726387669963
"E00023935","Westminster",19.564359231567
"E00024124","Westminster",18.841029999748
"E00023933","Westminster",18.526809104135
"E00024122","Westminster",18.589794582791
"E00024123","Westminster",18.410172181971
"E00023930","Westminster",19.507059970357
"E00023931","Westminster",19.202296126516
"E00024121","Westminster",18.390624306419
"E00023938","Westminster",18.109543083398
"E00023939","Westminster",18.880728511153
"E00024128","Westminster",18.825926470469
"E00024129","Westminster",18.84151822367
"E00023846","Westminster",18.154807170232
"E00023847","Westminster",18.457828203837
"E00024076","Westminster",17.346319583424
"E00023844","Westminster",18.294337950557
"E00024077","Westminster",16.775964169889
"E00024074","Westminster",18.594975948334
"E00023842","Westminster",18.548367213428
"E00023843","Westminster",18.076089859009
"E00024072","Westminster",16.940846392983
"E00024073","Westminster",18.19169620298
"E00023841","Westminster",18.075268866799
