Property Reference Number,Primary Liable party name,Full Property Address,Current Rateable Value
104329809000N,British Broadcasting Corporation,"Broadcasting House,, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",7000
104333909234N,Morgan Sindall Plc,"Unit 32 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",5600
104336209020N,Independent Vetcare Ltd,"Car Parking Spaces No 3-7 Corner Of, Nelson Street &, Keyes Street, Barrow In Furness, Cumbria, LA14 5TA",750
104347100020N,New Barrow Takeaway Limited,"2, Napier Street, Barrow In Furness, Cumbria, LA14 5SZ",2850
104347309026N,Furness Carers Association,"Furness Carers At, Hindpool Community Centre, Nelson Street, Barrow In Furness, Cumbria, LA14 1NF",4800
104347309035N,Furness Carers Association,"Furness Carers, Pt  Ff Hindpool Community Centre, Nelson Street, Barrow In Furness, Cumbria, LA14 1NF",2175
104379100007N,Pets At Home Ltd,"Pets At Home, Corner House Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 2NE",90500
104379100009N,B & M Retail Ltd,"Homebase Ltd, Corner House Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 2NE",427500
104379100015N,Tesco Stores Ltd,"Tesco Stores Ltd., Cornerhouse Park, Hindpool Road, Barrow In Furness, LA14 2NE",2400000
104379100016N,Tesco Personal Finance Plc,"Atm Site At Tesco Stores Ltd, Cornerhouse Park, Hindpool Road, Barrow In Furness, LA14 2NE",16500
104379100019N,"Iceland Frozen Foods Plc,","Iceland Frozen Foods Plc, Corner House Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 2NE",84500
104379100029N,Halfords Ltd,"Halfords Auto Centre, Cornerhouse Park, Hindpool Road, Barrow In Furness, LA14 2NE",205000
104379100066N,Photo Me International,"Photo Booth 07172 At Tesco, Hindpool Road, Barrow In Furness, Cumbria, LA14 2NE",5000
104379109000N,Clear Channel Uk Ltd,"Adshel 1902 0084 Adj Tesco Car Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 2NF",650
104408100110N,Stonham Housing Assoc. Ltd,"11, Brewery Street, Barrow In Furness, Cumbria, LA14 1AJ",3350
104411601381N,Mcdougall Properties Ltd,"138, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",2900
104411609173N,Lucas Leisure Ltd,"Broadway Sports Bar, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",17250
104411609174N,Lucas Leisure Ltd,"Manhattans, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",37000
104411609281N,Marilyn'S (Barrow) Limited,"45-53, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",33250
104417302020N,Coco Cheveux Ltd,"202, Dalton Road, Barrow In Furness, Cumbria, LA14 1PS",13000
104417302043N,"Cancer Research Uk,","204, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",19750
104417302090N,Coral Racing Ltd,"209, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",13500
104417302100N,Animal Welfare (Furness),"210, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",11000
104417302140N,Lads & Dads Clothing Ltd,"214, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",8500
104417302160N,"Furness Building Society,","216-218, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",18750
104417302170N,Mister Investment Group Ltd,"217, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",11250
104417302190N,Lakes Bakery Limited,"219, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",8800
104417302200N,"Nationwide Building Soc.,","220, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",10250
104417302345N,Home & Finance,"Gnd Flr At , 233-235, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",23000
104417302347N,Home & Finance,"1st Floor 233-235, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",7200
104417302348N,Home & Finance,"233/235, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",0
104417302360N,Royal Bank Of Scotland Plc,"234-236, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",21500
104417302373N,Inspira Cumbria Ltd,"237-241, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",29500
104417302460N,Five (Uk) Limited,"The Derby, 246, Dalton Road, Barrow In Furness, Cumbria, LA14 1DN",10250
104417302500N,Diamond Jim Ltd,"250, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",14750
104417302520N,Mithali Restaurant Ltd,"252-254, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",8400
104422200074N,"Animal Refuge Furness,","7., Emlyn Street, Barrow In Furness, Cumbria, LA14 1QS",3000
104422209091N,Barrow Borough Council,"Car Park, Emlyn Street, Barrow In Furness, Cumbria, LA14 1QS",13250
104423709000N,Barrow Borough Council,"Bbc, Fell Street, Barrow In Furness, Cumbria, LA14 1DD",14000
104457702750N,Angling & Hiking Centre Ltd,"277, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DH",6400
104457709078N,Cafcass Govt. Dept.,"Suite 9 Victoria Hall, Rawlinson Street, Barrow In Furness, Cumbria, ",2900
104457709082N,Rv Projects (Europe) Ltd,"Suite 14 Victoria Hall, Rawlinson Street, Barrow In Furness, Cumbria, ",2700
104457709083N,Teem Recruitment Ltd,"Victoria Hall, Suite 12a, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BX",3500
104457709084N,99 Hippos Ltd,"Victoria Hall, Suite 12b, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BX",6900
104475900440N,Superior Windows Ltd,"Adj 44, Whitehead Street, Barrow In Furness, Cumbria, LA14 1AH",2300
104500101031N,Nhs Property Services,"103-105, Abbey Road, Barrow In Furness, Cumbria, LA14 5EX",19250
104500108089N,Brathay Trust,"Room 8 At, 104, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",1425
104500108092N,Furness Newspapers Limited,"Barrrow News & Mail Ltd, Newspaper House, Abbey Road, Barrow In Furness, Cumbria, LA14 5QS",54000
104500108093N,Creative Studios Cumbria Limited,"Basement At, 104, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",0
104500108094N,Barrow Borough Council,"Room 15 At, 104, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",0
104500108095N,Barrow Borough Council,"3rd Flr At, 104, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",0
104500108121N,Clear Channel Uk Ltd,"Adshell 1902 0001 Adj The Furness Railway,, Abbey Road, Barrow In Furness, Cumbria, LA14 5SH",650
104500108130N,J D Wetherspoon Plc,"Former Cumbrian Cooperative Soc Ltd (Part), Abbey Road, Barrow In Furness, Cumbria, LA14 5UB",41750
104500108131N,J D Wetherspoon Plc,"The Furness Railway, Abbey Road, Barrow In Furness, Cumbria, LA14 5UB",86000
104500108141N,D S Fitness Centre Ltd,"72, Abbey Road, Barrow In Furness, Cumbria, LA14 5UB",9200
104500108181N,Clear Channel Uk Ltd,"Adshell 1902 0016, Adj Ae Trades Club, Abbey Road, Barrow In Furness, Cumbria, LA14 1LG",650
104500108182N,Clear Channel Uk Ltd,"Adshell 1902 0015, Adj Ae Trades Club, Abbey Road, Barrow In Furness, Cumbria, LA14 1LG",650
104500108236N,Cumbria Partnership Nhs Foundation Trust,"Unit 5 The Old Fire Station, Abbey Road, Barrow In Furness, Cumbria, LA14 1XH",10750
104500108237N,Bluepole Limited,"Unit 2 The Old Fire Station, Abbey Road, Barrow In Furness, Cumbria, LA14 1XH",13750
104500108239N,Gravity Solutions Limited,"Unit 1a The Old Fire Station, Abbey Road, Barrow In Furness, Cumbria, LA14 1XH",3250
104500108241N,Knox Accounting Ltd,"Unit 1b The Old Fire Station, Abbey Road, Barrow In Furness, Cumbria, LA14 1XH",3850
104508900090N,Dignity Funerals Ltd,"9-11, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1SS",3000
104508900754N,Ti Accountancy Limited,"75-77,, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1QQ",12750
104512909030N,Transition Wholesale Ltd,"The Lyric Hall, Clifford Street, Barrow In Furness, Cumbria, LA14 2NJ",4200
104514100010N,"Marsh'S Sass Ltd,","1, Coulton Street, Barrow In Furness, Cumbria, LA14 1QJ",4400
104517100020N,Five (Uk) Ltd,"4, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",5200
104517100080N,R & T Music Ltd,"8, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",4050
104517100120N,Liontreck Ltd,"12-22, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",18750
104519500945N,High Speed Boats (Windermere) Ltd,"Chambers, 98, Duke Street, Barrow In Furness, Cumbria, LA14 1RD",0
104519501040N,Hsbc Bank Plc,"104-106, Duke Street, Barrow In Furness, Cumbria, LA14 1LR",13000
104531200327N,Dave Whelan Sports Ltd,"Dw Sports Fitness, Cornmill Park, Hindpool Road, Barrow In Furness, LA14 2GN",350000
104531200328N,"B & Q Plc,","B & Q, Cornmill Park, Cornmill Crossing, Barrow In Funress, Cumbria, LA14 2GN",505000
104531200660N,Speed Of Sound Ltd,"66, Hindpool Road, Barrow In Furness, Cumbria, LA14 2ND",3150
104531201210N,Blake Henderon Ltd,"Wheatsheaf Hotel, Hindpool Road, Barrow In Furness, Cumbria, LA14 1XZ",8100
104531209022N,Barrow Borough Council,"Car Park R/O 1-2 Lawson St, Hindpool Road, Barrow In Furness, Cumbria, LA14 2LZ",1500
104531209033N,Healeys Bar Ltd,"Healeys, Hindpool Road, Barrow In Furness, Cumbria, LA14 2ND",4750
104531209060N,Duddon Tyres Ltd,"Duddon Tyres, Hindpool Road, Barrow In Furness, Cumbria, LA14 2NE",19000
104531209082N,The Custom House Bw Ltd,"The Custom House, 1, Abbey Road, Barrow In Furness, Cumbria, LA14 5UF",39250
104531209530N,Imperial Hotel (Barrow) Ltd,"Skint, Lawson Street, Barrow In Furness, Cumbria, LA14 2LA",27500
104561509025N,Provincial Properties Limited,"1,, St Vincent Street, Barrow In Furness, Cumbria, LA14 2NT",5900
104562500690N,C & S Davies Ltd,"69, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",4100
104562500720N,Elegance Salon Ltd,"72-74, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",8300
104562500780N,Barrow Rugby League Auxiliary Association,"78, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",4100
104562500820N,Reef Evans Ltd,"82, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",4400
104579300213N,North West Ambulance Service Nhs Trust,"Ambulance Station, Hindpool Road, Barrow In Furness, Cumbria, LA14 2LU",14750
104579300215N,Cumbria Partnership Nhs Foundation Trust,"Atkinsons Health Ctr, Market Street, Barrow In Furness, Cumbria, LA14 2LU",19000
105100820050N,Croftlands Trust,"5,, Adelphi Court, Storey Square, Barrow In Furness, Cumbria, LA14 2HX",1425
105101109017N,Horrocks (North West) Ltd,"Former Furness Heating Components, The Old Brewery, Albert Street, Barrow In Furness, Cumbria, LA14 2JF",3650
105101109020N,Imo Car Wash,"Imo Car Wash, Strand, Barrow In Furness, Cumbria, LA14 2UB",17500
105111600050N,Caroline Martin Property Limited,"5, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",7200
105111600160N,"W G Ross & Co Ltd,","16-18, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SB",7200
105111600200N,"Stokers Ltd,","20-24, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SE",15000
105111600230N,Winfield Holdings Ltd,"23-29, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",19250
105111600302N,Furness Watch/Jewel'Ry Ltd,"30a, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",3050
105111600560N,"R Forrest Ltd,","56, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",6800
105111600580N,Mr Gee'S Ltd,"58-60, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",12750
105111600611N,Richard Haynes Ltd,"61, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",9100
105111600630N,St Johns Hearing Aid Centre,"63, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",6500
105111600641N,Identityco Limited,"64-68, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",19000
105111600671N,Barrow Soc For The Blind,"67-69, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",14500
105111600700N,Rosegate Ventures Ltd,"70, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",4700
105111600721N,Brian O'Loughlin Ltd,"72, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",6300
105111600740N,North West Consumables Ltd,"74, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",6700
105111600780N,Millers Shoe Repairs Ltd,"78, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",6500
105111600911N,"Bw Labour Club & Inst Ltd,","Barrow Labour Club, 91-97, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DL",10500
105112500960N,Systemcam Ltd,"96, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",2000
105112500989N,Systemcam Ltd,"Pt Gnd Flr, 98, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",1775
105112500996N,Systemcam Ltd,"Store 1st Flr, 98, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",440
105112501051N,City Lynx Taxi (Barrow) Limited,"105, Church Street, Barrow In Furness, Cumbria, LA14 2HW",2100
105114009073N,Imperial Hotel (Barrow) Ltd,"Hotel Imperial,, Cornwallis Street, Barrow In Furness, Cumbria, LA14 2LG",80000
105117300011N,Oasis Dentalcare Ltd,"1, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",12500
105117300050N,Post Office Limited,"5-7, Dalton Road, Barrow In Furness, Cumbria, LA14 1HX",17250
105117300090N,Denbrook Ltd,"9, Dalton Road, Barrow In Furness, Cumbria, LA14 1HX",8800
105117300131N,Denbrook Ltd,"3, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",6500
105117300500N,Coral Racing Ltd,"50, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",11500
105117300540N,Boots Uk Limited,"54-56, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",10500
105117300580N,Diggle Ltd,"58-64, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",22500
105117300640N,B & M Retail Ltd,"63 - 75, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",72500
105117300681N,J N Murray Ltd,"66-68, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",15750
105117300701N,Specsavers Optical Superstores Ltd,"70, Dalton Road, Barrow In Furness, Cumbria, LA14 1JD",13750
105117300781N,Whitley-Hall Limited,"Unit 2, 78-80, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",32000
105117300782N,Gold Planner Ltd,"Unit 3, 78-80, Dalton Road, Barrow In Furness, Cumbria, LA14 1JJ",32250
105117300820N,Winfield Holdings Ltd,"82, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",32250
105117300840N,St Marys Hospice,"84, Dalton Road, Barrow In Furness, Cumbria, LA14 1JN",30500
105117300860N,"Barclays Bank Plc,","86-90, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",55500
105117300890N,The Carphone Warehouse Uk Ltd,"89-91, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",26250
105117300970N,Sports World Int. Ltd,"97-101, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",59000
105117301030N,Real State Company Ltd,"103-105, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",57000
105117301061N,T J Morris Ltd,"106-114, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",100000
105117301062N,Mind In Furness Ltd,"116, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",29500
105117301170N,Thomas Cook Uk Limited,"117-119, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",0
105117301211N,Shoe Zone Ltd,"Unit 4,121-135, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",46750
105117301215N,Hbos Plc,"Unit 5, 121-135, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",67500
105117301220N,Tui Uk Ltd,"122, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",20250
105117301240N,Cheque Centre Properties Ltd,"124, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",16750
105117301280N,The Works Stores Ltd,"128-130, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",41250
105117301320N,Rippleglen Ltd,"132, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",22250
105117301341N,Phone Gadget 4 U Limited,"134, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",25500
105117301360N,Greggs Plc,"136, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",25250
105117301570N,Poundland Limited,"157-163, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",115000
105117301600N,Purple World Ltd T/A Costa,"160-162, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",67000
105117301640N,G R & M M Blackledge Plc,"164-166, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",68000
105117301650N,Signet Group Plc,"165-167, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",44500
105117301680N,"J N Murray Ltd,","168-170, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",49750
105117301710N,Greggs Of Cumbria,"171, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",19500
105117301781N,Vision Express (Uk) Ltd,"178-180, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",32000
105117301814N,Diggle Ltd,"181, Dalton Road, Barrow In Furness, Cumbria, LA14 1PT",31500
105117301820N,Tui Uk Ltd,"182, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",19000
105117301840N,Cleanthi Investments Limited,"184, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",18000
105117301862N,Cumberland Building Soc.,"1st & 2nd Fs, 186-188, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",1375
105117301863N,Cumberland Building Soc.,"186, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",14250
105117301880N,Cumberland Building Soc.,"188, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",22000
105117309049N,Barrow & District Credit Union,"1-3, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",7800
105117309092N,Barrow Borough Council,"5, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",3650
105117309100N,"J E Blackshaw Ltd,","8 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",3050
105117309110N,Barrow Borough Council,"9 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",2700
105117309120N,Barrow Borough Council,"10 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",2150
105117309130N,Barrow Borough Council,"11 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",2600
105117309190N,Barrow Borough Council,"15a The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",1375
105117309206N,Accent Foundation Ltd,"Office A Ambassador House, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",12250
105117309207N,Accent Foundation Ltd,"Office B Ambassador House, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",9100
105117309317N,Denbrook Ltd,"Furness House The Mall, Duke Street, Barrow In Furness, Cumbria, LA14 1HL",67500
105117309318N,Airwave Smart Mobile,"Airwave (Cum1390) At Furness House, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HN",9000
105119500121N,Clear Channel Uk Ltd,"Adshel 1902 0065 Adj 12,, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",650
105119500502N,Wilkinson Hardware Stores Ltd,"50, Duke Street, Barrow In Furness, Cumbria, LA14 1RU",187000
105119500512N,"Furness Building Society,","51-55,, Duke Street, Barrow In Furness, Cumbria, LA14 1RT",90000
105119500513N,Cardtronics Europe Ltd,"Atm Site At, 51-55, Duke Street, Barrow In Furness, Cumbria, LA14 1RT",3750
105119500570N,"Furness Building Society,","Car Park, Adj 59, Duke Street, Barrow In Furness, Cumbria, LA14 1RW",1500
105119500581N,Beluto Properties Ltd,"Jeffersons Hotel, 58, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",29250
105119500604N,Central Cars/Couriers Ltd,"Central Cars And Couriers, 8, Slater Street, Barrow In Furness, LA14 1SJ",1350
105119500610N,The Buddha Lounge Bar Ltd,"The Lounge,, 59-61, Duke Street, Barrow In Furness, Cumbria, LA14 1RW",5700
105119500624N,Beluto Properties Ltd,"Jeffersons, 60-64, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",18000
105119500684N,Corrie & Co Ltd,"68-70., Duke Street, Barrow In Furness, Cumbria, LA14 1RX",14250
105119500692N,Poole Townsend Solicitors,"69-75, Duke Street, Barrow In Furness, Cumbria, LA14 1RR",28250
105119500761N,Furness Prop Let. & Mgt Ltd,"76,, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",7200
105119500762N,Furness Property Letting & Management,"Pt 1st Flr, 76, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",1175
105119500785N,Farcastle Ltd,"Cavendish House., 78, Duke Street, Barrow In Furness, Cumbria, LA14 1RR",38750
105119500800N,National Offender Management Services,"77-79,, Duke Street, Barrow In Furness, Cumbria, LA14 1RW",23500
105119500830N,Provincial Funding Ltd,"83-85, Duke Street, Barrow In Furness, Cumbria, LA14 1RH",2425
105119501080N,"J N Murray Ltd,","108-110, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",10750
105119501110N,Pearson Driving Assess Ltd,"Ground Floor, 111, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",5400
105119501113N,Craig And Meyer Architects Ltd,"111, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",8600
105119501126N,Taylor Made Training (Nw) Ltd,"1st & 2nd Flrs 112, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",4150
105119501133N,Clear Channel Uk Ltd,"Adshell 1902n 0017, 113, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",650
105119501142N,S.A.F.A.,"114,, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",11500
105119501171N,Clear Channel Uk Ltd,"Adshell 1902 0018, 117, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",650
105119501190N,Denby & Co Solicitors Ltd,"119, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",8800
105119501212N,Kirkstall Ventures Ltd,"The Drawing Room, Ramsden House, 121-123, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",12400
105119501234N,Cookson Ad Valorem Ltd,"2nd Floor Ramsden House, 121-123, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",10250
105119501251N,"J L Winder & Co,","125, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",25750
105119501277N,Moorsolve Limited,"3rd Fl, 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",5400
105119501281N,"Brown & Murray Solicitors,","1st Floor 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",8400
105119501283N,"Brown & Murray Solicitors,","Brown & Murray Pt 2nd Flr, 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",3850
105119501284N,"Brown & Murray Solicitors,","Steve Martin & Assoc, Pt 2nd Flr, 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",1775
105119501310N,"Brown & Murray Solicitors,","Basement, 131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",710
105119501313N,"Brown & Murray Solicitors,","Gnd Flr 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",7300
105119502170N,"Cumbria Deaf Association,","217, Duke Street, Barrow In Furness, Cumbria, LA14 1XT",2750
105119502270N,H.S.S. Hire Services Group Plc,"227-231, Duke Street, Barrow In Furness, Cumbria, LA14 1XT",16500
105119509000N,Imperial Hotel (Barrow) Ltd,"Majestic Hotel, Duke Street, Barrow In Furness, Cumbria, LA14 1HP",37500
105119509024N,Arqiva Services Ltd,"Arqiva (140282) On Clock Tower, Barrow Town Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",3550
105119509027N,Furness College,"Radio Mast At Town Hall, Duke Street, Barrow In Furness, Cumbria, LA14 2LD",2450
105119509028N,Barrow Borough Council,"Town Hall., Duke Street, Barrow In Furness, Cumbria, LA14 1HH",119000
105119509811N,People First Independant Advocacy,"10-12, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",15500
105119509850N,Elift Cumbria Ltd,"Alfred Barrow School, Duke Street, Barrow In Furness, Cumbria, LA14 2LB",94000
105119510013N,Barrow Borough Council,"Council Stores, 1st Floor, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",8900
105119510022N,Barrow Borough Council,"Gf Store 2, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",255
105119510034N,Barrow Borough Council,"Gf Store 3, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",240
105119510046N,Barrow Borough Council,"Gf Store 4, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",245
105119510081N,Barrow Borough Council (Markets),"Gf Store 8, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",255
105119510120N,Dpwa Limited,"Gf Store 12, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",390
105119510182N,Barrow Borough Council,"Stall 18, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",1700
105119510201N,Barrow Borough Council,"Ff Stores 20-22, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",710
105119510290N,Barrow Borough Council,"Stall 29, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",1325
105119510850N,Barrow Borough Council,"Stall 85, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",1900
105119511090N,Barrow Borough Council,"Stall 109, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",1700
105119511100N,Barrow Borough Council,"Stalls 110 & 111, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",3050
105119511126N,Barrow Borough Council,"Stall 112,, Market Hall, Duke Street, Barrow In Furness, Cumbria, ",1550
105119511127N,Barrow Borough Council,"Stall 113,, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",3100
105119511262N,Barrow Borough Council,"Market Hall Office, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",0
105119511263N,Heron Foods Limited,"54,, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",18000
105119511280N,Barrow Borough Council,"Stall 2, Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",5200
105119511291N,Sillfield Farms Barrow Ltd,"Stalls 3 & 4 Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",10000
105119511336N,N & S Rhodes Butchers Ltd,"Stall 8, Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",6800
105129409010N,Development Division,"Car Park, Oldham Street, Barrow In Furness, Cumbria, LA14 1JS",18250
105129409011N,Shopmobility Furness,"Shopmobility Centre, Oldham Street, Barrow In Furness, Cumbria, LA14 1JS",10000
10514109043N,Clear Channel Uk Ltd,"Adshell 1902 0064 Adj Police Station, Market Street, Barrow In Furness, Cumbria, LA14 2LE",650
105141409042N,"Cumbria Constabulary,","Cumbria Constabulary, Market Street, Barrow In Furness, Cumbria, LA14 2LE",94500
105141409080N,Tsg Cumbria Ltd T/A The Sofa Group,"The Sofa Group, Market Street, Barrow In Furness, Cumbria, LA14 2LR",34000
105152400526N,C.A.D.A.S.,"52, Paradise Street, Barrow In Furness, Cumbria, LA14 1JG",9400
